Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,31.19,31.26,30.66,30.83,4681200,30.83
2014-03-03,31.02,32.01,30.98,31.32,6163500,31.32
2014-02-24,31.27,31.48,30.67,31.26,5365800,30.73
2014-02-18,30.77,31.28,30.57,31.09,5140900,30.56
2014-02-10,28.81,31.25,28.70,30.65,8015000,30.13
2014-02-03,28.90,28.90,27.93,28.79,5651900,28.30
2014-01-27,29.20,29.32,28.31,28.86,6998200,28.37
2014-01-21,30.13,30.18,29.14,29.15,5688300,28.66
2014-01-13,30.99,31.25,29.98,30.00,6574900,29.49
2014-01-06,31.73,31.80,30.70,31.02,4006400,30.49
2013-12-30,31.84,32.10,31.50,31.60,3972400,31.06
2013-12-23,31.06,32.04,31.06,32.01,3973700,31.47
2013-12-16,30.80,31.93,30.40,31.04,8225700,30.51
2013-12-09,31.07,31.82,30.32,30.73,6134500,30.21
2013-12-02,30.63,31.27,29.93,31.07,5858700,30.54
2013-11-25,30.78,31.22,30.54,30.70,4612400,30.18
2013-11-18,32.19,32.37,30.60,30.67,4971600,30.15
2013-11-11,31.45,32.20,31.26,32.10,4126100,31.02
2013-11-04,33.78,33.93,30.86,31.33,7483000,30.28
2013-10-28,33.24,34.18,33.18,33.58,3963500,32.45
2013-10-21,33.10,33.54,32.74,33.27,3510000,32.15
2013-10-14,32.91,33.34,32.48,33.01,3834900,31.90
2013-10-07,31.01,33.39,31.01,33.22,5748600,32.10
2013-09-30,31.60,31.87,31.07,31.20,4587000,30.15
2013-09-23,32.15,32.39,31.72,31.78,3418500,30.71
2013-09-16,32.64,32.90,32.10,32.28,4143100,31.19
2013-09-09,31.86,32.85,31.86,32.34,6039300,31.25
2013-09-03,33.32,33.34,31.85,31.90,6345500,30.83
2013-08-26,33.31,33.40,32.70,33.12,4032200,31.48
2013-08-19,32.91,33.32,32.26,33.30,9916800,31.65
2013-08-12,33.82,34.30,32.91,32.92,4667200,31.29
2013-08-05,35.97,36.45,33.66,33.89,7191000,32.21
2013-07-29,36.02,36.39,35.63,36.11,3615800,34.32
2013-07-22,36.02,36.11,35.48,36.03,5149200,34.25
2013-07-15,36.22,36.49,35.50,35.98,3897000,34.20
2013-07-08,35.59,36.32,35.13,36.24,2966100,34.45
2013-07-01,35.32,35.73,34.90,35.44,2596100,33.69
2013-06-24,33.98,35.79,33.83,35.35,4634200,33.60
2013-06-17,36.29,36.59,34.05,34.18,5212900,32.49
2013-06-10,35.53,36.40,35.24,36.04,5086300,34.26
2013-06-03,34.12,35.75,34.12,35.43,6058200,33.68
2013-05-28,37.55,37.94,34.13,34.15,10309000,32.46
2013-05-20,37.58,37.90,36.66,37.27,7822400,34.90
2013-05-13,37.54,38.16,37.25,37.67,4535100,35.27
2013-05-06,37.03,38.40,36.83,37.62,5671300,35.22
2013-04-29,37.24,37.61,36.78,37.14,4016000,34.77
2013-04-22,37.17,37.90,36.35,37.15,6341500,34.78
2013-04-15,36.95,37.46,36.34,37.17,4788100,34.80
2013-04-10,36.47,37.50,36.44,37.22,4849400,34.85
