Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,61.08,61.20,60.07,60.75,1808900,60.75
2014-03-03,59.30,62.75,59.17,60.99,2652700,60.99
2014-02-24,59.68,61.09,59.22,60.05,2038300,60.05
2014-02-18,57.24,61.11,56.62,59.80,4108400,59.80
2014-02-10,55.06,58.12,55.02,57.14,4138700,57.14
2014-02-03,54.15,55.45,52.02,55.28,4268900,55.28
2014-01-27,59.14,59.17,51.18,54.07,7430000,54.07
2014-01-21,60.89,61.72,58.59,58.90,3204500,58.90
2014-01-13,60.13,63.18,58.61,60.44,3646500,60.44
2014-01-06,62.42,62.70,59.59,60.13,2439400,60.13
2013-12-30,61.61,63.44,61.38,62.48,1352800,62.48
2013-12-23,61.83,62.04,60.63,61.67,1003800,61.67
2013-12-16,58.33,61.79,57.69,61.73,2030500,61.73
2013-12-09,60.01,60.44,56.90,57.99,1876900,57.99
2013-12-02,59.01,60.53,57.55,60.03,1991900,60.03
2013-11-25,58.90,59.71,58.24,59.32,1633100,59.32
2013-11-18,57.04,59.16,56.26,59.00,2460200,59.00
2013-11-11,59.54,61.64,54.52,56.90,7768300,56.90
2013-11-04,57.21,60.80,57.02,59.79,2848600,59.79
2013-10-28,58.12,58.22,56.55,56.82,2270400,56.82
2013-10-21,57.33,59.75,55.42,57.98,4543100,57.98
2013-10-14,58.57,59.02,56.48,57.26,4450500,57.26
2013-10-07,70.66,71.74,58.00,59.08,5397300,59.08
2013-09-30,70.10,71.28,68.51,70.48,1289200,70.48
2013-09-23,75.81,75.99,70.71,70.80,1782900,70.80
2013-09-16,74.51,77.16,73.38,76.08,1247800,76.08
2013-09-09,71.68,74.31,71.21,73.79,1151000,73.79
2013-09-03,71.56,72.40,70.01,71.38,869700,71.38
2013-08-26,73.46,73.46,69.85,70.77,963100,70.77
2013-08-19,71.72,73.44,71.17,72.71,1397700,72.71
2013-08-12,72.45,74.06,71.59,71.60,1220600,71.60
2013-08-05,72.94,73.51,71.77,72.96,1208000,72.96
2013-07-29,67.41,73.75,67.41,73.12,2914500,73.12
2013-07-22,65.66,70.66,65.07,67.78,3273300,67.78
2013-07-15,67.22,67.27,64.44,65.07,1957400,65.07
2013-07-08,63.71,67.73,63.01,67.41,1687700,67.41
2013-07-01,60.68,63.38,60.50,63.36,1993400,63.36
2013-06-24,59.51,60.94,58.00,60.36,1914600,60.36
2013-06-17,61.76,62.71,59.58,59.99,2433500,59.99
2013-06-10,63.46,63.75,61.10,61.23,1520200,61.23
2013-06-03,64.38,64.75,61.10,63.61,2599800,63.61
2013-05-28,63.93,65.64,63.89,64.38,1486400,64.38
2013-05-20,66.87,67.08,62.61,63.43,1640500,63.43
2013-05-13,66.31,67.80,64.81,66.84,2584500,66.84
2013-05-06,63.85,66.58,63.52,66.56,1991000,66.56
2013-04-29,61.89,63.84,61.50,63.49,2396100,63.49
2013-04-22,67.40,68.34,61.62,61.80,3682800,61.80
2013-04-15,70.21,71.25,66.19,67.17,2209300,67.17
2013-04-10,67.58,70.44,67.23,70.39,2506000,70.39
