Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,18.06,18.11,17.79,17.97,2106300,17.82
2014-03-03,17.40,18.28,17.28,18.15,2748800,18.00
2014-02-24,16.13,17.95,16.10,17.60,5068600,17.45
2014-02-18,16.56,16.63,16.02,16.10,3099700,15.96
2014-02-10,16.24,17.52,15.99,16.60,5365200,16.46
2014-02-03,16.16,16.48,15.78,16.24,3166500,16.10
2014-01-27,15.90,16.75,15.72,16.04,3581700,15.90
2014-01-21,16.48,16.62,15.69,15.87,2825200,15.73
2014-01-13,16.87,17.10,16.27,16.36,3445800,16.22
2014-01-06,17.24,17.34,16.63,16.88,4304200,16.74
2013-12-30,17.77,18.05,16.94,17.20,2559200,17.05
2013-12-23,17.35,17.91,17.33,17.78,1830100,17.63
2013-12-16,16.44,17.33,16.06,17.21,3399400,17.06
2013-12-09,16.04,16.74,15.91,16.30,2722700,16.16
2013-12-02,16.91,16.99,15.86,16.00,4358000,15.86
2013-11-25,15.79,16.91,15.26,16.77,4987400,16.63
2013-11-18,14.91,15.93,14.66,15.80,4772900,15.67
2013-11-11,15.13,15.66,14.83,14.93,3626000,14.65
2013-11-04,16.15,16.48,14.65,15.08,4669100,14.80
2013-10-28,15.77,16.14,15.55,16.08,3707300,15.78
2013-10-21,15.68,15.90,15.36,15.81,3098200,15.52
2013-10-14,16.16,16.52,15.57,15.66,4217700,15.37
2013-10-07,16.73,16.93,16.04,16.27,3816200,15.97
2013-09-30,16.71,17.11,16.70,16.94,3550300,16.63
2013-09-23,17.52,17.59,16.74,16.83,2139700,16.52
2013-09-16,17.98,18.11,17.01,17.62,3408100,17.29
2013-09-09,17.95,18.05,17.49,17.65,1919700,17.32
2013-09-03,17.91,18.13,17.55,17.95,1763500,17.62
2013-08-26,17.81,18.10,17.28,17.73,2116000,17.40
2013-08-19,18.20,18.46,17.41,17.78,3146800,17.45
2013-08-12,19.62,20.12,18.39,18.43,2480000,18.09
2013-08-05,19.59,19.89,18.71,19.61,3167100,19.10
2013-07-29,18.82,20.16,17.82,19.61,3763300,19.10
2013-07-22,19.00,19.09,18.47,18.83,1438900,18.34
2013-07-15,18.97,19.48,18.45,18.96,3027600,18.47
2013-07-08,19.27,19.38,18.59,18.81,3167700,18.32
2013-07-01,17.40,19.23,17.25,19.22,6531300,18.72
2013-06-24,14.94,17.01,14.78,16.82,4989300,16.38
2013-06-17,14.76,15.48,14.68,14.96,3347900,14.57
2013-06-10,14.65,14.84,13.88,14.68,3116700,14.30
2013-06-03,15.12,15.29,14.46,14.65,2686000,14.27
2013-05-28,15.50,15.72,15.12,15.12,1664200,14.73
2013-05-20,15.46,15.85,15.15,15.34,2414000,14.94
2013-05-13,15.77,15.94,15.16,15.43,3395500,14.89
2013-05-06,15.30,16.01,14.16,15.83,4856900,15.27
2013-04-29,14.85,15.40,14.68,15.28,2381300,14.74
2013-04-22,14.29,14.88,14.21,14.80,1892100,14.28
2013-04-15,14.72,14.75,14.00,14.27,2321200,13.77
2013-04-10,14.40,14.93,14.34,14.84,2544400,14.32
