Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,115.45,115.94,114.12,115.84,6203000,115.84
2014-03-03,114.79,116.27,114.01,115.08,5719300,115.08
2014-02-24,113.37,116.74,113.05,115.33,6259000,115.33
2014-02-18,113.86,115.33,112.47,112.68,7931100,112.68
2014-02-10,112.47,113.87,111.08,113.48,6877200,113.48
2014-02-03,112.35,112.46,109.27,112.05,9322100,111.06
2014-01-27,116.26,117.25,111.11,111.63,7413500,110.65
2014-01-21,120.74,120.89,116.26,116.29,5970100,115.27
2014-01-13,120.81,120.90,118.19,119.29,6295700,118.24
2014-01-06,124.59,125.32,120.37,121.01,6173800,119.94
2013-12-30,124.79,125.21,123.71,124.35,4052600,123.26
2013-12-23,123.41,125.65,122.63,125.23,3130100,124.13
2013-12-16,120.46,123.79,118.25,122.78,7666100,121.70
2013-12-09,122.27,123.94,119.38,119.90,6621600,118.84
2013-12-02,122.87,123.06,120.71,122.29,4814300,121.21
2013-11-25,123.77,124.10,121.64,122.44,4037600,121.36
2013-11-18,120.71,124.19,120.07,124.03,4804700,122.94
2013-11-11,121.18,121.50,119.13,120.06,5606500,119.00
2013-11-04,118.59,121.88,117.07,121.19,8625800,119.12
2013-10-28,120.56,122.01,117.00,118.01,6367000,116.00
2013-10-21,119.63,121.22,119.31,120.59,4845700,118.53
2013-10-14,117.33,119.85,116.32,119.65,5660900,117.61
2013-10-07,117.43,118.50,114.44,117.67,7790400,115.66
2013-09-30,121.60,122.02,117.52,118.13,6753200,116.11
2013-09-23,124.62,125.84,122.51,122.64,5117700,120.55
2013-09-16,124.98,126.43,123.82,124.92,6147600,122.79
2013-09-09,121.21,124.83,121.21,124.14,4620400,122.02
2013-09-03,121.34,122.75,119.01,121.21,4213200,119.14
2013-08-26,119.74,122.36,118.07,120.43,5353800,118.38
2013-08-19,119.69,120.00,117.22,119.53,4630500,117.49
2013-08-12,122.00,123.23,119.05,119.88,5452200,117.84
2013-08-05,124.72,124.75,121.68,122.50,4737700,119.42
2013-07-29,127.37,127.37,123.30,124.95,5448500,121.81
2013-07-22,126.71,127.83,125.79,127.56,4328700,124.36
2013-07-15,124.11,126.91,123.55,126.91,4390700,123.72
2013-07-08,121.29,124.54,120.98,124.06,5923400,120.94
2013-07-01,118.35,120.86,118.00,120.51,4346500,117.48
2013-06-24,117.71,119.56,116.02,118.34,5710600,115.37
2013-06-17,120.45,122.38,117.26,118.93,6308400,115.94
2013-06-10,122.94,122.98,119.61,120.28,4938900,117.26
2013-06-03,122.35,124.12,118.66,121.70,7781800,118.64
2013-05-28,126.39,127.40,122.75,122.75,6319800,119.67
2013-05-20,123.43,126.98,123.18,125.45,7007300,122.30
2013-05-13,122.90,125.00,122.17,123.42,8837200,120.32
2013-05-06,123.32,123.95,122.11,123.23,6676000,119.17
2013-04-29,120.44,123.91,120.04,123.49,5919600,119.43
2013-04-22,116.39,120.41,115.89,120.04,5670900,116.09
2013-04-15,118.81,118.90,114.12,115.90,7718800,112.09
2013-04-10,118.89,121.15,118.51,119.94,5978600,115.99
