Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,35.34,35.82,34.71,35.17,10695400,35.17
2014-03-03,32.39,35.85,31.90,35.36,12635200,35.36
2014-02-24,31.92,33.95,31.84,33.21,12003200,33.21
2014-02-18,31.36,32.19,30.44,31.76,10691700,31.76
2014-02-10,31.75,31.80,30.43,31.34,9704500,31.28
2014-02-03,30.64,31.85,29.12,31.65,13487600,31.59
2014-01-27,31.22,31.59,29.66,30.61,13778400,30.55
2014-01-21,32.39,32.92,30.96,31.11,14440400,31.05
2014-01-13,31.77,32.30,30.87,31.07,14152900,31.01
2014-01-06,29.43,31.58,28.59,31.47,15724200,31.41
2013-12-30,26.94,29.36,26.89,29.23,11878400,29.17
2013-12-23,27.77,27.98,26.86,27.03,7112900,26.98
2013-12-16,28.67,28.77,26.40,27.55,15055600,27.50
2013-12-09,28.26,29.12,27.65,28.37,12297900,28.31
2013-12-02,29.00,29.42,27.30,28.23,13459800,28.18
2013-11-25,29.00,29.44,28.72,28.98,10068300,28.92
2013-11-18,28.27,28.90,27.42,28.60,12629500,28.54
2013-11-11,27.19,28.47,27.13,28.12,14115300,28.07
2013-11-04,27.13,27.79,26.60,26.89,15123700,26.84
2013-10-28,26.42,26.94,25.98,26.70,11041100,26.59
2013-10-21,25.20,26.68,24.46,26.31,15881300,26.20
2013-10-14,24.20,25.18,23.77,25.01,12982000,24.91
2013-10-07,24.95,25.09,23.72,24.40,11359500,24.30
2013-09-30,23.16,25.43,22.71,25.19,16380000,25.08
2013-09-23,23.31,24.10,23.10,23.57,12373700,23.47
2013-09-16,22.98,23.72,22.78,23.30,15470300,23.20
2013-09-09,20.85,23.13,20.76,22.47,64803900,22.38
2013-09-03,20.05,20.74,19.57,19.89,12567500,19.81
2013-08-26,20.14,20.55,18.85,19.73,13291200,19.65
2013-08-19,19.77,20.44,18.98,20.12,10839600,20.04
2013-08-12,20.51,21.31,18.53,19.83,27975600,19.75
2013-08-05,21.85,21.96,20.51,20.57,6130700,20.48
2013-07-29,21.82,22.05,20.98,21.95,7527300,21.80
2013-07-22,20.21,21.99,20.06,21.90,10629200,21.75
2013-07-15,19.45,20.70,19.20,20.29,9222300,20.15
2013-07-08,19.15,19.64,18.45,19.29,9043500,19.15
2013-07-01,18.80,19.73,18.30,19.00,8800300,18.87
2013-06-24,18.09,18.87,17.29,18.71,7665100,18.58
2013-06-17,18.97,19.05,17.82,18.28,8089000,18.15
2013-06-10,18.47,18.96,17.91,18.85,9041300,18.72
2013-06-03,18.12,18.66,16.94,18.38,11142100,18.25
2013-05-28,19.12,19.25,17.75,18.01,8951100,17.88
2013-05-20,18.58,18.93,17.68,18.93,9594000,18.80
2013-05-13,18.08,19.43,17.78,18.54,11715800,18.41
2013-05-06,17.99,18.88,17.63,18.13,15294900,18.00
2013-04-29,16.74,18.31,16.68,17.96,14117100,17.83
2013-04-22,15.33,16.90,14.84,16.81,17722900,16.69
2013-04-15,15.58,15.89,14.71,15.26,14538300,15.15
2013-04-10,14.92,15.91,14.87,15.48,10739900,15.37
