Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,67.16,67.58,66.91,67.35,2713500,67.35
2014-03-03,65.78,67.95,65.41,67.24,3564600,67.24
2014-02-24,64.81,66.72,64.40,66.62,4603500,66.62
2014-02-18,64.48,65.68,64.08,64.87,4709800,64.87
2014-02-10,63.17,64.58,62.79,64.50,3853400,64.50
2014-02-03,61.05,63.54,59.95,63.45,7319100,63.01
2014-01-27,60.00,61.99,59.35,61.01,6157700,60.58
2014-01-21,64.52,65.00,59.95,59.97,5241100,59.55
2014-01-13,63.04,64.37,62.50,64.02,3307800,63.57
2014-01-06,63.94,64.24,62.08,63.54,5074700,63.10
2013-12-30,64.26,65.00,63.55,63.78,2956900,63.33
2013-12-23,62.89,64.46,62.56,64.25,2277000,63.80
2013-12-16,60.52,62.98,60.41,62.55,4442400,62.11
2013-12-09,61.48,61.70,59.85,60.24,3022100,59.82
2013-12-02,61.76,62.24,59.88,61.34,3281700,60.91
2013-11-25,62.00,62.19,61.16,61.38,2217200,60.95
2013-11-18,62.09,62.24,60.59,61.70,3562500,61.27
2013-11-11,61.94,62.34,60.37,62.11,5385500,61.68
2013-11-04,60.23,62.00,59.71,62.00,6376600,61.12
2013-10-28,61.89,61.90,60.66,61.09,3840600,60.22
2013-10-21,59.46,62.69,59.12,61.90,5650600,61.02
2013-10-14,57.48,59.87,57.48,59.62,3174200,58.77
2013-10-07,58.10,58.75,56.46,57.93,3567200,57.11
2013-09-30,58.37,59.04,57.50,58.65,3084700,57.82
2013-09-23,59.49,59.91,58.94,59.01,2489900,58.17
2013-09-16,59.74,60.86,59.12,59.42,5254100,58.58
2013-09-09,57.35,59.02,57.35,58.88,3684100,58.04
2013-09-03,57.07,57.99,56.09,57.11,4049600,56.30
2013-08-26,57.85,58.16,56.26,56.62,3014200,55.82
2013-08-19,58.13,58.30,57.06,57.90,2785900,57.08
2013-08-12,59.56,59.98,58.16,58.28,3998300,57.45
2013-08-05,59.72,60.15,59.04,59.74,4036100,58.45
2013-07-29,57.33,60.18,57.12,59.92,5981800,58.63
2013-07-22,56.98,60.40,56.50,57.66,6847500,56.41
2013-07-15,54.47,57.88,54.10,57.14,7924700,55.91
2013-07-08,53.49,54.79,53.42,54.41,3949400,53.23
2013-07-01,52.24,53.32,52.04,53.00,3400100,51.85
2013-06-24,52.52,54.10,52.02,52.50,5889300,51.37
2013-06-17,52.98,54.30,52.28,52.91,8052800,51.77
2013-06-10,55.66,55.72,52.16,52.68,6888200,51.54
2013-06-03,55.84,56.47,53.88,55.44,4547000,54.24
2013-05-28,56.00,57.25,55.33,55.79,4821800,54.58
2013-05-20,55.88,56.78,53.81,55.35,5053500,54.15
2013-05-13,55.00,55.95,54.42,55.89,5204600,54.68
2013-05-06,53.93,55.70,53.73,55.46,11530500,53.82
2013-04-29,53.07,54.73,52.57,53.94,7343100,52.35
2013-04-22,49.41,53.52,49.28,52.90,10447700,51.34
2013-04-15,49.54,49.79,48.23,49.19,7868300,47.74
2013-04-10,49.41,50.47,49.29,49.82,7003700,48.35
