Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,88.53,88.58,87.56,88.52,2499400,88.01
2014-03-03,85.63,89.24,85.30,88.80,3521700,88.29
2014-02-24,84.94,86.72,83.95,85.93,2714900,85.43
2014-02-18,85.99,86.08,84.20,84.69,2948400,84.20
2014-02-10,86.68,88.06,85.17,85.84,4024300,85.34
2014-02-03,85.79,86.88,83.41,86.56,2967400,86.06
2014-01-27,86.74,86.94,85.30,85.96,2649100,85.46
2014-01-21,89.70,89.90,85.29,85.55,2984300,85.06
2014-01-14,89.88,90.56,89.31,89.35,3395200,88.83
2014-01-06,91.06,91.20,88.43,88.98,2811400,88.47
2013-12-30,90.74,91.49,90.10,90.66,2097900,90.14
2013-12-23,90.38,91.58,90.10,90.70,1827100,90.18
2013-12-16,87.59,90.19,87.58,90.08,3565900,89.06
2013-12-09,86.03,88.89,85.75,87.18,3914200,86.19
2013-12-02,84.26,86.72,82.20,85.32,4417600,84.35
2013-11-25,84.56,85.14,83.70,84.24,1918100,83.28
2013-11-18,83.22,85.49,82.02,84.77,5386200,83.81
2013-11-11,81.47,83.41,81.33,82.83,2949600,81.89
2013-11-04,82.08,82.39,80.76,81.50,3536200,80.58
2013-10-28,83.48,84.01,81.28,81.64,2792100,80.71
2013-10-21,84.34,84.75,82.89,83.55,2273400,82.60
2013-10-14,81.85,84.53,81.74,84.19,2884100,83.24
2013-10-07,81.94,83.45,81.90,82.31,2931200,81.38
2013-09-30,81.73,82.71,81.19,82.55,3162600,81.61
2013-09-23,83.83,85.23,81.92,82.37,2741400,81.44
2013-09-16,83.38,85.34,83.02,83.82,2802800,82.37
2013-09-09,83.00,84.92,82.45,82.49,2951000,81.06
2013-09-03,84.31,84.93,82.15,82.61,2873400,81.18
2013-08-26,83.92,85.68,83.36,83.64,2711400,82.19
2013-08-19,83.93,85.07,82.41,83.50,3207200,82.06
2013-08-12,81.53,84.65,81.00,84.11,5959800,82.66
2013-08-05,83.40,83.48,80.50,81.74,3818800,80.33
2013-07-29,82.76,84.84,81.36,83.40,3101900,81.96
2013-07-22,84.28,85.50,81.66,82.81,3077900,81.38
2013-07-15,84.21,85.19,82.40,84.05,2577100,82.60
2013-07-08,81.45,84.56,81.25,83.94,3447800,82.49
2013-07-01,81.88,82.16,80.51,81.44,1931700,80.03
2013-06-24,80.83,83.50,79.50,81.25,4102500,79.84
2013-06-17,85.17,86.20,81.73,82.47,3402800,80.54
2013-06-10,87.25,87.31,83.86,84.88,2477200,82.90
2013-06-03,87.51,88.79,85.12,86.81,2992400,84.78
2013-05-28,87.20,88.47,85.96,87.11,2791600,85.07
2013-05-20,86.98,88.42,85.65,86.29,4045100,84.27
2013-05-13,92.28,93.88,86.53,86.97,5906100,84.94
2013-05-06,90.16,92.77,89.81,92.30,2147900,90.14
2013-04-29,85.76,91.50,85.70,90.54,3079300,88.42
2013-04-22,83.60,86.83,82.36,85.49,2182300,83.49
2013-04-15,85.55,85.55,81.58,83.46,3099000,81.51
2013-04-10,86.91,87.78,85.63,86.14,1983000,84.13
