Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,59.14,59.51,58.79,59.41,2285900,59.41
2014-03-03,56.96,59.70,56.66,59.28,2723600,59.28
2014-02-24,57.91,57.93,56.32,57.38,3465500,57.38
2014-02-18,57.00,57.82,56.49,56.71,2637300,56.71
2014-02-10,55.20,57.21,54.89,56.92,2785500,56.92
2014-02-03,53.66,55.33,51.63,55.25,3676000,55.25
2014-01-27,54.05,55.34,53.29,53.65,4166300,53.44
2014-01-21,53.89,55.50,51.78,53.88,5268900,53.67
2014-01-13,55.35,55.52,53.04,53.41,2996300,53.21
2014-01-06,55.12,55.55,54.35,55.41,2523000,55.20
2013-12-30,54.60,56.20,54.60,55.07,2204300,54.86
2013-12-23,54.33,54.91,53.78,54.50,1477900,54.29
2013-12-16,54.22,54.53,52.61,54.00,2974900,53.79
2013-12-09,52.91,53.58,52.25,53.02,2948400,52.82
2013-12-02,53.49,53.76,51.25,52.77,2724600,52.57
2013-11-25,52.64,53.70,52.50,53.30,2111600,53.10
2013-11-18,52.49,52.68,51.33,52.40,2141000,52.20
2013-11-11,52.35,52.47,50.22,52.39,4260200,52.19
2013-11-04,52.83,52.94,51.46,52.26,2998300,52.06
2013-10-28,51.01,53.13,50.66,52.00,3118900,51.60
2013-10-21,54.28,54.45,50.93,51.00,4515500,50.61
2013-10-14,51.58,54.39,51.52,53.95,3017100,53.54
2013-10-07,50.02,51.97,48.40,51.78,2984600,51.38
2013-09-30,50.51,51.24,49.60,50.57,2635400,50.18
2013-09-23,51.90,51.96,50.49,51.29,2856800,50.90
2013-09-16,51.72,53.36,51.42,52.12,3876400,51.72
2013-09-09,48.73,51.06,48.68,50.98,2556400,50.59
2013-09-03,47.77,48.92,47.49,48.59,2382400,48.22
2013-08-26,49.53,49.78,46.93,47.25,2659500,46.89
2013-08-19,49.78,49.88,48.51,49.54,2152200,49.16
2013-08-12,50.03,50.88,49.37,49.78,2208200,49.40
2013-08-05,51.05,51.18,50.16,50.18,2020900,49.80
2013-07-29,49.27,51.16,48.93,51.13,3041600,50.54
2013-07-22,50.65,51.70,49.01,49.45,3496300,48.88
2013-07-15,51.25,51.25,49.20,50.62,3430900,50.04
2013-07-08,50.39,50.92,49.49,50.89,3096600,50.30
2013-07-01,48.01,50.03,47.68,49.99,3052900,49.41
2013-06-24,45.73,48.00,45.08,47.64,3259300,47.09
2013-06-17,47.66,48.39,45.95,46.39,3869500,45.86
2013-06-10,48.87,49.38,46.97,47.34,3193800,46.79
2013-06-03,47.75,49.38,47.34,48.66,4564100,48.10
2013-05-28,48.23,48.63,47.05,47.41,3702100,46.86
2013-05-20,47.74,49.71,46.92,47.68,4668100,47.13
2013-05-13,45.45,47.74,44.95,47.70,3731600,47.15
2013-05-06,45.96,46.37,45.35,45.59,3520200,45.06
2013-04-29,44.18,46.06,43.67,45.93,4210800,45.20
2013-04-22,43.37,45.61,42.74,43.92,6020900,43.23
2013-04-15,43.18,43.39,42.12,43.34,5098400,42.66
2013-04-10,43.29,43.88,42.31,43.31,7732500,42.63
