Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,52.43,52.70,51.86,52.66,2358900,52.66
2014-03-03,52.90,53.18,52.03,52.58,1484400,52.58
2014-02-24,53.05,54.01,52.64,53.00,1801300,53.00
2014-02-18,52.49,53.25,52.12,53.05,1782300,53.05
2014-02-10,51.00,52.97,50.98,52.60,2887400,52.60
2014-02-03,52.20,53.36,50.46,50.80,2824200,50.80
2014-01-27,53.85,55.68,51.80,52.50,4015600,52.50
2014-01-21,55.00,55.24,53.64,53.71,1707000,53.71
2014-01-13,53.74,54.96,53.40,54.68,1833600,54.68
2014-01-06,53.06,54.04,51.90,53.87,2655500,53.87
2013-12-30,53.90,54.28,52.11,52.72,3197100,52.72
2013-12-23,53.55,54.70,53.55,54.10,1376100,53.79
2013-12-16,54.49,54.80,52.50,53.52,3019000,53.22
2013-12-09,60.16,60.52,53.45,54.20,4188200,53.89
2013-12-02,61.05,62.03,59.87,59.99,2135300,59.65
2013-11-25,61.86,62.48,60.71,60.94,1459600,60.59
2013-11-18,62.50,62.56,60.95,61.80,1541800,61.45
2013-11-11,63.24,64.10,62.18,62.20,2487500,61.85
2013-11-04,62.50,64.00,61.42,63.32,3434300,62.96
2013-10-28,58.57,61.03,58.46,60.93,1672700,60.58
2013-10-21,57.75,58.83,57.75,58.59,1470400,58.26
2013-10-14,57.97,60.00,57.36,57.92,2248900,57.59
2013-10-07,61.59,62.45,57.45,58.12,2849500,57.79
2013-09-30,61.43,62.81,61.31,61.80,1337700,61.45
2013-09-23,61.70,62.82,61.47,61.72,1559600,61.37
2013-09-16,62.04,62.70,61.33,62.00,1570500,61.35
2013-09-09,60.99,61.91,60.48,61.43,1190300,60.79
2013-09-03,58.87,61.41,58.81,61.11,1470600,60.47
2013-08-26,59.05,59.36,57.73,58.62,804300,58.01
2013-08-19,58.00,59.79,58.00,59.06,822900,58.44
2013-08-12,59.13,60.21,57.98,58.09,1259800,57.48
2013-08-05,58.51,59.70,58.00,59.38,1272800,58.76
2013-07-29,58.50,58.94,58.11,58.61,967300,58.00
2013-07-22,59.00,59.54,58.30,58.50,1639400,57.89
2013-07-15,59.60,60.62,58.65,59.03,2053200,58.41
2013-07-08,61.02,61.47,56.81,59.33,2046500,58.71
2013-07-01,60.81,61.15,59.84,60.80,767400,60.16
2013-06-24,60.73,61.93,60.12,60.63,1228600,60.00
2013-06-17,62.84,63.06,60.75,61.07,963300,60.14
2013-06-10,62.44,63.40,61.71,62.62,812900,61.66
2013-06-03,61.91,63.00,61.03,62.22,1118800,61.27
2013-05-28,63.00,63.30,61.83,61.84,1120100,60.89
2013-05-20,60.48,62.56,60.35,62.50,1272000,61.54
2013-05-13,59.56,60.79,58.90,60.69,1287800,59.76
2013-05-06,57.15,59.78,57.15,59.77,1169300,58.86
2013-04-29,56.19,57.75,55.78,57.21,1050400,56.34
2013-04-22,55.85,57.24,55.26,56.16,1861200,55.30
2013-04-15,59.06,59.55,55.56,55.92,2442700,55.06
2013-04-10,56.64,60.00,56.41,59.34,1891800,58.43
