Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,23.08,23.42,22.76,22.77,7887100,22.77
2014-03-03,23.79,24.74,23.36,23.47,5892700,23.47
2014-02-24,23.72,25.06,23.50,24.56,7909600,24.56
2014-02-18,23.64,23.95,22.78,23.65,5382300,23.65
2014-02-10,23.89,24.17,22.85,23.62,6579100,23.62
2014-02-03,23.49,23.95,22.54,23.89,8491500,23.89
2014-01-27,21.01,24.00,20.20,23.48,12253300,23.44
2014-01-21,21.66,22.08,20.80,20.88,5991800,20.85
2014-01-13,21.97,22.14,21.23,21.59,5389800,21.55
2014-01-06,21.92,22.56,21.15,22.15,6009500,22.11
2013-12-30,21.67,22.35,21.36,21.75,5411800,21.71
2013-12-23,20.73,21.73,20.73,21.67,5545000,21.63
2013-12-16,19.05,20.63,18.68,20.58,8330300,20.55
2013-12-09,19.10,20.14,18.83,18.96,6073900,18.93
2013-12-02,19.82,19.82,18.72,19.08,5987600,19.05
2013-11-25,19.05,20.43,18.66,19.88,7378700,19.85
2013-11-18,19.60,19.77,18.70,19.05,7662200,19.02
2013-11-11,18.16,19.97,17.67,19.59,11549400,19.56
2013-11-04,18.63,19.28,17.86,18.14,10781000,18.11
2013-10-28,19.79,20.00,18.18,18.51,5990900,18.48
2013-10-21,19.16,20.23,18.31,19.77,6374100,19.74
2013-10-14,18.30,19.28,17.60,19.02,9454600,18.99
2013-10-07,18.26,18.84,17.66,18.65,6860300,18.62
2013-09-30,19.28,19.70,18.28,18.54,7870100,18.51
2013-09-23,20.18,20.61,19.57,19.63,5898200,19.60
2013-09-16,19.74,21.60,19.61,20.20,9467400,20.17
2013-09-09,18.19,20.07,18.19,19.14,7446300,19.11
2013-09-03,17.91,18.51,17.52,18.10,6623900,18.07
2013-08-26,18.69,19.03,17.57,17.85,8328300,17.82
2013-08-19,18.97,19.44,18.21,18.73,6655400,18.70
2013-08-12,18.81,19.87,17.59,19.00,10505700,18.97
2013-08-05,20.30,20.33,18.58,18.89,5946800,18.86
2013-07-29,19.48,20.76,19.38,20.38,7925700,20.35
2013-07-22,22.27,22.34,19.13,19.33,10181700,19.30
2013-07-15,22.74,22.82,21.20,22.07,6764100,22.03
2013-07-08,20.36,23.20,19.69,22.76,8533300,22.72
2013-07-01,21.38,21.71,19.89,20.28,5536700,20.25
2013-06-24,20.50,21.77,20.02,21.28,9742700,21.24
2013-06-17,24.10,24.65,19.94,21.10,9874400,21.07
2013-06-10,23.70,24.15,22.17,23.89,6772200,23.85
2013-06-03,24.40,24.53,22.09,23.56,9114700,23.52
2013-05-28,26.13,26.53,24.31,24.36,5959000,24.32
2013-05-20,27.20,27.61,25.33,25.75,5605900,25.71
2013-05-13,27.07,27.75,26.50,27.23,5249200,27.19
2013-05-06,26.46,27.31,26.16,27.15,4191900,27.11
2013-04-29,26.61,27.32,25.39,26.45,7131800,26.41
2013-04-22,22.01,26.92,21.47,26.66,8142700,26.62
2013-04-15,23.21,23.22,21.24,21.98,5518300,21.94
2013-04-10,23.44,23.93,22.94,23.42,4134200,23.38
