Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,77.40,77.40,76.79,77.15,2241200,77.15
2014-03-03,75.74,77.56,75.35,77.43,2715800,77.43
2014-02-24,76.38,77.54,76.21,76.49,2871500,76.49
2014-02-18,76.15,76.58,75.04,76.15,2502100,76.15
2014-02-10,75.26,76.60,74.57,76.43,2483300,76.43
2014-02-03,74.53,75.29,71.89,75.12,3302500,75.12
2014-01-27,74.39,76.57,73.65,74.39,3665300,74.39
2014-01-21,78.60,78.80,74.12,74.13,3336500,74.13
2014-01-13,77.32,78.64,76.09,77.87,3040200,77.87
2014-01-06,76.95,77.73,75.85,77.68,2278100,77.68
2013-12-30,76.99,77.33,76.10,76.56,1306600,76.56
2013-12-23,76.96,77.39,76.44,77.05,1517400,77.05
2013-12-16,74.24,77.08,74.11,76.54,2982300,76.52
2013-12-09,75.62,75.78,72.88,74.01,2721900,73.99
2013-12-02,74.59,75.29,72.91,75.12,2087600,75.10
2013-11-25,75.00,75.93,74.36,74.80,1943400,74.78
2013-11-18,74.52,74.99,73.54,74.65,2108600,74.63
2013-11-11,74.60,74.94,73.38,74.49,2559700,74.47
2013-11-04,72.64,74.64,71.70,74.60,2290900,74.58
2013-10-28,72.14,72.82,71.73,72.63,1840000,72.61
2013-10-21,72.23,72.50,71.49,72.11,2131100,72.09
2013-10-14,68.97,72.69,68.80,72.00,3760700,71.98
2013-10-07,68.08,69.51,66.83,69.44,2352100,69.42
2013-09-30,69.33,69.79,67.49,68.52,2396700,68.50
2013-09-23,69.29,70.14,68.81,69.87,2243200,69.85
2013-09-16,70.41,70.94,69.57,69.57,3443000,69.52
2013-09-09,67.02,69.78,67.02,69.76,2150200,69.71
2013-09-03,66.13,67.59,65.61,66.83,1790700,66.78
2013-08-26,67.23,67.49,64.78,65.52,1683900,65.47
2013-08-19,66.50,67.54,66.05,67.34,1947500,67.29
2013-08-12,66.54,67.72,65.88,66.73,2040700,66.68
2013-08-05,67.10,67.98,66.78,66.99,1908300,66.94
2013-07-29,66.47,68.19,66.22,67.23,2297700,67.18
2013-07-22,68.75,68.88,66.53,66.72,2679400,66.67
2013-07-15,68.51,69.02,66.83,68.69,3534700,68.64
2013-07-08,64.95,69.00,64.31,68.19,3898300,68.14
2013-07-01,63.74,65.15,63.16,64.60,2464500,64.56
2013-06-24,61.64,63.90,61.23,63.30,3254300,63.26
2013-06-17,63.00,64.80,61.67,62.11,3756100,62.04
2013-06-10,62.22,62.83,61.17,62.52,2359000,62.45
2013-06-03,61.86,62.77,59.65,62.10,3518400,62.03
2013-05-28,62.72,63.21,61.82,61.82,2220000,61.75
2013-05-20,63.18,64.39,61.71,62.10,2771900,62.03
2013-05-13,61.68,63.34,61.57,63.25,3726700,63.18
2013-05-06,60.79,62.12,60.54,61.90,1878700,61.83
2013-04-29,60.00,61.53,59.88,60.80,3268300,60.73
2013-04-22,59.12,60.92,58.49,59.94,3166000,59.87
2013-04-15,61.28,61.58,57.61,59.10,4228000,59.04
2013-04-10,60.74,62.12,60.47,61.56,2135500,61.49
