Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,85.38,86.36,85.29,85.65,923400,85.65
2014-03-03,82.95,86.36,81.57,85.52,1275800,85.52
2014-02-24,82.81,84.13,80.34,83.32,1420500,83.32
2014-02-18,81.03,83.03,80.06,82.81,1527200,82.81
2014-02-10,82.56,83.97,78.45,80.83,2080200,80.83
2014-02-03,78.37,83.15,77.14,82.76,1812900,82.76
2014-01-27,79.04,81.82,76.69,79.78,2241500,79.78
2014-01-21,81.46,81.46,78.99,78.99,2142400,78.99
2014-01-13,83.52,84.08,80.55,80.91,1398700,80.91
2014-01-06,88.96,89.00,83.60,84.02,1470000,84.02
2013-12-30,89.00,90.76,88.47,88.58,817000,88.58
2013-12-23,87.98,89.26,87.96,88.95,717300,88.95
2013-12-16,83.23,88.50,82.82,87.75,1460800,87.75
2013-12-09,85.48,86.87,81.69,82.45,1222600,82.45
2013-12-02,86.34,87.08,83.52,85.06,1172900,85.06
2013-11-25,86.46,88.23,85.24,87.27,948000,87.27
2013-11-18,86.27,86.34,84.40,85.87,1500800,85.87
2013-11-11,85.19,86.46,83.60,85.43,744100,85.43
2013-11-04,87.89,88.18,83.73,85.36,1347400,85.36
2013-10-28,85.77,89.30,83.51,87.80,1777900,87.80
2013-10-21,82.46,85.89,82.12,85.66,1082200,85.66
2013-10-14,80.29,82.51,78.78,82.47,828400,82.47
2013-10-07,80.40,80.79,77.27,80.54,989300,80.54
2013-09-30,84.03,84.69,80.55,81.27,1228500,81.27
2013-09-23,81.40,85.73,79.70,84.84,1288400,84.84
2013-09-16,79.03,82.62,78.42,81.80,1537300,81.80
2013-09-09,77.93,79.03,77.38,77.83,1182200,77.83
2013-09-03,78.73,79.29,76.34,77.55,1545300,77.55
2013-08-26,84.71,84.71,76.98,77.51,731700,77.51
2013-08-19,80.23,81.05,79.15,80.56,687900,80.56
2013-08-12,82.33,83.65,80.25,80.34,887700,80.34
2013-08-05,82.44,83.49,81.90,83.13,818300,83.13
2013-07-29,84.76,85.46,79.10,82.19,1461700,82.19
2013-07-22,85.70,89.58,83.62,85.06,659400,85.06
2013-07-15,86.32,86.32,83.80,84.31,972500,84.31
2013-07-08,81.20,85.09,80.98,85.07,1100300,85.07
2013-07-01,77.60,81.47,77.37,81.12,960700,81.12
2013-06-24,74.88,77.89,74.13,77.24,973400,77.24
2013-06-17,77.30,78.30,74.09,75.42,1349300,75.42
2013-06-10,76.33,76.85,72.77,76.38,1901800,76.38
2013-06-03,78.80,79.66,74.15,76.39,1720100,76.39
2013-05-28,80.04,80.97,78.76,78.87,1141500,78.87
2013-05-20,78.78,80.28,78.05,79.53,1313900,79.53
2013-05-13,78.51,79.67,77.33,78.85,1419600,78.85
2013-05-06,79.00,79.39,75.67,78.68,1920200,78.68
2013-04-29,79.11,80.44,78.08,79.21,1382500,79.21
2013-04-22,77.98,80.00,77.35,79.21,1158200,79.21
2013-04-15,80.42,80.72,76.26,77.85,1793700,77.85
2013-04-10,79.03,81.43,78.76,81.03,1035300,81.03
