Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,66.56,67.06,66.55,66.86,2463900,66.86
2014-03-03,65.85,67.35,65.36,66.63,2059900,66.63
2014-02-24,65.98,67.16,65.89,66.57,2355400,66.57
2014-02-18,64.43,66.17,63.92,65.91,2232600,65.91
2014-02-10,62.26,64.39,62.02,64.12,1735500,64.12
2014-02-03,61.07,62.43,58.22,62.41,2545700,62.17
2014-01-27,60.19,61.34,59.15,60.89,2032300,60.65
2014-01-21,63.08,63.42,59.80,59.92,2249800,59.69
2014-01-13,61.14,62.98,59.94,62.70,2110100,62.46
2014-01-06,59.81,61.59,58.85,61.47,2193800,61.23
2013-12-30,59.70,60.21,58.95,59.27,752000,59.04
2013-12-23,58.94,60.42,58.72,59.83,867700,59.60
2013-12-16,58.86,60.27,58.30,58.35,1985200,58.12
2013-12-09,58.66,59.33,57.43,58.60,1479800,58.37
2013-12-02,58.39,58.86,56.69,58.44,1616600,58.21
2013-11-25,58.25,58.96,57.37,58.55,1053600,58.32
2013-11-18,58.13,58.49,56.01,57.88,2083700,57.65
2013-11-11,55.12,58.10,54.42,58.08,1781300,57.85
2013-11-04,57.57,58.04,53.40,55.42,2677200,55.03
2013-10-28,57.91,58.08,56.10,57.51,2131900,57.11
2013-10-21,60.23,60.30,57.53,58.03,1509400,57.63
2013-10-14,56.81,60.30,56.37,60.00,2239700,59.58
2013-10-07,57.47,58.19,54.63,57.31,2077600,56.91
2013-09-30,57.95,59.54,56.91,58.01,2984500,57.61
2013-09-23,57.71,58.50,56.62,58.44,1148700,58.03
2013-09-16,57.80,58.60,56.35,58.00,1774300,57.60
2013-09-09,56.56,57.85,55.96,56.90,1692800,56.50
2013-09-03,55.75,58.26,55.30,56.50,1761200,56.11
2013-08-26,55.57,56.20,53.07,55.02,1931800,54.64
2013-08-19,54.95,55.95,54.34,55.56,1161300,55.17
2013-08-12,55.35,56.93,53.72,54.96,1519400,54.58
2013-08-05,55.75,56.41,54.59,55.56,1279800,55.01
2013-07-29,55.44,55.95,53.26,55.85,2408200,55.29
2013-07-22,55.17,55.80,54.60,55.72,1540700,55.17
2013-07-15,55.07,55.37,53.65,54.95,1610800,54.40
2013-07-08,53.08,54.96,53.08,54.93,2584300,54.38
2013-07-01,51.12,52.59,51.12,52.42,1120800,51.90
2013-06-24,49.16,51.51,47.40,50.69,1952100,50.19
2013-06-17,51.90,52.46,49.04,49.69,2370400,49.20
2013-06-10,50.84,51.28,49.50,51.22,1885700,50.71
2013-06-03,48.76,50.42,47.87,50.40,2038300,49.90
2013-05-28,48.57,50.05,48.57,48.81,2456100,48.32
2013-05-20,48.51,49.63,47.71,48.05,1880000,47.57
2013-05-13,45.24,48.57,45.16,48.52,2938800,48.04
2013-05-06,45.77,46.55,44.99,45.40,2353600,44.78
2013-04-29,44.87,46.71,44.61,45.74,2601500,45.12
2013-04-22,42.00,45.08,41.40,44.70,1869400,44.09
2013-04-15,44.53,44.56,40.78,41.84,2179100,41.27
2013-04-10,42.73,44.90,42.49,44.89,1587900,44.28
