Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,99.25,100.11,98.97,99.86,332300,99.86
2014-03-03,98.90,100.29,97.52,99.24,822400,99.24
2014-02-24,96.07,100.45,95.96,99.21,1042600,99.21
2014-02-18,97.47,98.01,94.44,95.54,675200,95.54
2014-02-10,97.47,99.50,96.30,97.26,516300,96.81
2014-02-03,109.68,115.30,94.29,97.76,1193100,97.31
2014-01-27,113.47,113.47,109.08,110.00,544500,109.49
2014-01-21,119.91,120.33,113.22,113.30,420300,112.77
2014-01-13,122.49,123.21,118.26,118.97,451100,118.42
2014-01-06,122.44,124.59,120.47,122.98,418100,122.41
2013-12-30,123.16,123.24,120.37,121.95,350200,121.38
2013-12-23,121.11,124.17,120.69,123.42,281900,122.85
2013-12-16,115.59,120.94,113.76,120.61,466200,120.05
2013-12-09,119.70,120.92,115.19,115.19,475600,114.66
2013-12-02,116.81,119.58,114.47,119.44,258900,118.89
2013-11-25,116.50,117.69,115.55,116.85,199100,116.31
2013-11-18,113.92,117.60,113.38,116.56,391200,115.62
2013-11-11,111.38,113.45,110.47,113.43,369800,112.52
2013-11-04,108.98,114.00,106.55,111.45,585400,110.55
2013-10-28,108.63,110.15,107.27,108.49,325500,107.62
2013-10-21,106.72,109.14,105.43,108.45,224100,107.58
2013-10-14,103.97,107.93,103.59,106.57,262600,105.71
2013-10-07,102.77,104.62,99.40,104.51,254600,103.67
2013-09-30,103.41,105.52,102.36,103.57,352100,102.74
2013-09-23,103.43,105.01,102.25,104.17,199000,103.33
2013-09-16,106.12,108.90,103.41,103.87,342600,103.03
2013-09-09,101.14,105.44,100.75,104.86,399100,104.02
2013-09-03,100.65,101.78,98.69,100.74,236900,99.93
2013-08-26,104.21,104.88,99.15,99.48,219400,98.68
2013-08-19,101.91,104.49,101.08,104.12,262900,102.87
2013-08-12,106.41,108.14,101.86,102.28,298600,101.05
2013-08-05,106.98,107.83,103.52,107.11,318100,105.82
2013-07-29,102.85,107.61,102.29,107.04,465600,105.75
2013-07-22,106.99,112.10,102.97,103.12,424700,101.88
2013-07-15,107.51,108.03,105.87,107.00,394500,105.72
2013-07-08,99.81,108.25,99.40,107.59,616100,106.30
2013-07-01,97.97,99.45,97.67,99.22,356700,98.03
2013-06-24,95.01,98.51,93.81,97.45,338000,96.28
2013-06-17,99.37,99.93,94.55,95.69,371800,94.54
2013-06-10,99.55,99.87,97.49,98.76,310200,97.57
2013-06-03,98.38,99.76,95.73,99.24,545400,98.05
2013-05-28,98.36,99.84,97.12,98.14,547000,96.96
2013-05-20,98.95,101.47,96.24,97.59,512300,96.42
2013-05-13,92.45,100.92,92.14,98.98,630100,97.39
2013-05-06,90.00,92.98,89.63,92.46,541000,90.98
2013-04-29,88.26,91.91,86.49,90.00,641400,88.56
2013-04-22,84.98,89.33,84.50,87.89,365000,86.48
2013-04-15,85.69,86.17,84.40,84.72,407900,83.36
2013-04-10,84.54,86.69,84.51,86.00,435900,84.62
