Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,48.40,48.40,47.38,47.91,2304600,47.91
2014-03-03,47.15,48.48,46.63,48.45,2273500,48.45
2014-02-24,48.32,48.99,46.71,47.30,2246500,47.30
2014-02-18,47.54,48.48,45.32,48.01,2860900,48.01
2014-02-10,46.50,48.21,46.07,47.04,2104900,47.04
2014-02-03,48.60,48.74,45.24,46.07,3163200,45.22
2014-01-27,51.03,51.61,48.21,48.54,2058000,47.65
2014-01-21,54.53,54.92,50.43,51.04,2003900,50.10
2014-01-13,55.58,55.98,53.30,54.10,1288500,53.11
2014-01-06,56.70,56.99,54.98,55.91,1161700,54.88
2013-12-30,56.78,57.40,56.11,56.47,1098800,55.43
2013-12-23,55.85,56.91,55.09,56.81,1254100,55.77
2013-12-16,56.26,56.72,54.78,55.83,1669100,54.80
2013-12-09,58.87,59.20,55.91,56.19,1401900,55.16
2013-12-02,60.17,60.71,58.51,58.87,1354000,57.79
2013-11-25,60.68,60.78,58.53,60.05,1057200,58.95
2013-11-18,61.62,61.67,59.78,60.89,1148500,59.77
2013-11-11,61.56,62.25,60.52,61.42,1165600,60.29
2013-11-04,60.21,61.92,59.28,61.74,1801500,60.60
2013-10-28,61.30,63.37,60.13,60.27,1738100,59.16
2013-10-21,63.24,64.65,60.08,61.27,1882000,59.29
2013-10-14,62.99,63.93,62.07,63.15,942900,61.11
2013-10-07,62.82,63.75,61.63,63.57,771900,61.52
2013-09-30,61.95,63.58,61.79,63.45,807600,61.40
2013-09-23,62.50,63.66,61.82,62.77,1104800,60.75
2013-09-16,65.13,65.62,62.54,62.61,947900,60.59
2013-09-09,64.48,65.56,64.20,64.41,913400,62.33
2013-09-03,64.79,64.81,63.05,64.33,1136900,62.25
2013-08-26,66.00,66.34,63.92,64.03,807900,61.96
2013-08-19,65.94,66.28,64.28,65.84,806100,63.72
2013-08-12,67.46,68.32,65.56,66.04,1341400,63.91
2013-08-05,67.98,69.34,66.91,68.20,1283500,66.00
2013-07-29,67.76,68.80,67.13,67.96,1090000,65.77
2013-07-22,72.75,73.00,67.27,67.93,1224300,64.90
2013-07-15,72.14,72.78,70.25,72.65,1016700,69.41
2013-07-08,69.50,72.16,69.36,72.11,1376200,68.90
2013-07-01,69.06,69.50,67.62,69.25,655400,66.16
2013-06-24,66.33,68.99,64.89,68.79,1080200,65.72
2013-06-17,67.59,68.94,65.61,66.91,904400,63.93
2013-06-10,69.03,69.11,66.36,67.16,632800,64.17
2013-06-03,68.82,69.70,67.82,69.11,810100,66.03
2013-05-28,71.22,71.75,68.81,68.81,1020500,65.74
2013-05-20,72.15,73.19,69.67,70.27,682700,67.14
2013-05-13,70.00,73.11,69.46,72.40,825700,69.17
2013-05-06,70.03,70.87,69.38,70.15,924400,67.02
2013-04-29,69.16,70.79,67.42,70.05,1196400,66.93
2013-04-22,65.55,70.09,64.98,68.64,1028500,64.75
2013-04-15,68.14,68.14,63.95,65.34,1298600,61.64
2013-04-10,69.07,70.23,68.13,68.78,899800,64.88
