Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,82.04,82.63,81.54,82.51,1276300,82.13
2014-03-03,77.89,82.72,77.63,82.27,2144600,81.89
2014-02-24,89.14,94.38,88.95,94.30,2081500,77.90
2014-02-18,86.21,89.24,85.99,88.99,2354200,73.51
2014-02-10,85.24,86.25,83.99,86.06,1804000,71.09
2014-02-03,86.30,86.91,81.68,85.44,2150100,70.58
2014-01-27,90.58,91.03,85.83,86.56,1657500,71.51
2014-01-21,95.94,96.38,90.31,90.33,1354200,74.62
2014-01-13,94.07,96.67,92.95,95.11,1327900,78.57
2014-01-06,95.77,95.81,93.27,94.44,1017600,78.01
2013-12-30,96.31,97.00,94.87,95.22,664600,78.66
2013-12-23,95.15,96.48,94.80,96.32,487900,79.57
2013-12-16,90.06,94.62,89.76,94.56,1254300,78.11
2013-12-09,91.71,92.05,89.28,89.59,884200,74.01
2013-12-02,88.41,91.66,88.16,91.65,1633000,75.71
2013-11-25,93.48,93.89,90.45,90.74,889400,74.96
2013-11-18,93.34,93.88,90.67,93.41,648800,76.85
2013-11-11,92.27,93.89,91.16,93.30,901100,76.76
2013-11-04,91.36,92.29,90.04,92.24,831400,75.89
2013-10-28,90.76,92.65,90.61,91.26,988200,75.08
2013-10-21,89.28,92.08,89.09,90.95,1143900,74.83
2013-10-14,89.70,90.90,85.10,88.93,2132700,73.16
2013-10-07,88.26,90.41,86.25,90.35,927600,74.33
2013-09-30,88.46,91.04,88.13,88.97,879200,73.20
2013-09-23,90.45,91.58,89.33,89.36,905500,73.52
2013-09-16,90.51,92.87,89.39,90.65,1062200,74.58
2013-09-09,87.83,89.78,87.64,88.99,790900,73.21
2013-09-03,85.83,88.36,84.94,87.60,688400,72.07
2013-08-26,87.48,87.80,84.80,85.05,663000,69.97
2013-08-19,87.16,87.53,85.82,87.09,733700,71.33
2013-08-12,87.55,88.70,86.80,87.15,889000,71.38
2013-08-05,86.77,88.31,85.89,87.92,890500,72.01
2013-07-29,84.70,87.93,84.69,87.01,1038800,71.27
2013-07-22,85.00,87.05,83.92,84.67,1377200,69.35
2013-07-15,81.00,85.65,79.85,85.31,1487700,69.88
2013-07-08,78.55,81.39,78.01,81.00,1062400,66.35
2013-07-01,78.49,78.69,75.96,78.00,1311800,63.89
2013-06-24,76.62,78.54,75.58,77.66,1735900,63.61
2013-06-17,79.37,80.75,76.06,77.37,1207700,63.37
2013-06-10,79.72,79.76,77.09,78.60,978500,64.38
2013-06-03,78.38,79.99,77.00,79.52,1549300,65.13
2013-05-28,80.21,80.45,77.79,78.25,1489600,64.09
2013-05-20,76.92,80.36,76.02,79.19,1865800,64.58
2013-05-13,73.75,77.21,73.42,77.21,1001500,62.96
2013-05-06,71.02,74.10,70.80,74.00,930800,60.34
2013-04-29,69.45,71.79,67.98,71.16,1483600,58.03
2013-04-22,68.18,70.66,67.45,69.10,1548700,56.35
2013-04-15,72.92,73.07,68.04,68.15,2067700,55.57
2013-04-10,73.12,74.76,73.05,73.41,1328600,59.86
