Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,52.35,52.59,52.32,52.48,1789700,52.07
2014-03-03,51.84,52.30,51.13,52.29,2568100,51.89
2014-02-24,51.89,52.66,51.26,52.11,2793700,51.71
2014-02-18,50.30,51.91,49.91,51.74,2467400,51.34
2014-02-10,48.99,51.03,48.50,50.30,3160000,49.91
2014-02-03,47.88,48.98,46.88,48.89,1580900,48.51
2014-01-27,48.51,49.33,47.65,47.88,1502200,47.51
2014-01-21,48.77,49.86,48.47,48.47,2026100,48.09
2014-01-13,48.24,48.59,47.35,48.49,1047900,48.11
2014-01-06,47.79,48.44,47.28,48.43,1227600,48.06
2013-12-30,48.79,49.15,47.36,47.60,836400,47.23
2013-12-23,48.57,48.91,48.04,48.80,373200,48.42
2013-12-16,47.64,48.45,47.06,48.42,1249500,48.05
2013-12-09,48.98,48.99,47.17,47.58,1153300,47.21
2013-12-02,48.47,49.02,47.32,49.00,1220500,48.24
2013-11-25,49.10,49.11,47.98,48.26,760900,47.51
2013-11-18,48.66,49.23,48.20,48.94,956900,48.18
2013-11-11,47.83,48.92,47.47,48.56,908900,47.81
2013-11-04,47.34,47.94,46.98,47.91,974700,47.17
2013-10-28,46.72,47.87,46.72,47.43,1587600,46.69
2013-10-21,44.99,47.14,44.55,46.67,1762700,45.94
2013-10-14,43.79,45.17,43.55,45.01,1384400,44.31
2013-10-07,43.31,44.11,43.18,43.92,1594800,43.24
2013-09-30,44.71,44.90,43.29,43.47,1733700,42.79
2013-09-23,45.41,45.78,44.57,44.98,1139500,44.28
2013-09-16,45.24,46.11,45.06,45.59,1381000,44.88
2013-09-09,44.57,45.04,43.90,44.91,1434200,44.21
2013-09-03,45.01,45.26,44.17,44.47,1549700,43.40
2013-08-26,45.69,45.69,44.48,44.76,1382100,43.69
2013-08-19,44.71,45.74,44.53,45.62,1028400,44.53
2013-08-12,46.65,46.80,44.72,44.83,967100,43.75
2013-08-05,47.40,47.65,46.66,46.85,825900,45.73
2013-07-29,46.58,47.61,46.33,47.41,1200400,46.27
2013-07-22,48.03,48.19,45.80,46.64,1395200,45.52
2013-07-15,47.39,48.31,46.98,48.29,703300,47.13
2013-07-08,46.51,47.79,46.13,47.46,882600,46.32
2013-07-01,46.21,46.82,45.89,46.37,959300,45.26
2013-06-24,45.13,46.38,44.70,45.93,1363100,44.83
2013-06-17,47.15,47.65,45.08,45.54,1214700,44.45
2013-06-10,46.52,47.41,46.13,46.93,1354700,45.80
2013-06-03,46.11,47.40,45.38,46.33,1395700,44.85
2013-05-28,48.54,49.00,45.97,45.98,1242000,44.51
2013-05-20,49.25,49.28,47.40,48.09,1380600,46.56
2013-05-13,48.86,50.37,48.70,49.25,1341100,47.68
2013-05-06,49.20,49.50,48.50,49.00,1153000,47.44
2013-04-29,48.16,49.26,47.80,49.20,1258400,47.63
2013-04-22,48.02,50.29,47.40,48.08,1948600,46.55
2013-04-15,47.39,48.26,46.73,48.07,1523000,46.54
2013-04-10,46.51,47.77,46.40,47.64,1648700,46.12
