Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,49.96,50.48,49.80,50.08,1302300,50.08
2014-03-03,49.18,50.02,47.90,49.95,2542800,49.95
2014-02-24,51.05,51.25,49.58,51.06,1610800,51.06
2014-02-18,49.08,51.24,48.54,51.01,1770200,51.01
2014-02-10,48.18,49.12,48.00,48.38,1030300,48.38
2014-02-03,49.48,49.61,47.05,48.26,1273700,48.26
2014-01-27,50.25,50.90,48.76,49.44,1298200,49.44
2014-01-21,51.37,51.70,50.07,50.10,1097800,50.10
2014-01-13,52.05,52.80,50.72,50.96,1253000,50.96
2014-01-06,52.57,52.85,51.18,52.12,1545500,52.12
2013-12-30,54.28,54.83,52.83,53.01,1323400,52.46
2013-12-23,52.00,54.89,51.45,54.33,2134400,53.76
2013-12-16,51.74,53.00,49.35,51.09,4950100,50.56
2013-12-09,52.43,52.68,50.69,51.63,1284800,51.09
2013-12-02,53.19,53.42,51.81,52.48,1189900,51.93
2013-11-25,54.06,54.08,53.06,53.33,797900,52.77
2013-11-18,53.52,53.99,52.39,53.87,1142000,53.31
2013-11-11,52.12,53.88,51.43,53.50,1095900,52.94
2013-11-04,51.57,53.22,51.52,52.16,1077100,51.61
2013-10-28,51.79,52.70,51.13,51.48,1088800,50.94
2013-10-21,51.97,52.23,50.85,51.70,1216100,51.16
2013-10-14,50.18,52.74,49.68,52.07,3625500,51.53
2013-10-07,46.37,51.17,45.68,50.50,5112300,49.97
2013-09-30,46.30,46.90,45.43,46.72,2195700,45.68
2013-09-23,45.81,46.75,44.78,46.70,2173200,45.66
2013-09-16,48.81,49.85,45.72,45.78,2556800,44.76
2013-09-09,47.51,48.79,47.51,48.37,901400,47.29
2013-09-03,46.74,47.90,45.71,47.45,1419200,46.39
2013-08-26,47.16,47.38,46.00,46.21,1040100,45.18
2013-08-19,47.92,48.47,46.62,47.01,1747400,45.96
2013-08-12,49.38,49.55,47.60,47.91,1126300,46.84
2013-08-05,49.70,50.15,49.11,49.56,991100,48.45
2013-07-29,49.00,49.97,48.81,49.88,1157900,48.77
2013-07-22,49.46,49.69,47.76,48.93,1367800,47.84
2013-07-15,50.30,51.18,49.39,49.49,1266800,48.39
2013-07-08,51.10,52.24,50.30,50.43,1383200,49.30
2013-07-01,50.73,51.46,50.34,51.33,1094000,49.65
2013-06-24,49.48,50.73,48.43,50.48,2546300,48.82
2013-06-17,52.94,53.65,48.78,50.12,2524700,48.48
2013-06-10,54.56,55.25,52.08,52.54,1337600,50.82
2013-06-03,51.91,54.33,51.90,54.23,1057000,52.45
2013-05-28,53.25,53.60,51.79,51.80,854300,50.10
2013-05-20,53.44,53.77,52.07,52.83,869700,51.10
2013-05-13,53.48,54.21,52.71,53.43,1085300,51.68
2013-05-06,52.75,53.71,52.66,53.56,751400,51.80
2013-04-29,51.15,53.30,50.70,52.82,1595100,51.09
2013-04-22,49.00,51.40,48.48,50.99,1604900,49.32
2013-04-15,50.12,50.47,48.25,48.89,1291600,47.29
2013-04-10,49.34,50.55,49.24,50.26,1890900,48.61
