Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,68.75,68.77,67.93,68.46,820500,68.46
2014-03-03,68.27,69.43,67.63,68.78,1618500,68.78
2014-02-24,66.05,70.00,66.04,68.73,2067500,68.73
2014-02-18,66.69,67.09,65.11,66.13,1417300,66.13
2014-02-10,63.73,68.84,63.15,66.37,2986600,66.37
2014-02-03,64.94,64.95,62.52,63.62,1280300,63.62
2014-01-27,64.11,65.35,63.50,64.93,901200,64.93
2014-01-21,65.39,66.76,63.96,64.20,1614900,64.20
2014-01-13,64.70,65.24,64.28,64.83,1352300,64.83
2014-01-06,65.08,66.15,64.39,64.74,1535000,64.74
2013-12-30,63.49,65.16,63.05,64.47,1380400,64.47
2013-12-23,63.00,63.74,62.97,63.36,819200,63.36
2013-12-16,60.83,62.76,59.63,62.64,2088200,62.64
2013-12-09,58.48,62.90,58.47,60.30,2752700,60.30
2013-12-02,59.44,59.67,56.85,58.26,2370100,58.26
2013-11-25,59.02,62.14,59.00,59.55,3895900,59.55
2013-11-18,59.15,60.38,56.18,56.54,2464900,56.54
2013-11-11,56.60,59.35,56.34,58.89,2470100,58.89
2013-11-04,56.65,56.98,52.75,56.30,3351300,56.30
2013-10-28,55.47,56.78,55.45,56.57,1276400,56.57
2013-10-21,57.67,57.67,55.23,55.44,1357100,55.44
2013-10-14,57.59,58.75,57.13,58.06,1055900,58.06
2013-10-07,57.77,58.41,57.33,57.95,974400,57.95
2013-09-30,56.66,58.95,56.26,58.37,1061500,58.37
2013-09-23,58.03,58.29,56.94,56.98,928900,56.98
2013-09-16,56.10,59.44,56.01,58.47,2123400,58.47
2013-09-09,55.24,56.46,55.05,55.75,1106700,55.75
2013-09-03,108.73,112.15,107.81,110.59,1696500,55.29
2013-08-26,110.36,111.98,107.11,107.51,1319500,53.76
2013-08-19,112.00,112.74,109.28,110.36,1697400,55.18
2013-08-12,114.45,115.66,111.77,112.10,1315200,56.05
2013-08-05,117.57,118.45,112.43,114.35,2418600,57.17
2013-07-29,117.23,118.15,115.75,117.50,1229000,58.75
2013-07-22,117.68,119.76,116.71,117.72,1276500,58.86
2013-07-15,121.66,122.03,116.04,117.96,1662200,58.98
2013-07-08,116.12,121.71,115.08,121.23,2594600,60.62
2013-07-01,121.63,122.46,112.31,114.56,4335600,57.28
2013-06-24,122.95,124.37,120.11,120.80,1318400,60.40
2013-06-17,130.00,131.00,122.56,123.50,1362500,61.75
2013-06-10,126.47,130.80,126.00,128.83,1219200,64.42
2013-06-03,124.30,127.04,122.57,126.42,1221700,63.21
2013-05-28,125.67,127.85,123.98,124.07,1186400,62.03
2013-05-20,128.15,128.38,124.51,125.12,946900,62.56
2013-05-13,129.91,131.18,127.45,128.14,1237200,64.07
2013-05-06,117.62,131.33,117.32,131.19,3177500,65.60
2013-04-29,120.04,120.74,117.15,117.32,2710000,58.66
2013-04-22,122.85,123.52,119.59,120.19,1295100,60.10
2013-04-15,126.54,127.47,121.23,122.62,1075600,61.31
2013-04-10,125.76,127.35,124.67,126.91,1102800,63.46
