Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,29.30,29.48,29.02,29.21,4452000,29.21
2014-03-03,28.47,29.65,27.96,29.38,3938600,29.38
2014-02-24,28.03,28.73,27.67,28.59,3653000,28.59
2014-02-18,27.61,28.50,27.57,28.00,3725600,28.00
2014-02-10,26.76,27.88,26.45,27.58,3920900,27.58
2014-02-03,26.36,27.70,25.56,27.20,7670900,27.20
2014-01-27,23.98,26.86,23.73,26.40,10348200,26.40
2014-01-21,24.24,24.59,23.39,23.84,4950900,23.84
2014-01-13,23.01,24.29,21.25,24.10,8450800,24.10
2014-01-06,22.81,23.69,22.09,23.01,3220300,23.01
2013-12-30,23.14,23.27,22.43,22.68,3594000,22.68
2013-12-23,23.65,24.00,23.06,23.17,2450000,23.17
2013-12-16,22.20,23.66,21.85,23.54,7091000,23.54
2013-12-09,22.02,23.22,20.78,22.22,6007400,22.22
2013-12-02,22.28,22.57,20.47,22.24,7754100,22.24
2013-11-25,23.16,23.32,21.99,22.17,4207400,22.17
2013-11-18,24.15,24.58,22.68,23.14,6160800,23.14
2013-11-11,25.67,26.63,23.87,24.06,4707900,24.06
2013-11-04,25.67,25.95,25.15,25.70,4147300,25.70
2013-10-28,24.66,27.24,23.95,25.63,8844000,25.63
2013-10-21,25.10,25.65,24.00,24.75,3983500,24.75
2013-10-14,24.58,25.07,23.94,25.03,5139300,25.03
2013-10-07,25.24,25.60,23.68,24.72,4389800,24.72
2013-09-30,25.59,26.54,25.05,25.76,4755700,25.76
2013-09-23,26.43,26.89,25.55,25.95,3163000,25.95
2013-09-16,27.04,27.75,26.43,26.54,4094800,26.54
2013-09-09,26.93,27.44,26.23,26.67,3577100,26.67
2013-09-03,27.03,28.00,26.46,26.76,3312700,26.76
2013-08-26,28.07,28.11,26.56,26.64,3028900,26.64
2013-08-19,26.74,28.13,26.32,27.97,3918200,27.97
2013-08-12,26.40,26.96,26.12,26.89,2927900,26.89
2013-08-05,26.41,26.89,26.04,26.65,2243200,26.65
2013-07-29,25.41,26.67,25.35,26.57,4646500,26.57
2013-07-22,24.46,26.98,23.80,25.82,6978100,25.82
2013-07-15,24.25,24.45,23.39,24.27,3140600,24.27
2013-07-08,23.89,24.49,23.17,24.32,3189900,24.32
2013-07-01,22.89,23.88,22.87,23.83,2725000,23.83
2013-06-24,21.89,23.12,21.33,22.99,3670300,22.99
2013-06-17,21.84,23.21,21.75,21.98,4541500,21.98
2013-06-10,23.60,23.66,20.95,21.81,5118200,21.81
2013-06-03,23.01,23.66,22.51,23.61,3831200,23.61
2013-05-28,22.99,23.60,22.77,22.99,4610400,22.99
2013-05-20,22.00,22.98,21.50,22.77,5930100,22.77
2013-05-13,22.27,22.84,21.45,22.21,5289600,22.21
2013-05-06,17.67,22.57,17.62,22.48,11002100,22.48
2013-04-29,17.89,18.13,17.15,17.96,3114500,17.96
2013-04-22,17.10,18.12,16.76,17.88,2888000,17.88
2013-04-15,17.50,17.60,16.65,17.09,3536000,17.09
2013-04-10,17.41,17.96,17.28,17.58,3111800,17.58
