Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,58.59,58.89,58.03,58.22,9759100,58.22
2014-03-03,57.88,59.65,57.45,59.06,10225300,59.06
2014-02-24,55.10,59.70,54.88,58.77,17155200,58.77
2014-02-18,54.85,55.53,54.51,54.59,9454700,54.59
2014-02-10,54.47,54.95,53.43,54.77,10856800,54.77
2014-02-03,53.14,54.74,52.04,54.59,13893200,54.59
2014-01-27,53.80,54.31,52.05,53.20,16183700,53.20
2014-01-21,54.00,55.90,53.51,54.37,34451400,54.37
2014-01-13,52.12,54.16,51.79,53.20,15949500,53.20
2014-01-06,52.40,53.62,51.11,52.16,15118900,52.16
2013-12-30,54.45,55.00,53.19,53.26,8012000,53.26
2013-12-23,54.70,55.32,53.71,54.18,8984300,54.18
2013-12-16,52.24,54.80,51.56,54.58,13786000,54.58
2013-12-09,52.00,52.30,51.19,51.55,8227400,51.55
2013-12-02,52.21,53.08,50.51,52.01,14819300,52.01
2013-11-25,50.72,50.75,48.06,50.52,20151900,50.52
2013-11-18,52.33,52.69,49.86,50.33,17721000,50.33
2013-11-11,52.63,53.48,51.96,52.60,9278200,52.60
2013-11-04,51.99,53.85,50.52,53.00,12954700,53.00
2013-10-28,51.80,53.51,51.46,51.94,10177400,51.94
2013-10-21,52.43,52.92,51.05,51.64,11859400,51.64
2013-10-14,54.11,54.80,50.23,52.20,19851900,52.20
2013-10-07,54.90,55.43,52.10,54.37,8253600,54.37
2013-09-30,55.27,56.25,54.49,55.58,6552500,55.58
2013-09-23,55.01,56.90,54.02,55.78,8506100,55.78
2013-09-16,54.48,55.25,53.44,54.95,9084900,54.95
2013-09-09,52.78,54.61,52.10,53.82,8178700,53.82
2013-09-03,50.58,53.24,50.08,52.83,9115900,52.83
2013-08-26,51.67,52.13,49.62,49.99,8954000,49.99
2013-08-19,52.74,53.28,50.81,51.65,8674700,51.65
2013-08-12,52.75,54.52,51.68,52.92,8743400,52.92
2013-08-05,52.63,53.88,52.33,53.33,6959000,53.33
2013-07-29,52.10,52.75,51.40,52.54,7930700,52.54
2013-07-22,52.42,52.47,50.92,52.25,12990500,52.25
2013-07-15,57.02,57.50,52.12,52.19,18673600,52.19
2013-07-08,54.28,57.07,53.37,57.04,7689400,57.04
2013-07-01,52.20,53.89,52.03,53.85,6461900,53.85
2013-06-24,50.83,52.44,50.09,51.72,10663500,51.72
2013-06-17,51.90,52.99,50.25,51.13,10052400,51.13
2013-06-10,51.80,53.39,50.64,51.29,10413600,51.29
2013-06-03,53.86,53.89,50.83,51.45,11958400,51.45
2013-05-28,55.25,56.25,53.99,54.10,10000500,54.10
2013-05-20,56.56,56.66,53.32,54.64,10001800,54.64
2013-05-13,55.79,57.11,55.09,56.71,9019100,56.71
2013-05-06,54.06,55.99,53.10,55.65,7897000,55.65
2013-04-29,52.61,54.51,51.92,54.21,8247500,54.21
2013-04-22,52.14,53.36,51.16,52.54,11751400,52.54
2013-04-15,56.98,57.48,51.90,52.39,14699000,52.39
2013-04-10,56.33,58.04,56.28,57.31,7202600,57.31
