Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,70.75,71.25,70.27,71.25,621200,71.25
2014-03-03,69.67,71.18,69.14,70.76,494300,70.76
2014-02-24,69.04,70.55,68.91,70.06,593000,70.06
2014-02-18,68.96,70.64,68.17,68.89,1021600,68.89
2014-02-10,70.80,71.93,68.68,69.80,812000,69.55
2014-02-03,70.01,71.23,67.80,70.95,785800,70.70
2014-01-27,69.73,70.84,68.10,70.06,697500,69.81
2014-01-21,70.98,71.62,69.50,69.77,702000,69.52
2014-01-13,68.22,71.33,66.97,70.73,666000,70.48
2014-01-06,68.90,69.05,67.91,68.80,322900,68.55
2013-12-30,69.17,69.64,68.20,68.90,385900,68.65
2013-12-23,68.12,69.25,68.05,69.10,293300,68.85
2013-12-16,67.06,68.17,66.02,67.69,895100,67.45
2013-12-09,68.38,68.54,66.31,66.76,371800,66.52
2013-12-02,67.47,68.34,66.33,68.31,476000,68.07
2013-11-25,68.02,68.29,67.09,67.33,402300,67.09
2013-11-18,66.47,67.88,66.18,67.85,565400,67.61
2013-11-11,64.56,66.70,64.38,66.42,501600,65.96
2013-11-04,65.23,65.25,63.46,64.70,463700,64.26
2013-10-28,65.56,66.22,64.25,65.18,640200,64.73
2013-10-21,62.32,65.67,61.18,65.52,1203800,65.07
2013-10-14,60.50,62.24,60.07,62.17,706200,61.74
2013-10-07,59.24,61.06,59.00,60.90,711700,60.48
2013-09-30,59.46,60.24,58.86,59.59,788500,59.18
2013-09-23,61.51,61.67,59.07,59.81,529300,59.40
2013-09-16,60.65,62.94,60.30,61.53,654600,61.11
2013-09-09,59.48,60.24,59.30,59.95,812200,59.54
2013-09-03,59.63,60.14,58.75,59.34,568600,58.93
2013-08-26,62.38,62.83,58.92,59.09,533800,58.68
2013-08-19,61.83,62.95,61.81,62.43,368500,62.00
2013-08-12,64.97,65.61,62.27,62.32,524200,61.68
2013-08-05,64.86,65.65,64.59,65.16,786100,64.49
2013-07-29,61.83,65.22,61.63,65.19,865800,64.52
2013-07-22,61.45,62.09,60.01,61.79,635300,61.15
2013-07-15,61.15,61.72,60.87,61.44,357300,60.80
2013-07-08,59.92,61.20,59.35,61.09,630100,60.46
2013-07-01,58.95,59.85,58.74,59.54,361700,58.92
2013-06-24,57.97,59.31,57.54,58.93,550200,58.32
2013-06-17,61.28,61.54,58.34,58.45,650700,57.85
2013-06-10,60.53,60.95,59.31,60.80,519600,60.17
2013-06-03,61.00,61.33,59.04,60.35,578700,59.73
2013-05-28,61.63,62.09,60.80,60.90,626000,60.27
2013-05-20,62.45,62.96,60.59,61.21,610400,60.58
2013-05-13,63.62,63.87,62.34,62.88,792900,62.01
2013-05-06,62.05,63.91,62.01,63.81,606900,62.93
2013-04-29,61.35,62.81,60.66,62.14,988900,61.28
2013-04-22,58.70,62.00,58.14,61.33,1026600,60.48
2013-04-15,58.69,58.98,57.71,58.62,898000,57.81
2013-04-10,58.08,59.37,57.73,58.95,765500,58.14
