Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,51.31,51.40,50.95,51.18,1625800,51.18
2014-03-03,52.20,52.48,50.80,51.42,1696600,51.42
2014-02-24,51.30,52.80,50.90,52.37,2723600,52.37
2014-02-18,50.47,51.76,50.42,51.36,1662600,51.36
2014-02-10,48.50,50.56,48.11,50.54,1490400,50.54
2014-02-03,48.39,49.14,47.21,48.71,2139500,48.71
2014-01-27,47.00,48.42,46.87,48.16,1757000,48.16
2014-01-21,47.15,48.14,46.92,46.92,2739800,46.92
2014-01-13,45.62,47.38,45.26,46.90,2402900,46.90
2014-01-06,45.64,46.15,44.74,45.51,2466000,45.51
2013-12-30,45.92,46.51,45.29,45.44,1920800,45.44
2013-12-23,46.69,46.82,45.72,45.97,1031700,45.97
2013-12-16,45.81,46.98,45.16,46.58,2190100,46.22
2013-12-09,45.90,46.33,44.97,45.68,2230800,45.33
2013-12-02,46.21,46.51,45.21,45.89,2493200,45.54
2013-11-25,46.13,46.35,45.27,46.21,3315200,45.85
2013-11-18,49.19,49.20,45.94,46.00,2922400,45.65
2013-11-11,49.07,49.31,47.63,49.17,1855300,48.79
2013-11-04,49.56,49.85,48.14,49.05,1720500,48.67
2013-10-28,49.23,49.95,48.41,49.47,1696900,49.09
2013-10-21,48.50,49.47,48.07,49.41,1579500,49.03
2013-10-14,47.40,48.52,46.71,48.38,1624500,48.01
2013-10-07,46.40,47.81,45.88,47.68,2051200,47.31
2013-09-30,45.62,46.61,45.49,46.35,2207600,45.99
2013-09-23,46.01,47.36,45.51,45.81,2212100,45.46
2013-09-16,45.54,46.90,44.84,46.02,2036500,45.33
2013-09-09,45.05,45.87,44.50,44.94,1672100,44.27
2013-09-03,46.10,46.30,44.26,45.04,1694800,44.37
2013-08-26,46.46,46.69,45.54,45.89,1325200,45.21
2013-08-19,46.95,47.25,45.87,46.48,1370100,45.79
2013-08-12,48.82,48.86,46.57,46.98,1539600,46.28
2013-08-05,49.30,49.50,48.05,49.08,2119600,48.35
2013-07-29,49.03,50.34,48.94,49.37,1790100,48.64
2013-07-22,49.71,49.99,48.17,49.09,1771300,48.36
2013-07-15,48.33,49.76,48.26,49.71,1683000,48.97
2013-07-08,46.30,48.55,46.13,48.47,2155700,47.75
2013-07-01,48.23,48.37,45.62,46.06,1811000,45.37
2013-06-24,45.64,48.40,45.39,48.16,2637400,47.44
2013-06-17,47.76,48.05,44.86,46.06,2798200,45.05
2013-06-10,47.47,47.59,46.19,47.15,3284600,46.11
2013-06-03,45.93,47.65,45.20,47.61,3869600,46.56
2013-05-28,47.90,47.90,45.94,45.94,2080900,44.93
2013-05-20,48.84,49.48,47.61,47.71,3160800,46.66
2013-05-13,49.81,49.96,48.26,48.80,4098500,47.72
2013-05-06,52.19,52.31,49.44,50.01,2889600,48.91
2013-04-29,53.51,54.19,51.21,52.24,2733300,51.09
2013-04-22,52.44,53.55,52.04,53.35,1255300,52.17
2013-04-15,51.79,52.48,51.24,52.47,2063700,51.31
2013-04-10,50.56,52.04,50.56,51.95,1924800,50.81
