Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,189.92,189.92,187.12,189.05,1379600,189.05
2014-03-03,189.05,193.22,188.20,189.92,2114200,189.92
2014-02-24,178.43,191.08,177.03,189.42,3058400,189.42
2014-02-18,178.12,182.06,177.94,178.00,2176500,178.00
2014-02-10,176.76,177.25,172.60,176.96,1519200,176.96
2014-02-03,164.61,176.88,161.50,176.50,2471100,176.50
2014-01-27,165.17,167.60,161.26,165.24,1528100,165.24
2014-01-21,169.16,172.30,165.12,165.53,2113900,165.53
2014-01-13,167.41,173.28,162.97,168.96,1665100,168.96
2014-01-06,164.77,168.89,162.34,166.81,1628300,166.62
2013-12-30,168.95,170.50,163.81,164.56,1319800,164.38
2013-12-23,169.26,169.84,166.23,169.16,932900,168.97
2013-12-16,159.34,169.32,157.51,168.52,2489600,168.33
2013-12-09,160.92,161.94,156.01,159.02,2564300,158.84
2013-12-02,166.00,169.11,159.89,160.04,2276600,159.86
2013-11-25,169.32,171.48,164.19,165.00,1570800,164.82
2013-11-18,171.50,172.20,165.65,170.15,1477300,169.96
2013-11-11,171.21,172.14,165.79,171.38,2059800,171.19
2013-11-04,180.47,183.60,165.05,170.96,2570700,170.77
2013-10-28,183.83,186.85,175.40,178.98,1619900,178.78
2013-10-21,183.00,188.30,176.11,183.44,1844200,183.24
2013-10-14,177.36,185.87,176.33,183.79,1902000,183.59
2013-10-07,172.21,180.95,169.60,178.99,1774000,178.60
2013-09-30,167.56,174.86,167.12,174.59,1384200,174.21
2013-09-23,168.57,173.92,168.11,170.73,1398700,170.36
2013-09-16,167.54,172.81,165.08,168.87,1320600,168.51
2013-09-09,163.10,168.77,160.93,166.44,1600000,166.08
2013-09-03,159.46,164.33,157.05,161.72,1319900,161.37
2013-08-26,157.26,161.32,156.00,157.05,1214600,156.71
2013-08-19,155.52,156.79,151.39,156.62,1105600,156.28
2013-08-12,158.16,160.45,154.29,155.49,1388800,155.16
2013-08-05,152.94,161.47,151.31,158.84,2632000,158.50
2013-07-29,145.32,153.21,141.55,153.03,1517000,152.70
2013-07-22,148.63,150.05,143.16,145.74,1948000,145.43
2013-07-15,144.63,148.70,142.59,148.67,1575300,148.35
2013-07-08,141.50,146.79,139.01,144.71,1988400,144.21
2013-07-01,133.79,140.64,133.24,140.40,1444700,139.92
2013-06-24,128.89,134.08,124.53,131.68,1694300,131.23
2013-06-17,133.20,137.99,128.57,130.40,1777300,129.95
2013-06-10,132.33,133.61,128.24,131.74,1286000,131.29
2013-06-03,130.15,133.65,127.52,132.68,1457600,132.22
2013-05-28,132.46,133.94,129.09,129.10,1566100,128.65
2013-05-20,135.37,137.15,128.23,130.83,1662600,130.38
2013-05-13,132.82,137.64,132.31,135.25,2058000,134.78
2013-05-06,124.60,139.00,123.26,133.58,3298300,133.12
2013-04-29,120.50,124.20,117.76,123.98,1699200,123.55
2013-04-22,113.95,123.53,113.51,119.12,2180100,118.71
2013-04-15,122.36,122.37,112.05,113.44,2830100,113.05
2013-04-10,128.56,130.20,124.01,124.13,1621700,123.70
