Symbol,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,To,From,CAGR,Previous value,Years,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17
MMM,6.72,6.32,5.96,5.63,4.52,4.89,5.6,5.06,4.12,3.75,3.02,2.495,1.79,2.225,2.17,0.48,N/A,N/A,2014,2012,0.031160094,6.32,1,0.06329113900,0.06040268500,0.05861456500,0.24557522100,-0.07566462200,-0.12678571400,0.10671936800,0.22815534000,0.09866666700,0.24172185400,0.21042084200,0.39385474900,-0.19550561800,0.02534562200,3.52083333300,0.00000000000,0.00000000000
ABT,1.62,3.72,1.98,2.96,3.69,3.12,2.31,1.12,2.16,2.06,1.75,1.78,0.99,1.78,1.57,0.75,N/A,N/A,2014,1999,0.002092221,1.57,14,-0.56451612900,0.87878787900,-0.33108108100,-0.19783197800,0.18269230800,0.35064935100,1.06250000000,-0.48148148100,0.04854368900,0.17714285700,-0.01685393300,0.79797979800,-0.44382022500,0.13375796200,1.09333333300,0.00000000000,0.00000000000
ABBV,2.56,3.35,2.18,2.65,,,,,,,,,,,,,,,2014,2010,-0.008600894,2.65,3,-0.23582089600,0.53669724800,-0.17735849100,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
ACN,5.08,3.97,3.53,2.79,2.55,2.77,2.06,1.65,1.6,1.25,,,,,,,,,2014,2011,0.129006223,3.53,2,0.27959697700,0.12464589200,0.26523297500,0.09411764700,-0.07942238300,0.34466019400,0.24848484800,0.03125000000,0.28000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
ACE,10.92,7.89,4.52,9.04,7.55,3.53,7.66,6.91,3.31,3.88,5.01,0.19,-0.74,2.31,1.85,,,,2014,2004,0.109019267,3.88,9,0.38403041800,0.74557522100,-0.50000000000,0.19735099300,1.13881019800,-0.53916449100,0.10853835000,1.08761329300,-0.14690721600,-0.22554890200,25.36842105000,-1.25675675700,-1.32034632000,0.24864864900,0.00000000000,0.00000000000,0.00000000000
ACT,-5.27,0.76,2.06,1.48,1.96,2.09,1.27,-4.37,1.22,1.26,,,,,,,,,2014,2013,0,-5.27,0,-7.93421052600,-0.63106796100,0.39189189200,-0.24489795900,-0.06220095700,0.64566929100,-1.29061784900,-4.58196721300,-0.03174603200,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
ADBE,1.65,1.47,0.73,1.59,1.21,0.83,1.19,0.91,0.55,0.395,0.415,0.565,0.46,0.194,0.169,,,,2014,2005,0.129830964,0.55,8,0.12244898000,1.01369863000,-0.54088050300,0.31404958700,0.45783132500,-0.30252100800,0.30769230800,0.65454545500,0.39240506300,-0.04819277100,-0.26548672600,0.22826087000,1.37113402100,0.14792899400,0.00000000000,0.00000000000,0.00000000000
AES,0.15,-1.21,0.07,0.01,0.98,1.82,-0.14,0.3,0.95,0.6,-0.67,-6.51,0.51,0.47,N/A,,,,2014,2011,0.289231989,0.07,2,-1.12396694200,-18.28571429000,6.00000000000,-0.98979591800,-0.46153846200,-14.00000000000,-1.46666666700,-0.68421052600,0.58333333300,-1.89552238800,-0.89708141300,-13.76470588000,0.08510638300,0.00000000000,0.00000000000,0.00000000000,0.00000000000
AET,5.33,4.81,5.22,4.18,2.84,2.83,3.47,2.99,2.7,3.575,1.478,-4.123,N/A,N/A,N/A,,,,2014,2011,0.006975495,5.22,2,0.10810810800,-0.07854406100,0.24880382800,0.47183098600,0.00353356900,-0.18443804000,0.16053511700,0.10740740700,-0.24475524500,1.41880920200,-1.35847683700,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
AFL,6.76,6.11,4.12,4.92,3.19,2.62,3.31,2.95,2.92,2.52,1.52,1.57,1.28,1.26,1.035,0.405,N/A,N/A,2014,1998,0.192355418,0.405,15,0.10638297900,0.48300970900,-0.16260162600,0.54231974900,0.21755725200,-0.20845921500,0.12203389800,0.01027397300,0.15873015900,0.65789473700,-0.03184713400,0.22656250000,0.01587301600,0.21739130400,1.55555555600,0.00000000000,0.00000000000
A,2.85,1.94,-0.09,1.87,1.57,7.5,0.65,0.71,-4.35,-2.22,0.38,1.66,,,,,,,2014,2005,-1.954102573,-4.35,8,0.46907216500,-22.55555556000,-1.04812834200,0.19108280300,-0.79066666700,10.53846154000,-0.08450704200,-1.16321839100,0.95945945900,-6.84210526300,-0.77108433700,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
GAS,2.64,2.31,2.12,3,2.88,2.84,2.72,2.72,2.48,2.28,2.01,1.66,,,,,,,2014,2006,-0.003724667,2.72,7,0.14285714300,0.08962264200,-0.29333333300,0.04166666700,0.01408450700,0.04411764700,0.00000000000,0.09677419400,0.08771929800,0.13432835800,0.21084337300,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
APD,1.35,4.68,5.44,5.63,4.74,2.96,4.15,4.64,3.18,3.08,2.64,1.78,2.36,2.12,0.57,2.09,0.59,N/A,2014,2007,-0.148221793,4.15,6,-0.71153846200,-0.13970588200,-0.03374778000,0.18776371300,0.60135135100,-0.28674698800,-0.10560344800,0.45911949700,0.03246753200,0.16666666700,0.48314606700,-0.24576271200,0.11320754700,2.71929824600,-0.72727272700,2.54237288100,0.00000000000
ARG,3.51,4.35,4,2.94,2.34,3.12,2.66,1.92,1.57,1.2,1.07,0.94,-0.15,0.42,0.54,0.72,N/A,N/A,2014,2012,-0.101725793,4.35,1,-0.19310344800,0.08750000000,0.36054421800,0.25641025600,-0.25000000000,0.17293233100,0.38541666700,0.22292993600,0.30833333300,0.12149532700,0.13829787200,-7.26666666700,-1.35714285700,-0.22222222200,-0.25000000000,0.00000000000,0.00000000000
AKAM,1.61,1.12,1.07,0.9,0.78,0.79,0.56,0.34,2.11,0.25,-0.25,-1.81,-23.59,-10.07,N/A,,,,2014,2013,0,1.61,0,0.43750000000,0.04672897200,0.18888888900,0.15384615400,-0.01265822800,0.41071428600,0.64705882400,-0.83886255900,7.44000000000,-2.00000000000,-0.86187845300,-0.92327257300,1.34260178700,0.00000000000,0.00000000000,0.00000000000,0.00000000000
AA,-2.14,0.18,0.55,0.24,-1.23,-0.09,2.95,2.57,1.4,1.49,1.08,0.49,1.05,1.8,0.795,,,,2014,2008,0.695750201,-0.09,5,-12.88888889000,-0.67272727300,1.29166666700,-1.19512195100,12.66666667000,-1.03050847500,0.14785992200,0.83571428600,-0.06040268500,0.37962963000,1.20408163300,-0.53333333300,-0.41666666700,1.26415094300,0.00000000000,0.00000000000,0.00000000000
ALXN,1.27,1.28,0.91,0.52,1.535,0.195,-0.555,-1.038,-0.29,,,,,,,,,,2014,2005,-2.178330998,-0.29,8,-0.00781250000,0.40659340700,0.75000000000,-0.66123778500,6.87179487200,-1.35135135100,-0.46531791900,2.57931034500,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
ATI,1.44,1.43,1.97,0.72,0.32,5.67,7.26,5.59,3.57,0.22,-3.89,-0.82,-0.31,1.6,2.96,1.4,N/A,N/A,2014,2011,-0.099192302,1.97,2,0.00699300700,-0.27411167500,1.73611111100,1.25000000000,-0.94356261000,-0.21900826400,0.29874776400,0.56582633100,15.22727273000,-1.05655527000,3.74390243900,1.64516129000,-1.19375000000,-0.45945945900,1.11428571400,0.00000000000,0.00000000000
AGN,3.32,3.64,3.07,0,2.03,1.89,1.62,-0.435,1.505,1.41,-0.2,0.285,0.84,0.805,0.695,-0.01,N/A,N/A,2014,1998,#NUM!,-0.01,15,-0.08791208800,0.18566775200,0.00000000000,-1.00000000000,0.07407407400,0.16666666700,-4.72413793100,-1.28903654500,0.06737588700,-8.05000000000,-1.70175438600,-0.66071428600,0.04347826100,0.15827338100,-70.50000000000,0.00000000000,0.00000000000
