Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,58.22,58.29,57.50,57.73,1643200,57.73
2014-03-03,58.36,59.41,57.52,58.25,1982300,58.25
2014-02-24,58.81,59.15,58.00,58.47,1788300,58.47
2014-02-18,58.50,59.34,58.00,58.71,2081600,58.71
2014-02-10,56.90,58.86,56.77,58.58,2427300,58.58
2014-02-03,55.23,57.14,54.56,56.87,3004800,56.87
2014-01-27,53.57,55.61,53.20,55.38,3116500,55.38
2014-01-21,54.13,54.86,53.48,53.70,2367900,53.70
2014-01-13,53.32,54.09,53.11,53.84,1826700,53.84
2014-01-06,52.54,53.89,52.43,53.57,1810000,53.57
2013-12-30,51.82,52.61,51.55,52.43,1440700,52.43
2013-12-23,52.05,52.31,51.20,51.84,1404000,51.84
2013-12-16,52.28,52.64,50.89,51.96,2131500,51.31
2013-12-09,52.99,54.05,51.88,52.21,2712000,51.56
2013-12-02,51.30,53.83,51.22,53.16,3229800,52.49
2013-11-25,51.20,52.17,50.08,51.54,2299800,50.89
2013-11-18,51.59,51.73,50.43,50.83,1436000,50.19
2013-11-11,51.69,52.44,50.88,51.38,1493000,50.74
2013-11-04,52.92,53.39,50.98,51.70,1521300,51.05
2013-10-28,55.00,55.07,51.76,52.90,2089600,52.24
2013-10-21,55.12,55.93,53.61,54.91,2181000,54.22
2013-10-14,53.39,56.06,53.22,55.21,1405500,54.52
2013-10-07,52.22,53.74,52.13,53.72,1368600,53.05
2013-09-30,54.23,54.96,52.18,52.63,1841800,51.97
2013-09-23,55.77,56.40,54.00,54.55,1290700,53.87
2013-09-16,55.21,56.97,54.32,56.10,2948200,55.40
2013-09-09,53.04,55.23,52.98,54.59,1610800,53.52
2013-09-03,52.26,53.25,50.77,53.04,1653700,52.00
2013-08-26,52.57,53.33,51.40,51.89,1568300,50.88
2013-08-19,50.44,52.57,50.24,52.51,1911600,51.48
2013-08-12,54.00,54.10,50.57,50.67,1946200,49.68
2013-08-05,55.14,55.19,53.69,54.21,1680000,53.15
2013-07-29,58.10,58.59,54.88,54.95,2116300,53.88
2013-07-22,58.73,59.19,57.12,58.09,1182900,56.96
2013-07-15,58.17,59.40,57.98,58.74,1276200,57.59
2013-07-08,57.52,59.28,57.20,58.63,1624400,57.49
2013-07-01,58.34,58.70,56.13,57.36,1994800,56.24
2013-06-24,54.02,58.80,53.47,58.06,3192100,56.93
2013-06-17,56.70,57.04,52.71,54.73,2272100,53.66
2013-06-10,56.69,57.05,54.60,56.34,1818400,54.84
2013-06-03,56.58,57.58,55.72,56.69,2596600,55.18
2013-05-28,60.81,60.90,56.42,56.55,3735500,55.04
2013-05-20,59.57,60.97,58.05,60.30,4282300,58.69
2013-05-13,57.58,60.00,57.40,59.59,2869500,58.00
2013-05-06,55.93,57.78,55.91,57.71,1600600,56.17
2013-04-29,56.83,58.51,55.90,56.02,1891400,54.53
2013-04-22,58.03,58.19,56.42,56.61,1605700,55.10
2013-04-15,58.68,59.09,57.26,57.97,1681700,56.42
2013-04-10,58.30,59.42,58.04,59.09,1683900,57.51
