Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,77.80,78.65,77.70,78.64,4680600,78.64
2014-03-03,74.77,78.71,74.32,78.30,6049000,78.30
2014-02-24,74.01,75.74,73.20,75.31,6355500,75.31
2014-02-18,76.45,78.17,72.92,74.01,8542000,74.01
2014-02-10,74.22,76.84,74.07,76.75,4106700,76.75
2014-02-03,75.21,75.48,72.68,74.38,4558600,74.38
2014-01-27,73.46,75.28,72.64,74.69,5046700,74.69
2014-01-21,74.35,75.13,73.29,73.32,4816700,73.32
2014-01-13,72.90,74.21,72.17,73.62,4153900,73.62
2014-01-06,70.13,72.91,69.61,72.86,5242400,72.86
2013-12-30,70.40,70.56,69.77,70.00,2797700,70.00
2013-12-23,69.40,70.79,69.07,70.60,2815800,70.60
2013-12-16,66.98,69.16,66.48,68.96,4768600,68.96
2013-12-09,67.30,68.52,66.41,66.62,4100200,66.62
2013-12-02,67.32,67.64,66.15,66.95,3941300,66.95
2013-11-25,66.94,67.95,66.35,67.35,4028900,67.35
2013-11-18,65.34,66.45,64.66,66.39,4695600,66.39
2013-11-11,64.06,66.55,63.97,65.34,5025300,65.34
2013-11-04,62.42,65.49,61.89,64.20,5737000,64.20
2013-10-28,61.22,62.94,60.51,62.37,5953500,62.37
2013-10-21,63.51,65.23,59.20,60.88,7382500,60.88
2013-10-14,62.77,64.23,62.40,63.76,3636900,63.76
2013-10-07,61.96,63.19,61.06,63.06,3709500,63.06
2013-09-30,61.62,62.75,61.20,62.53,4429800,62.53
2013-09-23,62.14,63.47,60.80,61.93,6877100,61.93
2013-09-16,66.51,66.51,61.81,62.05,8795600,62.05
2013-09-09,65.35,66.29,63.79,65.73,3492900,65.73
2013-09-03,64.48,65.88,64.08,65.52,3018600,65.52
2013-08-26,65.14,65.41,63.50,63.88,3003400,63.88
2013-08-19,64.42,65.24,63.95,64.84,2687300,64.84
2013-08-12,64.80,65.86,63.70,64.61,3656200,64.61
2013-08-05,65.23,66.74,65.03,65.18,4775000,65.18
2013-07-29,67.21,67.66,64.24,65.15,6479200,65.15
2013-07-22,67.42,67.66,66.20,67.66,3378000,67.66
2013-07-15,65.20,66.90,64.68,66.50,3909300,66.50
2013-07-08,63.01,65.31,63.01,65.30,3676600,65.30
2013-07-01,62.73,63.25,61.52,62.95,2667200,62.95
2013-06-24,61.61,62.54,60.78,61.74,3610400,61.74
2013-06-17,62.18,63.34,60.60,61.96,4969500,61.96
2013-06-10,62.34,63.27,61.26,61.94,3956400,61.94
2013-06-03,62.18,63.15,60.94,62.50,4892800,62.50
2013-05-28,63.74,64.08,62.12,62.12,4439000,62.12
2013-05-20,61.59,63.38,61.10,62.68,5240200,62.68
2013-05-13,61.66,62.14,60.29,61.87,5100400,61.87
2013-05-06,61.39,62.04,60.33,61.40,4666700,61.40
2013-04-29,57.91,61.92,57.74,61.56,7669100,61.56
2013-04-22,55.49,58.11,54.99,57.91,4551900,57.91
2013-04-15,55.96,56.48,54.57,55.35,5402700,55.35
2013-04-10,57.63,58.48,56.07,56.30,5441000,56.30
