Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,51.87,51.93,51.02,51.46,2063600,51.46
2014-03-03,52.65,53.20,51.40,51.94,2109100,51.94
2014-02-24,52.76,53.86,52.00,52.66,2510500,51.91
2014-02-18,51.76,52.69,50.03,52.42,2988400,51.67
2014-02-10,50.41,52.25,50.20,51.24,2420000,50.51
2014-02-03,50.07,50.72,48.25,50.45,2828800,49.73
2014-01-27,51.45,52.05,49.65,50.37,2630500,49.65
2014-01-21,55.04,55.58,50.82,51.34,3756500,50.61
2014-01-13,56.75,56.87,54.09,54.60,2469100,53.82
2014-01-06,56.72,57.45,56.05,56.94,1787000,56.13
2013-12-30,56.60,57.44,56.26,56.57,1521500,55.77
2013-12-23,55.25,56.66,54.66,56.59,1668900,55.78
2013-12-16,58.14,58.82,54.93,54.98,4607800,54.20
2013-12-09,58.95,60.28,57.15,57.65,1890600,56.83
2013-12-02,59.25,60.41,58.61,59.05,2382700,58.21
2013-11-25,60.88,61.00,58.87,59.08,1956300,57.51
2013-11-18,62.05,62.08,60.21,61.09,1974500,59.47
2013-11-11,61.50,62.25,60.61,61.88,1910700,60.24
2013-11-04,57.55,61.53,56.63,61.48,3698100,59.85
2013-10-28,57.14,58.75,56.96,57.39,2478500,55.87
2013-10-21,55.12,57.06,54.17,57.02,2245100,55.51
2013-10-14,54.28,55.58,54.17,55.04,1629900,53.58
2013-10-07,54.70,55.18,53.49,54.77,1479000,53.32
2013-09-30,54.06,55.50,53.64,55.32,1979900,53.85
2013-09-23,54.66,55.58,54.11,54.50,1792100,53.06
2013-09-16,56.01,56.71,54.72,54.76,2045100,53.31
2013-09-09,56.52,57.59,55.29,55.48,1667000,54.01
2013-09-03,56.07,56.75,53.91,56.20,3191300,54.71
2013-08-26,57.70,58.00,55.39,55.56,1838100,53.59
2013-08-19,56.01,57.46,54.97,57.33,1567600,55.30
2013-08-12,58.50,58.92,55.70,56.01,1734700,54.02
2013-08-05,58.41,59.63,57.00,58.85,1591900,56.76
2013-07-29,58.77,59.39,57.09,58.45,1766500,56.38
2013-07-22,61.81,61.96,58.41,58.85,1285100,56.76
2013-07-15,60.21,61.25,58.30,61.23,1668600,59.06
2013-07-08,58.10,60.26,57.75,60.25,1496900,58.11
2013-07-01,58.49,58.90,55.94,57.83,1695800,55.78
2013-06-24,57.01,58.64,54.99,58.12,1623300,56.06
2013-06-17,58.75,59.78,56.62,57.35,1478500,55.32
2013-06-10,60.71,60.74,57.26,58.08,2088100,56.02
2013-06-03,60.37,61.29,59.25,60.26,1276400,58.12
2013-05-28,62.53,63.00,60.17,60.17,1527200,57.56
2013-05-20,62.43,64.14,60.80,61.64,1806500,58.96
2013-05-13,60.68,62.48,60.16,62.15,1942400,59.45
2013-05-06,60.38,62.77,60.16,60.74,2433600,58.10
2013-04-29,55.96,60.67,55.03,60.15,2840300,57.54
2013-04-22,53.43,56.33,53.10,55.41,1703800,53.00
2013-04-15,56.22,56.40,51.01,53.39,4020500,51.07
2013-04-10,58.82,59.47,56.10,56.98,2100700,54.51
