Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,23.45,23.70,23.32,23.48,2809000,23.48
2014-03-03,22.16,23.73,21.86,23.50,2672100,23.50
2014-02-24,22.48,22.97,22.02,22.47,2919700,22.47
2014-02-18,21.78,22.99,21.77,22.37,4659900,22.37
2014-02-10,20.34,22.02,20.20,21.81,4328500,21.81
2014-02-03,20.03,20.54,18.86,20.27,4360000,20.27
2014-01-27,21.30,21.32,19.79,20.02,4579900,20.02
2014-01-21,21.21,21.60,20.18,20.97,6192300,20.97
2014-01-13,20.87,21.48,20.50,21.02,2712900,21.02
2014-01-06,20.33,21.10,20.19,20.91,3531100,20.91
2013-12-30,19.45,20.35,19.27,20.30,2452300,20.30
2013-12-23,19.42,19.58,19.30,19.45,1645900,19.45
2013-12-16,18.57,19.50,18.43,19.34,3697000,19.34
2013-12-09,18.36,18.75,18.10,18.53,2431900,18.53
2013-12-02,17.96,18.34,17.74,18.28,2403800,18.28
2013-11-25,17.79,17.99,17.57,17.92,1431100,17.92
2013-11-18,17.63,17.93,17.27,17.75,2502200,17.75
2013-11-11,17.69,18.05,17.45,17.64,3038800,17.64
2013-11-04,17.20,17.76,16.84,17.76,2925300,17.76
2013-10-28,17.34,17.40,16.84,17.13,3093800,17.13
2013-10-21,17.56,17.58,16.26,17.31,6082200,17.31
2013-10-14,16.83,17.71,16.63,17.49,3132100,17.49
2013-10-07,16.94,17.06,15.54,17.00,3103400,17.00
2013-09-30,16.49,17.30,16.34,17.13,2958500,17.13
2013-09-23,16.64,16.98,16.38,16.76,2412600,16.76
2013-09-16,17.37,17.73,16.63,16.71,5124700,16.71
2013-09-09,16.30,17.47,16.22,17.11,3280700,17.11
2013-09-03,14.27,16.47,14.27,16.26,6672900,16.26
2013-08-26,14.66,14.70,13.93,14.04,2029200,14.04
2013-08-19,14.50,14.73,14.31,14.65,1823700,14.65
2013-08-12,14.59,14.79,14.44,14.56,2504600,14.56
2013-08-05,15.25,15.39,14.30,14.68,2649700,14.68
2013-07-29,14.83,15.35,14.74,15.29,3949400,15.29
2013-07-22,13.47,15.01,13.35,14.85,6036000,14.85
2013-07-15,13.49,13.60,13.16,13.49,2186300,13.49
2013-07-08,13.19,13.70,13.17,13.42,2965100,13.42
2013-07-01,12.66,13.20,12.66,13.16,3638100,13.16
2013-06-24,12.06,12.73,11.61,12.66,4721100,12.66
2013-06-17,11.54,12.34,11.51,12.24,4791500,12.24
2013-06-10,11.78,11.88,11.28,11.44,3029800,11.44
2013-06-03,11.67,11.81,11.10,11.76,3409800,11.76
2013-05-28,11.45,11.99,11.45,11.62,3742200,11.62
2013-05-20,11.47,11.80,11.02,11.31,3521100,11.31
2013-05-13,11.13,11.56,11.08,11.53,4284100,11.53
2013-05-06,10.83,11.19,10.72,11.16,4302300,11.16
2013-04-29,10.23,10.96,10.02,10.85,3604400,10.85
2013-04-22,9.81,10.41,9.72,10.20,3579000,10.20
2013-04-15,10.10,10.17,9.52,9.83,6162900,9.83
2013-04-10,10.24,10.47,10.15,10.17,2907900,10.17
