Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,62.48,62.65,62.07,62.25,1509100,62.25
2014-03-03,63.60,63.89,61.82,62.56,1570100,62.56
2014-02-24,64.86,65.05,63.53,63.82,1124700,63.82
2014-02-18,64.52,65.34,64.19,64.45,1596500,64.45
2014-02-10,63.42,64.66,61.67,64.49,2184600,64.49
2014-02-03,63.23,63.92,62.01,63.56,2108600,62.73
2014-01-27,61.46,63.49,60.87,63.03,1962200,62.21
2014-01-21,61.99,62.49,60.99,61.28,1505300,60.48
2014-01-13,61.23,61.77,60.55,61.61,1617900,60.81
2014-01-06,60.61,62.18,60.40,61.06,1955100,60.26
2013-12-30,63.13,63.55,60.64,61.03,1268300,60.23
2013-12-23,62.74,63.08,62.27,62.83,744800,62.01
2013-12-16,61.29,62.57,60.77,62.49,1589400,61.67
2013-12-09,62.81,62.99,60.22,61.20,2248400,60.40
2013-12-02,62.06,63.34,61.55,63.01,1314900,62.19
2013-11-25,62.68,62.94,61.60,61.89,1019300,61.08
2013-11-18,63.87,63.91,62.39,62.53,1108400,61.71
2013-11-11,63.74,63.87,62.02,63.67,1373300,62.84
2013-11-04,65.42,65.49,63.32,64.42,1372100,63.58
2013-10-28,68.14,68.56,64.38,65.14,1895500,63.47
2013-10-21,66.38,68.63,65.75,68.27,1165600,66.52
2013-10-14,65.13,66.74,63.58,66.35,1122700,64.65
2013-10-07,63.18,65.37,63.16,65.30,940600,63.62
2013-09-30,63.02,64.14,62.95,63.48,1072700,61.85
2013-09-23,63.35,64.93,63.00,63.32,889600,61.70
2013-09-16,63.88,65.83,63.39,63.63,1108800,62.00
2013-09-09,62.85,63.50,62.11,63.09,1325400,61.47
2013-09-03,63.48,63.63,61.66,62.92,1384500,61.31
2013-08-26,63.90,64.15,61.88,63.23,1477500,61.61
2013-08-19,64.58,64.78,62.75,63.94,1126200,62.30
2013-08-12,66.77,66.89,64.29,64.59,1889800,62.93
2013-08-05,68.11,70.05,66.47,66.90,2076700,65.18
2013-07-29,70.04,71.77,67.34,68.19,2119200,65.62
2013-07-22,71.94,72.60,69.49,70.13,2951900,67.49
2013-07-15,70.98,72.19,70.45,71.91,921800,69.20
2013-07-08,68.29,71.32,68.04,70.89,1052200,68.22
2013-07-01,69.94,70.18,67.43,68.06,998000,65.50
2013-06-24,67.55,71.59,66.90,69.68,1224600,67.06
2013-06-17,68.67,70.10,66.25,68.13,1268800,65.57
2013-06-10,69.29,69.88,67.18,68.47,1079000,65.89
2013-06-03,69.18,70.48,67.09,68.19,1200500,65.62
2013-05-28,68.73,70.66,68.35,68.88,1556000,66.29
2013-05-20,71.00,71.13,67.59,68.94,1100100,66.35
2013-05-13,67.21,71.30,66.86,71.14,1890500,68.46
2013-05-06,71.01,71.24,66.72,67.49,1271700,64.95
2013-04-29,69.47,72.10,69.26,71.10,1784200,67.60
2013-04-22,69.65,70.19,68.24,69.11,2488700,65.71
2013-04-15,69.39,70.70,68.65,69.71,1453200,66.28
2013-04-10,67.92,69.70,67.81,69.70,1416500,66.27
