Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,75.26,75.80,74.75,75.23,2065200,75.23
2014-03-03,76.45,77.97,74.44,75.19,2572200,75.19
2014-02-24,79.61,80.43,77.62,78.53,1655000,78.37
2014-02-18,77.33,81.78,76.15,79.99,2485400,79.83
2014-02-10,74.21,78.27,73.50,77.13,2173100,76.98
2014-02-03,65.07,75.45,62.76,74.45,4316600,74.30
2014-01-27,66.35,67.25,64.19,64.98,1876100,64.85
2014-01-21,68.17,68.30,65.14,66.30,3498800,66.17
2014-01-13,69.65,72.05,67.47,70.69,2282400,70.55
2014-01-06,69.13,72.19,67.71,69.60,1993800,69.46
2013-12-30,69.00,69.76,68.34,69.20,1207600,69.06
2013-12-23,67.99,69.45,67.62,68.76,747300,68.62
2013-12-16,63.49,68.21,63.28,67.61,2576800,67.48
2013-12-09,63.62,64.13,62.10,62.73,1591300,62.61
2013-12-02,63.60,64.23,61.92,63.48,1521800,63.35
2013-11-25,62.21,64.20,61.16,63.69,1527100,63.56
2013-11-18,61.24,62.71,60.21,62.05,2136200,61.93
2013-11-11,59.61,62.06,59.12,61.19,2073400,60.92
2013-11-04,60.08,60.88,58.10,59.88,3089000,59.61
2013-10-28,50.53,60.19,49.73,60.11,7086600,59.84
2013-10-21,48.45,51.21,47.95,50.45,3139700,50.23
2013-10-14,49.75,49.83,47.26,48.43,5743100,48.22
2013-10-07,51.39,52.31,48.85,51.73,3117000,51.50
2013-09-30,51.54,54.12,51.42,51.67,2769600,51.44
2013-09-23,52.64,53.17,51.12,52.21,2499000,51.98
2013-09-16,51.82,54.03,51.53,52.82,4399300,52.59
2013-09-09,50.76,52.50,50.53,51.19,3911200,50.96
2013-09-03,47.40,50.09,47.01,49.68,3095800,49.46
2013-08-26,48.80,48.85,46.63,46.76,2702200,46.55
2013-08-19,47.20,51.31,45.69,48.84,4248600,48.47
2013-08-12,50.61,50.85,47.19,47.39,3250200,47.04
2013-08-05,48.35,52.17,48.01,50.68,5460900,50.30
2013-07-29,47.98,48.22,45.75,48.17,6760300,47.81
2013-07-22,64.93,65.95,47.09,47.20,9252200,46.85
2013-07-15,63.75,66.14,63.23,64.43,1925100,63.95
2013-07-08,63.02,63.99,62.00,63.75,1769700,63.27
2013-07-01,60.32,62.92,60.08,62.88,1567700,62.41
2013-06-24,58.42,60.72,56.06,60.15,2565000,59.70
2013-06-17,58.34,61.08,58.08,58.83,2529000,58.39
2013-06-10,55.86,58.76,55.72,58.01,1959100,57.58
2013-06-03,57.52,58.15,54.39,55.84,2235700,55.42
2013-05-28,59.69,60.10,57.25,57.51,2128900,57.08
2013-05-20,58.66,59.12,56.91,59.04,3367900,58.47
2013-05-13,58.48,61.51,57.36,58.10,3589000,57.54
2013-05-06,58.96,59.43,55.50,58.87,3902400,58.30
2013-04-29,58.73,59.38,54.65,59.00,4213500,58.43
2013-04-22,61.77,65.22,58.08,58.56,3961900,57.99
2013-04-15,63.89,64.31,60.16,61.67,1993200,61.07
2013-04-10,62.87,65.39,62.71,64.43,1554600,63.81
