Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,15.50,15.64,15.45,15.51,30496600,15.51
2014-03-03,15.20,15.83,15.03,15.62,31829800,15.62
2014-02-24,15.18,15.46,15.07,15.39,30582400,15.39
2014-02-18,15.38,15.49,15.11,15.16,27261300,15.16
2014-02-10,15.05,15.36,14.78,15.24,34302000,15.24
2014-02-03,15.00,15.13,14.40,14.97,55845700,14.97
2014-01-27,15.90,16.01,14.90,14.96,51584800,14.96
2014-01-21,16.64,16.68,15.78,15.83,42055800,15.70
2014-01-13,16.37,16.78,16.08,16.52,48257300,16.39
2014-01-06,15.72,16.11,15.35,16.07,51680500,15.94
2013-12-30,15.36,15.64,15.25,15.51,34578100,15.39
2013-12-23,15.49,15.50,15.10,15.30,32168000,15.18
2013-12-16,16.72,16.99,15.17,15.42,89017700,15.30
2013-12-09,16.68,16.79,16.20,16.59,36444600,16.46
2013-12-02,17.12,17.20,16.42,16.70,44149600,16.57
2013-11-25,17.10,17.18,16.81,17.08,24511100,16.94
2013-11-18,17.07,17.18,16.82,17.01,30396400,16.87
2013-11-11,16.87,17.20,16.64,17.07,33762800,16.93
2013-11-04,16.97,17.20,16.53,16.85,40211700,16.72
2013-10-28,17.66,17.72,16.76,16.89,41077700,16.76
2013-10-21,17.59,18.02,17.39,17.60,43360100,17.36
2013-10-14,16.93,17.55,16.92,17.53,30706700,17.29
2013-10-07,16.86,17.12,16.35,17.11,40887800,16.88
2013-09-30,16.77,17.34,16.69,17.09,33895200,16.86
2013-09-23,17.27,17.40,16.98,17.05,34906900,16.82
2013-09-16,17.53,17.77,17.30,17.39,34780600,17.15
2013-09-09,17.11,17.68,17.10,17.35,33139600,17.11
2013-09-03,16.42,17.35,16.21,17.00,55172300,16.77
2013-08-26,16.44,16.66,15.71,16.19,38766100,15.97
2013-08-19,16.29,16.52,15.82,16.45,28710200,16.23
2013-08-12,16.91,17.21,16.22,16.30,32236100,16.08
2013-08-05,17.44,17.50,16.72,17.02,33627300,16.79
2013-07-29,17.08,17.50,16.84,17.50,33522400,17.26
2013-07-22,16.87,17.68,16.82,17.02,44847400,16.69
2013-07-15,17.24,17.29,16.41,16.76,34406600,16.44
2013-07-08,16.85,17.11,16.65,17.11,35168800,16.78
2013-07-01,15.61,16.74,15.56,16.70,47282600,16.38
2013-06-24,14.67,15.70,14.30,15.47,42623800,15.17
2013-06-17,15.53,15.72,14.59,15.00,39763900,14.71
2013-06-10,15.86,15.90,15.18,15.37,32534100,15.07
2013-06-03,15.93,16.09,15.06,15.73,53214400,15.43
2013-05-28,15.22,16.04,15.10,15.68,59585100,15.38
2013-05-20,15.01,15.32,14.37,14.79,47596800,14.50
2013-05-13,14.10,15.15,13.92,15.08,42535600,14.79
2013-05-06,13.86,14.26,13.83,14.11,38137300,13.84
2013-04-29,13.73,13.83,13.35,13.83,32955800,13.56
2013-04-22,12.97,13.76,12.80,13.67,39604400,13.31
2013-04-15,13.36,13.46,12.65,12.93,39731400,12.59
2013-04-10,12.87,13.58,12.82,13.53,40179300,13.17
