Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,31.69,31.69,30.87,31.38,16031400,31.38
2014-03-03,32.71,34.21,32.03,32.19,13378400,32.19
2014-02-24,33.34,33.62,32.41,32.62,10257400,32.62
2014-02-18,33.81,34.10,32.83,33.36,9906800,33.36
2014-02-10,32.40,33.95,32.13,33.75,9527600,33.75
2014-02-03,32.42,32.45,30.51,32.35,13414300,32.35
2014-01-27,32.87,33.06,31.93,32.41,11768300,32.41
2014-01-21,35.92,36.03,32.50,32.77,19139600,32.77
2014-01-13,35.72,37.26,35.18,36.19,13479700,36.19
2014-01-06,37.07,37.23,35.45,36.17,10144800,35.86
2013-12-30,37.56,38.09,37.24,37.32,8284900,37.00
2013-12-23,35.88,37.63,35.59,37.50,8103400,37.18
2013-12-16,34.40,35.75,34.35,35.69,9117700,35.38
2013-12-09,34.34,35.25,33.94,34.34,8891400,34.04
2013-12-02,34.68,34.92,33.81,34.25,8589900,33.95
2013-11-25,36.03,36.04,34.40,34.69,9700700,34.39
2013-11-18,37.00,37.02,35.70,36.10,8282700,35.79
2013-11-11,36.43,37.00,35.04,36.83,9575000,36.51
2013-11-04,36.89,37.51,35.60,36.58,10763600,36.26
2013-10-28,37.50,38.00,36.41,36.78,11286600,36.46
2013-10-21,34.92,37.64,34.78,37.44,17130000,37.12
2013-10-14,33.40,35.18,33.33,34.89,11912300,34.59
2013-10-07,33.42,33.84,32.34,33.44,10247600,33.15
2013-09-30,32.99,34.05,32.33,33.78,11647800,33.17
2013-09-23,34.00,34.36,33.32,33.42,9424600,32.82
2013-09-16,33.44,34.99,33.11,33.87,15871800,33.26
2013-09-09,31.37,33.26,31.33,33.04,14880400,32.44
2013-09-03,31.07,31.44,30.63,31.18,10337900,30.62
2013-08-26,31.87,31.92,30.10,30.22,9828800,29.67
2013-08-19,31.35,31.96,30.21,31.79,11232100,31.21
2013-08-12,31.77,32.20,31.07,31.54,14348300,30.97
2013-08-05,29.17,31.99,28.91,31.61,19246400,31.04
2013-07-29,28.83,29.42,27.92,29.20,12132400,28.67
2013-07-22,29.19,30.14,28.26,28.93,17266000,28.41
2013-07-15,27.92,28.64,27.89,28.56,9980500,28.04
2013-07-08,27.50,28.66,27.14,28.05,13105600,27.54
2013-07-01,28.62,28.75,26.95,27.34,12358200,26.54
2013-06-24,27.74,27.79,26.37,27.61,22801800,26.80
2013-06-17,29.74,29.97,27.52,28.16,19883000,27.34
2013-06-10,30.77,31.00,29.24,29.57,19802300,28.71
2013-06-03,31.04,31.49,30.16,30.92,18919800,28.72
2013-05-28,30.72,31.86,30.27,31.05,20233200,28.84
2013-05-20,32.73,33.08,30.14,30.40,20092000,28.23
2013-05-13,32.40,32.81,31.16,32.68,17539500,30.35
2013-05-06,31.36,33.25,30.95,32.55,19642700,30.23
2013-04-29,29.75,31.75,29.23,31.13,14429300,28.91
2013-04-22,28.34,30.83,27.60,29.42,19913400,27.32
2013-04-15,30.06,30.28,27.24,28.24,30251400,26.23
2013-04-10,33.94,33.97,31.82,31.92,16913300,29.65
