Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,137.03,138.39,136.81,137.86,1720700,137.86
2014-03-03,132.05,138.60,132.05,137.43,1618300,137.43
2014-02-24,135.09,136.98,131.95,133.33,2012200,133.18
2014-02-18,134.32,135.21,131.01,134.90,2224400,134.75
2014-02-10,131.37,134.55,129.34,133.92,2394200,133.77
2014-02-03,132.93,135.06,128.17,131.76,2375800,131.62
2014-01-27,134.69,135.78,131.08,133.32,2816000,133.17
2014-01-21,141.71,142.84,134.57,134.58,2192900,134.43
2014-01-13,141.35,143.14,139.73,140.51,2164600,140.36
2014-01-06,142.70,143.00,138.26,142.63,1899200,142.47
2013-12-30,143.48,144.39,139.57,140.05,2032800,139.90
2013-12-23,143.31,143.86,141.14,143.43,1095300,143.27
2013-12-16,139.59,143.73,137.36,142.71,3422200,142.55
2013-12-09,139.82,140.18,136.27,137.90,1743800,137.75
2013-12-02,139.15,140.96,136.81,139.39,1489200,139.09
2013-11-25,137.81,140.55,136.71,138.70,1205300,138.40
2013-11-18,138.59,139.77,133.93,137.07,2448600,136.77
2013-11-11,131.98,139.94,130.81,138.65,3362000,138.35
2013-11-04,134.65,136.98,130.25,132.57,3221500,132.28
2013-10-28,131.42,134.74,129.81,134.65,2875000,134.36
2013-10-21,126.22,132.55,125.92,132.06,2886600,131.77
2013-10-14,115.29,126.63,114.33,126.44,3518300,126.17
2013-10-07,113.75,115.89,111.25,115.87,1247200,115.62
2013-09-30,112.57,115.36,111.80,114.73,1534100,114.48
2013-09-23,115.17,116.00,112.87,113.77,1690300,113.52
2013-09-16,108.85,118.31,108.56,116.83,3567100,116.58
2013-09-09,108.40,111.50,106.38,107.24,2103400,107.01
2013-09-03,108.45,109.79,106.78,108.16,1548300,107.93
2013-08-26,110.80,113.34,106.84,107.36,1618400,106.98
2013-08-19,108.33,110.89,107.51,110.69,1485600,110.30
2013-08-12,107.58,109.73,107.34,108.68,1710000,108.30
2013-08-05,109.00,109.85,107.53,108.22,1465200,107.84
2013-07-29,104.10,110.33,102.00,109.15,2970900,108.76
2013-07-22,108.07,108.88,101.95,104.58,2290700,104.21
2013-07-15,102.28,108.98,102.14,108.03,2662400,107.65
2013-07-08,99.18,106.47,98.63,102.29,6574700,101.93
2013-07-01,98.72,99.73,97.54,98.96,1389200,98.61
2013-06-24,95.37,99.59,94.60,98.58,2383000,98.23
2013-06-17,100.13,103.47,94.67,96.46,3554900,96.12
2013-06-10,99.86,100.75,97.10,99.12,1530800,98.77
2013-06-03,96.51,99.84,95.64,99.78,2494100,99.27
2013-05-28,98.82,99.10,95.88,96.34,2961400,95.85
2013-05-20,100.06,103.05,97.35,97.82,2526200,97.32
2013-05-13,99.84,100.87,98.72,100.05,2004500,99.54
2013-05-06,94.92,102.10,94.74,100.12,3528400,99.61
2013-04-29,94.45,95.14,91.84,94.52,2195600,94.04
2013-04-22,92.67,96.15,90.95,94.18,2231500,93.70
2013-04-15,95.59,96.09,90.61,92.39,2912400,91.92
2013-04-10,95.49,98.23,95.44,96.33,2187300,95.84
