Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,113.92,114.92,111.50,111.97,1430700,111.97
2014-03-03,110.30,116.71,108.54,114.78,1365300,114.78
2014-02-24,110.27,114.86,109.76,112.34,1344600,112.34
2014-02-18,111.69,112.99,108.92,110.28,1246300,110.28
2014-02-10,107.50,114.25,107.43,111.91,1989400,111.91
2014-02-03,104.58,107.40,102.24,107.28,2049900,107.28
2014-01-27,105.23,110.90,104.71,107.02,3149700,107.02
2014-01-21,97.83,109.00,97.16,104.91,4207600,104.91
2014-01-13,91.08,98.18,90.72,96.92,2355200,96.92
2014-01-06,89.26,90.57,87.47,88.52,1439100,88.52
2013-12-30,89.27,91.28,87.82,88.03,997500,88.03
2013-12-23,88.50,89.95,87.92,89.22,1054700,89.22
2013-12-16,82.42,88.50,81.79,88.10,1955800,88.10
2013-12-09,83.94,85.61,81.22,81.47,1435200,81.47
2013-12-02,82.11,84.04,81.20,83.59,1570900,83.59
2013-11-25,82.97,83.01,80.76,82.26,1370200,82.26
2013-11-18,84.74,85.41,81.05,82.94,1298700,82.94
2013-11-11,82.23,85.49,81.33,84.62,1940600,84.62
2013-11-04,79.73,82.13,78.14,82.02,1924000,82.02
2013-10-28,82.55,85.32,78.74,79.43,3231300,79.43
2013-10-21,88.18,91.71,82.36,82.71,3840100,82.71
2013-10-14,89.62,90.59,85.87,87.81,1702900,87.81
2013-10-07,90.86,93.25,86.02,90.50,1496400,90.50
2013-09-30,86.00,91.68,85.31,91.54,1249300,91.54
2013-09-23,93.59,93.77,86.04,86.80,1363400,86.80
2013-09-16,93.00,94.66,90.57,93.62,1021000,93.62
2013-09-09,87.51,93.20,87.15,92.01,1457100,92.01
2013-09-03,84.22,87.82,84.11,86.88,1321600,86.88
2013-08-26,86.86,87.39,82.27,83.38,881300,83.38
2013-08-19,87.86,88.30,85.25,87.10,1175800,87.10
2013-08-12,91.93,94.33,87.46,87.49,1681800,87.49
2013-08-05,87.99,91.17,87.66,89.88,1607200,89.88
2013-07-29,87.29,89.19,85.62,88.45,1494000,88.45
2013-07-22,81.60,92.79,79.60,87.65,2891600,87.65
2013-07-15,79.68,82.55,79.24,80.29,1682400,80.29
2013-07-08,69.55,79.83,68.22,79.79,2771300,79.79
2013-07-01,70.00,70.46,68.40,69.19,1838700,69.19
2013-06-24,70.23,71.22,67.53,68.80,1862200,68.80
2013-06-17,74.60,76.74,70.02,70.92,1609600,70.92
2013-06-10,78.18,78.61,73.42,73.99,1447600,73.99
2013-06-03,80.60,80.95,75.75,78.07,1825200,78.07
2013-05-28,82.51,84.69,82.37,83.21,1276000,83.21
2013-05-20,82.18,84.50,80.08,81.56,1111600,81.56
2013-05-13,80.24,86.22,77.52,82.63,1787700,82.63
2013-05-06,75.50,80.03,75.10,79.99,1516300,79.99
2013-04-29,74.27,77.25,73.00,75.37,1686400,75.37
2013-04-22,71.73,81.30,70.60,74.20,2360900,74.20
2013-04-15,74.57,75.13,71.14,71.38,1316700,71.38
2013-04-10,72.93,76.76,72.12,74.98,1960200,74.98
