Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,55.42,55.44,55.00,55.15,779200,54.91
2014-03-03,55.00,56.68,54.57,55.47,1164100,55.23
2014-02-24,54.33,56.20,54.33,55.61,1095400,55.37
2014-02-18,53.90,54.76,53.69,54.34,836500,54.10
2014-02-10,53.58,54.18,52.60,53.86,1391100,53.62
2014-02-03,50.73,53.74,48.17,53.71,2686000,53.47
2014-01-27,51.00,52.02,50.20,50.70,1745400,50.48
2014-01-21,53.00,53.55,50.70,50.84,2319100,50.62
2014-01-13,52.82,53.08,51.93,52.74,1654900,52.51
2014-01-06,53.23,53.43,52.70,53.00,947400,52.77
2013-12-30,52.87,53.73,52.79,53.15,866300,52.92
2013-12-23,52.80,53.07,52.32,52.75,833600,52.52
2013-12-16,50.99,52.67,50.76,52.66,994700,52.43
2013-12-09,51.01,51.35,50.10,50.78,1123300,50.56
2013-12-02,50.80,51.14,49.74,50.88,1302600,50.44
2013-11-25,51.18,51.31,50.24,50.68,1120700,50.24
2013-11-18,51.04,51.49,50.44,50.98,1172100,50.54
2013-11-11,48.15,50.97,47.92,50.94,1246100,50.50
2013-11-04,48.62,48.74,47.40,48.32,1030900,47.90
2013-10-28,47.44,49.63,46.93,48.55,1569000,48.13
2013-10-21,47.40,48.09,47.23,47.44,827100,47.03
2013-10-14,46.02,47.63,45.62,47.36,1031000,46.95
2013-10-07,46.17,46.23,44.46,46.17,1161300,45.77
2013-09-30,46.26,47.07,45.98,46.55,1348000,46.14
2013-09-23,46.65,47.13,46.31,46.54,927400,46.13
2013-09-16,46.41,47.33,46.33,46.85,898700,46.44
2013-09-09,45.41,46.09,44.72,45.96,1100300,45.56
2013-09-03,44.91,45.36,44.18,45.11,1146000,44.50
2013-08-26,45.67,45.87,44.06,44.46,1089500,43.86
2013-08-19,46.00,46.30,45.30,45.71,944500,45.09
2013-08-12,46.77,47.73,45.91,46.11,1825600,45.49
2013-08-05,45.21,47.17,45.11,46.95,1694700,46.32
2013-07-29,44.20,45.42,42.78,45.33,1976300,44.72
2013-07-22,44.35,44.83,43.86,44.35,1034100,43.75
2013-07-15,44.99,45.28,44.32,44.37,693500,43.77
2013-07-08,44.00,45.43,43.95,45.06,1161500,44.45
2013-07-01,43.14,43.65,42.61,43.63,1457300,43.04
2013-06-24,42.37,43.41,42.09,42.84,2349400,42.26
2013-06-17,43.98,44.52,42.16,42.64,1449700,42.07
2013-06-10,44.58,44.95,43.46,43.64,1385000,43.05
2013-06-03,44.89,45.23,43.03,44.53,1742100,43.71
2013-05-28,45.45,45.95,44.88,44.90,1856500,44.08
2013-05-20,45.05,45.82,44.56,45.16,1595000,44.33
2013-05-13,43.65,45.11,43.57,45.08,1677200,44.25
2013-05-06,42.81,44.00,42.33,43.79,1568700,42.99
2013-04-29,40.84,42.95,40.47,42.72,2688500,41.94
2013-04-22,40.86,41.25,40.32,40.79,1506700,40.04
2013-04-15,40.58,40.94,39.67,40.81,1940300,40.06
2013-04-10,39.25,41.02,39.15,40.75,2803500,40.00
