Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,22.56,22.70,22.46,22.70,6099800,22.70
2014-03-03,21.53,22.75,21.41,22.63,7863000,22.63
2014-02-24,21.45,21.86,21.44,21.70,8792800,21.70
2014-02-18,21.68,21.80,21.12,21.44,8299900,21.44
2014-02-10,21.50,21.72,20.94,21.63,7837100,21.63
2014-02-03,20.94,21.25,20.37,21.10,10181000,21.10
2014-01-27,21.90,21.91,20.81,21.02,8931800,21.02
2014-01-21,21.63,21.96,21.28,21.32,8833900,21.32
2014-01-13,21.50,21.83,21.21,21.55,6646200,21.55
2014-01-06,21.01,21.55,20.93,21.53,7779600,21.53
2013-12-30,20.99,21.12,20.83,20.92,5050000,20.92
2013-12-23,20.93,21.14,20.88,20.92,3761300,20.92
2013-12-16,20.55,20.86,20.01,20.81,7410900,20.69
2013-12-09,20.34,20.49,19.95,20.09,6479200,19.98
2013-12-02,20.36,20.43,19.76,20.34,7584400,20.22
2013-11-25,20.70,20.75,20.30,20.32,6436000,20.20
2013-11-18,19.94,20.98,19.75,20.58,7756200,20.46
2013-11-11,20.04,20.16,19.10,19.94,6810500,19.83
2013-11-04,19.00,20.03,18.75,20.01,8784600,19.90
2013-10-28,19.12,19.30,18.87,18.99,6579000,18.88
2013-10-21,18.79,19.39,18.79,19.08,7448500,18.97
2013-10-14,18.08,19.33,18.07,19.28,8932700,19.17
2013-10-07,18.03,18.28,17.49,18.20,8945200,18.10
2013-09-30,17.95,18.27,17.80,18.19,7081200,18.09
2013-09-23,18.31,18.35,17.93,18.08,6910200,17.98
2013-09-16,18.65,18.81,18.33,18.39,11253500,18.17
2013-09-09,18.25,18.64,18.13,18.38,8037300,18.16
2013-09-03,18.53,18.66,18.16,18.47,6642500,18.24
2013-08-26,19.24,19.28,18.15,18.29,7108900,18.07
2013-08-19,19.13,19.32,18.89,19.20,6269100,18.97
2013-08-12,19.22,19.43,18.97,19.16,6506400,18.93
2013-08-05,19.70,19.71,19.11,19.30,5742500,19.06
2013-07-29,19.31,19.73,19.14,19.69,6300900,19.45
2013-07-22,19.16,19.79,18.96,19.37,7629700,19.13
2013-07-15,19.02,19.09,18.27,19.02,10006400,18.79
2013-07-08,18.75,19.08,18.46,18.98,10591800,18.75
2013-07-01,18.23,18.68,18.05,18.67,7943400,18.44
2013-06-24,17.59,18.32,17.33,18.05,10348800,17.83
2013-06-17,18.46,18.53,17.43,17.70,13139400,17.37
2013-06-10,18.42,18.70,18.15,18.31,8674000,17.96
2013-06-03,18.23,18.44,17.64,18.42,9302900,18.07
2013-05-28,18.52,18.74,18.20,18.20,9100900,17.86
2013-05-20,18.23,18.50,17.76,18.25,8234300,17.91
2013-05-13,17.65,18.31,17.55,18.25,7647000,17.91
2013-05-06,17.08,17.81,17.02,17.71,6405900,17.38
2013-04-29,16.77,17.12,16.68,17.10,6519200,16.78
2013-04-22,16.31,16.95,16.11,16.76,6047200,16.44
2013-04-15,16.47,16.49,15.62,16.40,11853400,16.09
2013-04-10,16.57,16.86,16.35,16.49,11653300,16.18
