Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,79.26,79.70,77.82,78.66,1104300,78.66
2014-03-03,76.70,80.77,76.37,79.69,1342800,79.69
2014-02-24,79.18,79.99,77.29,77.69,1681500,77.69
2014-02-18,80.27,83.10,79.03,79.19,2316200,78.98
2014-02-10,77.05,80.41,76.68,79.67,1636000,79.46
2014-02-03,75.87,78.03,73.32,77.21,1344600,77.00
2014-01-27,77.39,78.21,74.93,75.96,1502600,75.76
2014-01-21,82.70,83.93,77.48,77.48,1781500,77.27
2014-01-13,78.89,82.24,77.74,82.05,1699300,81.83
2014-01-06,79.55,79.98,78.29,78.90,1135600,78.69
2013-12-30,79.96,80.45,78.79,79.15,923100,78.94
2013-12-23,79.69,80.34,78.68,79.76,651300,79.55
2013-12-16,75.50,79.52,75.42,79.37,1565300,79.16
2013-12-09,77.41,77.99,74.59,74.79,1269600,74.59
2013-12-02,77.90,78.50,75.91,77.41,976800,77.20
2013-11-25,79.03,79.95,77.41,77.81,1149500,77.60
2013-11-18,79.64,79.95,76.01,78.63,1190700,78.26
2013-11-11,77.44,79.68,76.19,79.36,1229900,78.99
2013-11-04,75.26,77.96,74.54,77.92,1848000,77.55
2013-10-28,76.44,77.30,73.15,74.90,1954500,74.55
2013-10-21,77.13,78.23,75.31,76.31,1140800,75.95
2013-10-14,72.34,77.56,72.03,77.19,1428700,76.83
2013-10-07,71.34,73.37,68.93,72.98,1150800,72.64
2013-09-30,70.12,73.75,70.03,71.87,1212600,71.53
2013-09-23,71.75,72.13,70.45,71.05,1294800,70.72
2013-09-16,68.70,74.72,67.54,72.01,1901800,71.67
2013-09-09,64.91,68.48,64.91,67.21,1348700,66.89
2013-09-03,64.08,65.55,63.21,64.58,843800,64.28
2013-08-26,66.32,67.02,63.17,63.43,1167900,63.13
2013-08-19,65.86,66.69,64.66,66.08,1205700,65.61
2013-08-12,65.40,66.74,65.23,66.19,1267800,65.71
2013-08-05,66.32,66.91,64.22,65.98,2129500,65.51
2013-07-29,61.34,67.06,59.98,66.53,2356900,66.05
2013-07-22,62.62,63.38,61.11,61.60,1142600,61.16
2013-07-15,61.50,63.12,60.65,62.84,1096800,62.39
2013-07-08,58.80,61.86,57.71,61.49,1546800,61.05
2013-07-01,59.84,59.99,57.50,58.59,1369000,58.17
2013-06-24,59.11,59.90,57.84,59.31,1681100,58.88
2013-06-17,61.50,63.51,59.30,60.17,1749700,59.74
2013-06-10,63.00,63.48,59.94,61.00,1440800,60.56
2013-06-03,63.26,63.61,61.08,62.86,1474000,62.41
2013-05-28,64.83,64.87,63.12,63.21,1374800,62.76
2013-05-20,64.22,66.90,62.38,63.68,2031400,63.06
2013-05-13,61.47,64.67,60.27,64.57,1957600,63.94
2013-05-06,59.81,62.37,59.40,61.91,1708600,61.31
2013-04-29,56.52,61.75,55.63,59.80,2217800,59.22
2013-04-22,54.28,57.16,53.50,56.38,2053100,55.83
2013-04-15,59.72,59.72,53.76,54.16,5630100,53.64
2013-04-10,62.86,63.64,60.01,60.22,1893600,59.64
