Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,94.62,94.68,92.51,93.12,3915400,93.12
2014-03-03,95.38,99.83,92.48,94.68,4861800,94.68
2014-02-24,96.26,100.88,96.19,97.57,3783000,97.57
2014-02-18,92.80,97.97,90.21,96.88,15636700,96.88
2014-02-10,68.52,71.40,67.97,71.39,2313000,71.39
2014-02-03,66.30,69.00,64.33,68.89,2385000,68.89
2014-01-27,65.43,66.47,64.03,66.30,2152400,66.30
2014-01-21,72.03,72.40,64.91,64.95,3212700,64.95
2014-01-13,68.53,70.86,67.62,68.74,2591500,68.74
2014-01-06,59.76,70.14,58.38,69.00,4436500,69.00
2013-12-30,59.66,60.29,59.12,59.62,1173200,59.62
2013-12-23,57.50,59.63,57.50,59.60,1250500,59.60
2013-12-16,55.58,57.50,54.91,57.32,1440000,57.32
2013-12-09,56.47,57.06,54.73,55.46,1420200,55.46
2013-12-02,53.56,58.32,52.95,56.91,3796300,56.91
2013-11-25,51.66,52.06,50.87,51.31,1260300,51.31
2013-11-18,51.83,52.07,50.65,51.58,1194400,51.58
2013-11-11,47.99,51.69,47.91,51.66,1712700,51.66
2013-11-04,47.17,48.01,46.80,48.00,1659400,48.00
2013-10-28,47.18,47.51,46.42,47.15,2237200,47.15
2013-10-21,44.45,48.00,43.78,47.34,2964900,47.34
2013-10-14,43.07,44.88,42.94,44.44,1417400,44.44
2013-10-07,42.99,43.31,42.49,43.30,1745200,43.30
2013-09-30,43.00,43.47,42.59,43.27,1706300,43.27
2013-09-23,44.21,44.25,42.98,43.17,894300,43.17
2013-09-16,44.58,44.96,44.05,44.27,1077900,44.27
2013-09-09,43.18,44.61,43.16,44.12,1128600,44.12
2013-09-03,42.91,43.93,42.59,43.21,801300,43.21
2013-08-26,42.89,43.13,41.97,42.53,704300,42.53
2013-08-19,42.26,43.09,42.17,42.80,1073400,42.80
2013-08-12,43.56,43.89,42.21,42.43,926800,42.43
2013-08-05,44.53,44.72,43.79,43.81,927800,43.81
2013-07-29,43.92,44.92,43.31,44.71,1216000,44.71
2013-07-22,43.84,44.87,42.68,44.41,2112600,44.41
2013-07-15,43.83,44.04,43.11,43.76,900400,43.76
2013-07-08,42.35,43.98,42.29,43.92,1372900,43.92
2013-07-01,41.05,42.42,40.98,42.39,1128500,42.39
2013-06-24,40.45,41.42,40.11,41.00,1588100,41.00
2013-06-17,41.24,43.85,40.07,40.83,3800400,40.83
2013-06-10,40.35,41.10,39.47,41.08,1678300,41.08
2013-06-03,39.75,40.70,39.28,40.45,1325000,40.45
2013-05-28,39.36,40.49,39.35,39.75,2622400,39.75
2013-05-20,38.53,39.68,37.44,39.23,1942700,39.23
2013-05-13,38.15,39.09,37.86,38.53,922500,38.53
2013-05-06,37.57,38.28,36.89,38.26,996400,38.26
2013-04-29,37.17,37.60,36.90,37.57,1232200,37.57
2013-04-22,35.92,37.57,35.50,37.03,1645300,37.03
2013-04-15,37.89,37.89,35.22,35.91,1850600,35.91
2013-04-10,37.44,38.45,37.43,37.99,1034000,37.99
