Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,4.95,4.95,4.67,4.82,13533200,4.82
2014-03-03,4.83,4.95,4.72,4.91,10153200,4.91
2014-02-24,4.64,5.15,4.59,4.88,16250900,4.78
2014-02-18,4.71,4.75,4.61,4.63,8823100,4.54
2014-02-10,4.52,4.70,4.51,4.68,7552800,4.58
2014-02-03,4.70,4.72,4.40,4.54,12422000,4.45
2014-01-27,4.82,4.94,4.66,4.68,9659700,4.58
2014-01-21,4.88,4.95,4.80,4.80,10312500,4.70
2014-01-13,4.73,4.97,4.70,4.83,6414600,4.73
2014-01-06,4.75,4.78,4.65,4.73,6424000,4.63
2013-12-30,4.68,4.76,4.62,4.70,10387200,4.60
2013-12-23,4.69,4.74,4.67,4.70,4649200,4.60
2013-12-16,4.44,4.94,4.39,4.69,18832700,4.59
2013-12-09,4.52,4.64,4.43,4.44,8478400,4.35
2013-12-02,4.68,4.69,4.40,4.56,12833600,4.47
2013-11-25,4.70,4.73,4.62,4.68,7982500,4.49
2013-11-18,4.91,5.02,4.70,4.70,10372800,4.51
2013-11-11,4.69,4.92,4.66,4.90,10550400,4.70
2013-11-04,4.42,4.74,4.41,4.69,12745200,4.50
2013-10-28,4.48,4.50,4.36,4.45,5336700,4.27
2013-10-21,4.47,4.50,4.38,4.48,3853600,4.29
2013-10-14,4.36,4.49,4.35,4.47,4756300,4.28
2013-10-07,4.23,4.42,4.21,4.41,7324400,4.23
2013-09-30,4.26,4.33,4.09,4.28,10538600,4.10
2013-09-23,4.20,4.35,4.19,4.29,7403500,4.11
2013-09-16,4.38,4.40,4.18,4.18,11039700,4.01
2013-09-09,4.28,4.42,4.27,4.35,6911900,4.17
2013-09-03,4.41,4.56,4.26,4.28,10504000,4.10
2013-08-26,4.54,4.58,4.33,4.33,5584900,4.06
2013-08-19,4.56,4.59,4.44,4.55,6254300,4.26
2013-08-12,4.52,4.76,4.50,4.61,8252800,4.32
2013-08-05,4.50,4.68,4.44,4.55,17250100,4.26
2013-07-29,4.25,4.50,4.22,4.49,11014400,4.21
2013-07-22,4.30,4.30,4.15,4.27,8389800,4.00
2013-07-15,4.05,4.27,3.99,4.27,10073400,4.00
2013-07-08,4.01,4.08,3.95,4.03,7275300,3.78
2013-07-01,4.05,4.11,3.91,3.98,7391400,3.73
2013-06-24,3.92,4.10,3.80,4.05,10758800,3.79
2013-06-17,4.24,4.25,3.83,3.92,10221000,3.67
2013-06-10,4.05,4.27,4.02,4.22,8538100,3.95
2013-06-03,4.20,4.26,3.96,4.16,8924100,3.90
2013-05-28,4.41,4.43,4.14,4.15,8101500,3.79
2013-05-20,4.40,4.41,4.15,4.40,6827900,4.02
2013-05-13,4.24,4.42,4.11,4.42,9623600,4.04
2013-05-06,4.04,4.25,3.97,4.25,13977800,3.89
2013-04-29,4.08,4.17,4.00,4.03,6634200,3.69
2013-04-22,4.05,4.14,3.99,4.08,5260700,3.73
2013-04-15,4.20,4.21,3.96,4.03,5810700,3.69
2013-04-10,4.16,4.24,4.15,4.22,7253300,3.86
