Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,47.71,47.93,47.39,47.60,616000,47.60
2014-03-03,46.83,47.55,46.65,47.04,666800,47.04
2014-02-24,46.88,47.28,46.31,47.04,582900,47.04
2014-02-18,46.43,46.98,45.90,46.79,796700,46.79
2014-02-10,45.95,46.39,45.30,46.35,973400,46.35
2014-02-03,47.62,47.95,45.79,46.01,978300,45.52
2014-01-27,47.11,48.20,47.01,47.78,522200,47.27
2014-01-21,46.98,48.03,46.98,47.14,412300,46.64
2014-01-13,46.85,47.04,46.10,46.87,402400,46.37
2014-01-06,45.88,47.39,45.49,47.05,660200,46.55
2013-12-30,47.19,47.41,45.17,45.69,441300,45.20
2013-12-23,47.17,47.35,46.49,47.23,329900,46.73
2013-12-16,45.67,47.12,45.57,47.08,737400,46.58
2013-12-09,46.00,46.00,45.01,45.59,816600,45.10
2013-12-02,46.06,46.20,44.74,45.84,1094500,45.35
2013-11-25,47.42,47.65,46.40,46.54,428200,46.04
2013-11-18,47.48,47.53,46.70,47.29,416700,46.79
2013-11-11,47.70,48.38,46.82,47.48,703900,46.97
2013-11-04,48.04,48.29,47.06,47.58,938800,46.61
2013-10-28,48.01,49.31,47.40,47.92,773500,46.94
2013-10-21,46.36,48.00,46.19,48.00,424700,47.02
2013-10-14,45.16,46.67,44.62,46.44,540100,45.49
2013-10-07,44.86,45.53,44.56,45.32,470500,44.39
2013-09-30,45.64,46.10,44.85,45.12,505500,44.20
2013-09-23,45.53,46.97,45.45,45.82,525400,44.88
2013-09-16,44.43,46.57,44.18,45.79,516700,44.85
2013-09-09,43.89,44.63,43.54,44.03,583200,43.13
2013-09-03,44.30,44.88,42.86,43.85,772300,42.95
2013-08-26,45.33,45.58,43.79,43.95,973900,43.05
2013-08-19,44.58,45.64,44.46,45.33,507000,44.40
2013-08-12,45.78,46.34,44.12,44.50,646500,43.59
2013-08-05,45.82,46.21,45.53,45.91,750700,44.51
2013-07-29,46.06,47.00,45.73,45.99,458400,44.59
2013-07-22,45.76,46.16,45.17,46.14,305100,44.74
2013-07-15,44.73,46.11,44.47,45.76,381000,44.37
2013-07-08,42.74,44.82,42.68,44.72,410100,43.36
2013-07-01,43.08,43.33,41.94,42.65,360900,41.35
2013-06-24,41.94,43.29,41.51,42.86,433700,41.56
2013-06-17,43.19,43.90,41.47,42.19,469100,40.91
2013-06-10,42.58,43.15,41.77,42.98,308100,41.67
2013-06-03,42.50,42.79,41.77,42.53,395100,41.24
2013-05-28,43.07,43.28,41.53,42.33,458200,41.04
2013-05-20,43.73,44.85,42.66,42.78,668400,41.48
2013-05-13,43.42,44.19,43.02,44.18,651500,42.84
2013-05-06,43.83,44.18,43.02,43.59,740900,41.81
2013-04-29,43.52,44.32,43.33,43.89,501600,42.10
2013-04-22,43.51,43.92,42.99,43.24,415100,41.47
2013-04-15,43.29,43.69,42.24,43.45,452700,41.68
2013-04-10,42.53,43.50,42.43,43.50,489100,41.72
