Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,26.12,26.13,25.84,26.04,22263500,26.04
2014-03-03,25.21,26.35,24.92,26.13,32634500,26.13
2014-02-24,25.02,25.69,24.96,25.47,30629600,25.47
2014-02-18,26.01,26.04,24.94,24.94,33132500,24.94
2014-02-10,25.39,25.85,24.93,25.74,29621000,25.52
2014-02-03,25.13,25.28,24.32,25.19,48202400,24.97
2014-01-27,25.26,25.62,24.90,25.13,44206300,24.91
2014-01-21,26.73,26.74,24.95,24.95,65566100,24.73
2014-01-13,26.98,27.40,26.28,26.58,44223400,26.35
2014-01-06,27.66,27.73,26.86,26.96,30018700,26.73
2013-12-30,27.84,28.09,27.41,27.48,30790800,27.24
2013-12-23,27.43,27.96,27.27,27.83,22192200,27.59
2013-12-16,26.94,27.47,26.83,27.36,52193100,27.12
2013-12-09,26.93,27.39,26.48,26.84,34509100,26.39
2013-12-02,26.65,26.98,26.20,26.94,33224000,26.49
2013-11-25,27.14,27.17,26.63,26.66,28250000,26.22
2013-11-18,27.28,27.50,26.76,27.08,31500300,26.63
2013-11-11,27.02,27.43,26.75,27.20,35999000,26.75
2013-11-04,26.59,27.19,26.26,27.05,41794500,26.60
2013-10-28,25.88,26.64,25.76,26.54,41743000,26.10
2013-10-21,25.87,26.35,25.64,25.88,41134700,25.45
2013-10-14,24.21,25.75,24.13,25.55,44914800,25.13
2013-10-07,23.84,24.49,23.50,24.40,35764300,23.99
2013-09-30,23.88,24.35,23.82,24.05,33866500,23.65
2013-09-23,24.20,24.54,23.94,24.05,32780000,23.65
2013-09-16,24.06,24.91,23.93,24.01,48261900,23.61
2013-09-09,23.25,24.20,23.18,23.78,29650400,23.21
2013-09-03,23.31,23.45,22.92,23.16,37678300,22.60
2013-08-26,23.74,23.79,23.04,23.14,34916900,22.58
2013-08-19,23.90,23.96,23.56,23.78,29258100,23.21
2013-08-12,24.14,24.30,23.86,23.95,32032200,23.37
2013-08-05,24.57,24.60,24.09,24.25,22398100,23.66
2013-07-29,24.53,24.87,24.36,24.70,30680800,24.10
2013-07-22,24.77,24.92,24.50,24.65,32533100,24.06
2013-07-15,23.73,24.95,23.34,24.72,49210300,24.12
2013-07-08,23.36,24.00,23.27,23.76,32271100,23.19
2013-07-01,23.21,23.64,22.76,23.24,31873300,22.68
2013-06-24,23.12,23.48,22.76,23.19,38930500,22.63
2013-06-17,23.75,24.45,23.20,23.36,57177100,22.80
2013-06-10,23.88,23.92,23.34,23.52,34885600,22.77
2013-06-03,23.37,23.95,23.10,23.86,44078900,23.10
2013-05-28,23.77,23.84,23.31,23.32,41288500,22.58
2013-05-20,23.46,24.13,23.43,23.53,44122600,22.78
2013-05-13,22.86,23.48,22.62,23.46,36818000,22.71
2013-05-06,22.56,23.10,22.32,22.90,32368900,22.17
2013-04-29,22.31,22.85,22.00,22.57,36592600,21.85
2013-04-22,21.67,22.40,21.11,22.21,58660100,21.50
2013-04-15,23.28,23.30,21.61,21.75,55030400,21.06
2013-04-10,23.10,23.72,23.06,23.46,31363600,22.71
