Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,79.40,80.30,78.35,80.23,8661900,80.23
2014-03-03,82.79,83.44,77.81,79.58,13849000,79.58
2014-02-24,82.99,84.88,81.80,82.79,10573100,82.79
2014-02-18,81.92,83.98,81.67,82.59,11187400,82.59
2014-02-10,79.34,82.93,78.80,81.21,10395400,81.21
2014-02-03,81.77,82.06,75.70,78.75,17310400,78.75
2014-01-27,80.76,82.20,77.59,80.65,11009000,80.65
2014-01-21,79.75,84.40,79.42,80.62,13609300,80.62
2014-01-13,75.15,79.06,72.60,78.40,12638200,78.40
2014-01-06,74.58,75.06,72.53,74.87,9043800,74.87
2013-12-30,74.67,75.59,74.16,74.32,6855000,74.32
2013-12-23,75.35,75.80,74.21,74.45,5460400,74.45
2013-12-16,72.03,75.08,69.05,74.66,13422800,74.66
2013-12-09,76.07,76.11,70.05,71.40,16673900,71.40
2013-12-02,74.84,74.97,71.50,73.99,11411600,73.99
2013-11-25,75.42,75.43,74.11,74.81,8604300,74.81
2013-11-18,70.53,75.21,68.35,74.27,10807500,74.27
2013-11-11,67.74,69.90,67.06,69.89,9760700,69.89
2013-11-04,71.13,71.25,65.53,67.37,10757700,67.37
2013-10-28,70.00,73.20,68.23,70.97,10405100,70.97
2013-10-21,68.11,70.30,66.63,69.68,9252700,69.68
2013-10-14,62.47,68.45,61.81,68.21,9621600,68.21
2013-10-07,62.15,63.48,58.81,62.69,11277500,62.69
2013-09-30,62.15,63.70,61.37,63.04,6554400,63.04
2013-09-23,63.43,63.93,61.71,63.54,5367400,63.54
2013-09-16,64.08,64.74,62.36,63.86,7021800,63.86
2013-09-09,61.08,63.62,61.08,63.53,4948300,63.53
2013-09-03,60.90,61.60,59.42,61.12,6892300,61.12
2013-08-26,59.82,61.28,58.50,60.27,6530900,60.27
2013-08-19,56.84,60.12,56.75,59.64,6381800,59.64
2013-08-12,58.86,59.56,55.96,56.91,6185600,56.91
2013-08-05,61.75,61.90,58.57,59.21,7610300,59.21
2013-07-29,62.60,62.82,60.97,61.75,8632500,61.75
2013-07-22,59.71,64.04,58.61,62.57,11759900,62.57
2013-07-15,57.20,60.51,56.78,60.10,9797500,60.10
2013-07-08,53.60,57.86,53.21,57.34,10326800,57.34
2013-07-01,51.97,53.49,51.42,53.32,6738100,53.32
2013-06-24,48.20,51.95,46.70,51.27,10314300,51.27
2013-06-17,52.77,53.26,48.08,48.83,11033600,48.83
2013-06-10,53.55,53.56,50.68,52.23,8247800,52.23
2013-06-03,54.56,54.64,49.26,52.89,14488700,52.89
2013-05-28,56.68,56.82,54.48,54.48,9898000,54.48
2013-05-20,56.09,58.06,54.16,55.81,10371900,55.81
2013-05-13,53.12,57.10,52.93,56.30,15531500,56.30
2013-05-06,55.18,55.70,51.99,52.88,12521500,52.88
2013-04-29,51.36,56.35,49.43,55.15,13545500,55.15
2013-04-22,54.12,55.16,50.43,51.38,13589300,51.38
2013-04-15,52.25,53.98,50.53,53.17,13810600,53.17
2013-04-10,48.52,52.43,48.50,51.93,12116300,51.93
