Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,50.55,50.57,50.28,50.45,2581800,50.45
2014-03-03,49.52,50.91,49.52,50.80,2675200,50.80
2014-02-24,49.73,50.32,49.45,50.03,2647900,50.03
2014-02-18,49.94,50.09,49.18,49.51,2582600,49.51
2014-02-10,47.96,49.95,47.84,49.89,2894000,49.89
2014-02-03,48.07,48.13,46.70,48.05,3154400,48.05
2014-01-27,48.34,49.13,47.72,48.02,3738500,48.02
2014-01-21,48.55,49.11,48.21,48.28,3499400,48.28
2014-01-13,49.13,49.47,48.22,48.28,3592300,48.28
2014-01-06,49.38,49.94,48.40,49.29,4195600,49.29
2013-12-30,49.90,50.01,49.10,49.26,2124000,48.88
2013-12-23,49.30,50.11,48.68,49.84,2085500,49.46
2013-12-16,49.78,50.28,48.24,49.30,5161800,48.92
2013-12-09,51.55,51.96,49.37,49.64,3213900,49.26
2013-12-02,50.22,51.51,49.94,51.50,2437900,51.11
2013-11-25,50.26,50.92,49.82,50.43,2316100,50.05
2013-11-18,51.25,51.32,49.20,50.12,3731200,49.74
2013-11-11,50.60,51.66,50.09,51.31,2112800,50.92
2013-11-04,50.50,51.25,49.65,50.54,2272500,50.15
2013-10-28,50.01,51.12,50.01,50.32,2725800,49.94
2013-10-21,48.80,50.23,48.46,50.06,2439700,49.68
2013-10-14,48.20,49.31,47.86,49.19,2408800,48.82
2013-10-07,47.91,48.48,47.31,48.35,3268600,47.98
2013-09-30,47.77,48.01,47.36,47.95,3164600,47.21
2013-09-23,48.68,49.10,47.99,48.08,2820000,47.34
2013-09-16,49.74,50.36,48.42,48.66,4381800,47.91
2013-09-09,49.15,49.48,48.44,49.25,5665600,48.49
2013-09-03,49.67,49.80,48.68,49.19,3115000,48.43
2013-08-26,49.86,49.95,48.25,49.32,3277400,48.56
2013-08-19,49.28,49.93,48.87,49.82,2814400,49.05
2013-08-12,52.31,52.77,49.13,49.38,3644900,48.62
2013-08-05,52.34,52.85,52.00,52.42,1978200,51.61
2013-07-29,51.52,53.07,51.40,52.35,3303400,51.54
2013-07-22,51.73,51.83,50.74,51.51,2224900,50.71
2013-07-15,51.15,51.80,50.80,51.68,2262300,50.88
2013-07-08,48.98,51.40,48.79,51.09,3578500,50.30
2013-07-01,48.54,49.31,48.53,49.03,2699300,47.90
2013-06-24,48.35,49.02,47.56,48.53,4486700,47.41
2013-06-17,49.52,50.02,48.15,48.64,3666300,47.52
2013-06-10,48.11,49.53,47.72,49.29,3208300,48.15
2013-06-03,47.14,48.13,46.18,48.08,4152300,46.97
2013-05-28,49.44,49.49,47.08,47.08,4426200,45.99
2013-05-20,50.42,50.64,48.24,48.98,4266800,47.85
2013-05-13,49.87,50.97,49.43,50.36,3072100,49.20
2013-05-06,50.55,50.84,49.50,49.91,3643300,48.76
2013-04-29,49.70,50.87,49.70,50.72,2871300,49.55
2013-04-22,50.33,50.90,49.22,49.68,3428400,48.53
2013-04-15,49.17,50.52,48.97,50.34,3739900,49.18
2013-04-10,48.81,49.58,48.69,49.35,3005000,48.21
