Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,38.52,38.98,38.07,38.51,2375500,38.18
2014-03-03,37.05,39.34,36.83,38.52,2436800,38.19
2014-02-24,35.60,39.00,35.40,37.31,3655800,36.99
2014-02-18,35.82,36.46,35.25,35.56,2800300,35.26
2014-02-10,35.50,36.78,35.02,35.61,4205700,35.30
2014-02-03,34.97,35.77,33.10,35.50,4546100,35.20
2014-01-27,36.60,37.58,34.70,35.07,4334700,34.77
2014-01-21,38.52,39.51,36.38,36.52,5101100,36.21
2014-01-13,45.47,45.84,36.00,37.65,10260100,37.33
2014-01-06,49.24,49.30,43.60,45.52,6323800,45.13
2013-12-30,48.99,50.00,48.11,49.24,1967500,48.82
2013-12-23,49.34,51.55,48.91,49.04,1655200,48.62
2013-12-16,47.38,50.49,47.38,49.25,3027500,48.83
2013-12-09,45.09,47.80,45.00,47.29,3710100,46.88
2013-12-02,48.50,48.59,44.87,45.08,5088800,44.69
2013-11-25,50.71,50.72,47.68,48.25,3976900,47.56
2013-11-18,57.09,57.19,46.66,49.86,5945700,49.15
2013-11-11,55.19,57.74,54.04,56.53,2039000,55.73
2013-11-04,55.45,57.21,53.64,55.48,1970900,54.69
2013-10-28,54.88,56.00,52.71,55.05,1729500,54.27
2013-10-21,54.28,55.37,53.37,54.88,1400100,54.10
2013-10-14,51.09,54.00,50.81,53.88,1669000,53.11
2013-10-07,50.22,52.83,48.51,51.56,1849500,50.83
2013-09-30,49.25,51.22,47.73,50.70,1762900,49.98
2013-09-23,49.50,51.70,48.65,49.65,1646800,48.94
2013-09-16,52.88,53.28,49.16,49.43,2233900,48.73
2013-09-09,50.06,52.54,48.94,52.45,1661100,51.70
2013-09-03,50.77,51.53,49.39,49.61,1648300,48.90
2013-08-26,51.57,53.20,49.30,50.21,2105700,49.50
2013-08-19,47.72,56.08,47.31,51.62,3567800,50.61
2013-08-12,48.55,49.66,47.04,47.58,1417600,46.64
2013-08-05,50.32,51.14,47.18,48.97,2915300,48.01
2013-07-29,45.67,51.36,44.57,50.39,3494800,49.40
2013-07-22,43.50,45.85,42.33,45.80,1995600,44.90
2013-07-15,43.17,44.45,42.47,43.46,2006000,42.61
2013-07-08,43.08,43.31,42.11,43.17,1986900,42.32
2013-07-01,42.00,43.01,41.66,42.99,1557400,42.15
2013-06-24,40.30,42.84,39.46,42.03,3110800,41.20
2013-06-17,39.02,41.53,37.93,40.78,4127800,39.98
2013-06-10,36.75,39.77,34.84,39.01,5271400,38.24
2013-06-03,33.18,37.47,33.16,36.75,5388500,36.03
2013-05-28,32.81,33.85,31.47,33.16,3652800,32.51
2013-05-20,39.76,39.80,30.94,32.11,8008600,31.22
2013-05-13,38.26,39.87,37.82,39.76,2669700,38.66
2013-05-06,36.99,38.57,36.58,38.38,2816700,37.32
2013-04-29,34.66,37.23,34.33,37.15,2434000,36.12
2013-04-22,32.73,34.97,31.84,34.62,2794700,33.66
2013-04-15,32.00,33.26,31.27,32.73,3602900,31.82
2013-04-10,29.99,32.33,29.50,32.02,4007400,31.13
