Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,1215.69,1217.64,1204.09,1211.57,1214600,1211.57
2014-03-03,1206.75,1226.99,1192.14,1214.79,1518200,1214.79
2014-02-24,1205.36,1228.88,1205.10,1215.65,1733700,1215.65
2014-02-18,1201.41,1212.87,1197.50,1203.79,1943900,1203.79
2014-02-10,1171.80,1204.39,1169.02,1202.80,1948700,1202.80
2014-02-03,1179.20,1181.72,1128.02,1177.44,2871600,1177.44
2014-01-27,1126.10,1186.54,1082.27,1180.97,3920200,1180.97
2014-01-21,1160.93,1167.89,1123.00,1123.83,2348200,1123.83
2014-01-13,1126.47,1160.63,1117.17,1150.53,2247300,1150.53
2014-01-06,1113.01,1147.32,1106.44,1130.18,2158400,1130.18
2013-12-30,1120.34,1121.00,1104.93,1105.00,1520500,1105.00
2013-12-23,1107.84,1120.28,1105.12,1118.40,1340800,1118.40
2013-12-16,1064.00,1101.17,1059.04,1100.62,2055000,1100.62
2013-12-09,1070.99,1092.31,1057.89,1060.79,1761400,1060.79
2013-12-02,1063.51,1070.00,1049.02,1069.87,1360600,1069.87
2013-11-25,1037.16,1068.00,1035.02,1059.59,1553900,1059.59
2013-11-18,1035.75,1048.74,1020.36,1031.89,1240200,1031.89
2013-11-11,1009.51,1039.75,1005.00,1033.56,1270600,1033.56
2013-11-04,1031.50,1032.37,1007.64,1016.03,1240700,1016.03
2013-10-28,1015.20,1041.52,1012.99,1027.04,1402200,1027.04
2013-10-21,1011.46,1040.57,995.79,1015.20,2524500,1015.20
2013-10-14,866.66,1015.46,865.39,1011.41,4133200,1011.41
2013-10-07,867.45,873.99,842.98,871.99,1910500,871.99
2013-09-30,869.08,894.10,868.31,872.35,1675500,872.35
2013-09-23,896.15,901.59,871.31,876.39,1486300,876.39
2013-09-16,896.20,905.99,881.00,903.11,2094700,903.11
2013-09-09,883.73,897.90,882.42,889.07,1310700,889.07
2013-09-03,854.36,883.78,853.95,879.58,1735400,879.58
2013-08-26,870.00,874.90,845.56,846.90,1491300,846.90
2013-08-19,857.71,878.00,857.45,870.21,1349600,870.21
2013-08-12,886.90,888.50,856.54,856.91,1684600,856.91
2013-08-05,905.39,909.71,885.29,890.41,1401300,890.41
2013-07-29,884.90,907.00,880.87,906.57,1934600,906.57
2013-07-22,902.00,913.00,882.00,885.35,2361200,885.35
2013-07-15,924.30,928.00,875.61,896.60,3288600,896.60
2013-07-08,899.21,923.00,897.08,923.00,2161900,923.00
2013-07-01,886.45,895.41,877.27,893.49,1591300,893.49
2013-06-24,871.88,884.69,863.25,880.37,2335400,880.37
2013-06-17,879.23,910.84,873.07,880.93,2916600,880.93
2013-06-10,882.10,891.00,865.50,875.04,2123000,875.04
2013-06-03,873.00,880.00,847.22,879.73,2340900,879.73
2013-05-28,883.50,892.14,864.29,871.22,2090200,871.22
2013-05-20,905.00,920.60,871.01,873.32,2277600,873.32
2013-05-13,878.89,919.98,873.38,909.18,2603000,909.18
2013-05-06,848.26,880.54,848.26,880.23,2133300,880.23
2013-04-29,803.25,846.80,803.00,845.72,2118600,845.72
2013-04-22,800.60,818.00,775.00,801.42,2296900,801.42
2013-04-15,785.95,803.44,761.26,799.87,3071500,799.87
2013-04-10,782.92,793.10,776.00,790.05,1881300,790.05
