Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,1206.75,1226.99,1192.14,1211.57,1670000,1211.57
2014-02-03,1179.20,1228.88,1128.02,1215.65,2255700,1215.65
2014-01-02,1115.46,1186.54,1082.27,1180.97,2860800,1180.97
2013-12-02,1063.51,1121.00,1049.02,1120.71,1676200,1120.71
2013-11-01,1031.79,1068.00,1005.00,1059.59,1372400,1059.59
2013-10-01,880.25,1041.52,842.98,1030.58,2472300,1030.58
2013-09-03,854.36,905.99,853.95,875.91,1742200,875.91
2013-08-01,895.00,909.71,845.56,846.90,1606700,846.90
2013-07-01,886.45,928.00,875.61,887.75,2428100,887.75
2013-06-03,873.00,910.84,847.22,880.37,2546400,880.37
2013-05-01,823.26,920.60,816.36,871.22,2335700,871.22
2013-04-10,782.92,827.64,761.26,824.57,2626700,824.57
