Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,87.30,87.49,86.22,86.55,595800,86.55
2014-03-03,86.80,88.31,85.99,87.48,620600,87.48
2014-02-24,87.45,88.27,86.10,88.09,720800,87.51
2014-02-18,87.00,90.00,85.86,87.25,1067600,86.68
2014-02-10,81.51,85.99,81.12,85.95,761300,85.39
2014-02-03,81.96,82.20,76.50,81.59,1206000,81.06
2014-01-27,82.64,83.68,81.02,82.25,904500,81.71
2014-01-21,84.15,84.81,82.33,82.34,814200,81.80
2014-01-13,83.17,84.67,81.43,84.14,891600,83.59
2014-01-06,82.58,83.49,82.00,83.45,779400,82.90
2013-12-30,83.15,83.64,81.62,82.32,454200,81.78
2013-12-23,82.24,83.50,82.01,83.22,293800,82.68
2013-12-16,81.44,82.08,80.18,81.77,874000,81.24
2013-12-09,81.74,83.04,80.72,81.12,635400,80.59
2013-12-02,82.91,84.89,80.25,81.72,1088500,81.19
2013-11-25,82.14,83.29,81.32,82.84,495700,81.76
2013-11-18,83.00,83.00,81.04,81.95,1071800,80.89
2013-11-11,80.55,82.87,80.51,82.75,870600,81.68
2013-11-04,79.61,81.31,79.13,80.69,664700,79.64
2013-10-28,79.21,80.00,78.34,78.99,563300,77.96
2013-10-21,78.68,79.12,76.26,79.09,704700,78.06
2013-10-14,79.70,80.90,76.45,78.65,1320500,77.63
2013-10-07,79.93,80.72,77.66,80.61,535900,79.56
2013-09-30,79.84,81.43,79.08,80.65,665200,79.60
2013-09-23,81.30,81.53,80.09,80.39,473900,79.35
2013-09-16,80.80,82.46,79.60,81.31,484900,80.25
2013-09-09,78.75,81.40,78.75,79.80,664100,78.76
2013-09-03,77.80,79.18,76.40,78.66,615900,77.64
2013-08-26,79.50,79.94,76.55,77.01,510900,75.48
2013-08-19,77.89,80.05,77.70,79.42,580500,77.84
2013-08-12,82.24,82.70,77.80,77.83,1066800,76.28
2013-08-05,84.30,84.67,82.23,82.58,723600,80.94
2013-07-29,82.05,84.58,81.46,84.57,501400,82.89
2013-07-22,82.38,82.54,80.82,82.10,907100,80.47
2013-07-15,85.25,85.41,81.10,82.40,1066400,80.76
2013-07-08,84.75,85.27,82.78,85.03,1054100,83.34
2013-07-01,78.11,84.25,77.62,83.74,2246700,82.08
2013-06-24,75.57,78.40,75.14,78.07,663300,76.52
2013-06-17,79.04,79.78,75.58,76.31,552100,74.79
2013-06-10,77.77,79.14,76.93,78.64,465300,77.08
2013-06-03,78.13,78.13,75.12,77.47,779500,75.93
2013-05-28,82.31,82.71,77.74,77.74,893600,75.66
2013-05-20,81.11,84.27,81.03,81.40,553200,79.22
2013-05-13,77.88,81.27,77.29,81.25,552800,79.08
2013-05-06,77.16,78.32,76.91,77.86,583200,75.78
2013-04-29,75.36,77.51,74.42,77.10,744600,75.04
2013-04-22,73.88,76.15,72.12,75.04,846700,73.03
2013-04-15,77.29,77.45,71.87,73.66,1502700,71.69
2013-04-10,77.64,78.25,77.27,77.74,1023700,75.66
