Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,53.59,53.69,52.83,53.12,855200,52.68
2014-03-03,52.51,55.03,52.50,53.61,1317600,53.16
2014-02-24,51.94,54.06,51.68,53.66,1755500,53.21
2014-02-18,45.92,52.72,45.33,51.97,4267800,51.54
2014-02-10,45.54,46.93,44.29,46.08,1196400,45.70
2014-02-03,45.05,45.66,43.03,45.53,1011100,45.15
2014-01-27,45.20,46.04,44.75,45.05,785300,44.68
2014-01-21,46.81,47.27,45.12,45.21,760600,44.83
2014-01-13,46.11,47.31,45.08,46.66,980500,46.27
2014-01-06,46.68,47.38,44.42,45.05,1216000,44.68
2013-12-30,46.67,46.89,44.56,46.58,1580100,46.19
2013-12-23,46.28,47.01,45.92,46.67,784600,46.28
2013-12-16,46.68,46.80,43.67,46.03,1329300,45.65
2013-12-09,48.75,49.72,46.39,46.58,1109400,46.19
2013-12-02,48.59,49.00,46.29,48.83,891100,47.97
2013-11-25,48.25,49.26,47.73,48.56,830200,47.71
2013-11-18,47.71,48.49,46.81,48.08,883000,47.23
2013-11-11,46.11,47.77,45.58,47.77,1645000,46.93
2013-11-04,46.95,48.10,46.10,46.25,1309400,45.44
2013-10-28,48.82,50.39,45.84,46.61,1899700,45.79
2013-10-21,48.90,49.87,48.53,48.90,902300,48.04
2013-10-14,47.31,50.00,46.82,48.86,1019000,48.00
2013-10-07,46.91,47.98,45.88,47.61,1114000,46.77
2013-09-30,44.77,47.56,44.52,47.13,1783500,46.30
2013-09-23,43.62,46.34,42.93,45.19,1587600,44.40
2013-09-16,43.16,45.33,42.84,43.61,2191800,42.84
2013-09-09,41.98,43.61,41.80,42.70,1552800,41.95
2013-09-03,41.38,42.60,41.08,41.77,1904600,40.61
2013-08-26,40.60,42.41,39.39,40.77,1751900,39.64
2013-08-19,37.91,40.94,37.71,40.60,1522300,39.47
2013-08-12,38.78,39.96,37.65,37.78,817900,36.73
2013-08-05,39.76,40.19,38.75,38.88,676800,37.80
2013-07-29,36.71,40.25,36.60,39.82,2004800,38.71
2013-07-22,37.00,37.67,36.57,36.83,1081000,35.81
2013-07-15,36.45,36.98,36.17,36.70,711700,35.68
2013-07-08,35.64,36.76,34.93,36.31,1104700,35.30
2013-07-01,36.18,36.63,34.72,35.34,741200,34.36
2013-06-24,34.52,36.80,34.18,36.17,1123000,35.16
2013-06-17,33.88,36.25,33.88,34.69,1339800,33.73
2013-06-10,35.04,35.32,33.67,33.72,1112100,32.78
2013-06-03,35.00,35.43,33.80,34.84,1231900,33.43
2013-05-28,35.65,35.94,34.90,34.93,792100,33.52
2013-05-20,36.82,36.99,34.66,35.12,960300,33.70
2013-05-13,36.12,36.88,34.93,36.88,962500,35.39
2013-05-06,34.80,36.13,34.80,36.12,950800,34.66
2013-04-29,34.94,35.29,33.12,34.81,1448300,33.40
2013-04-22,33.12,36.00,32.52,34.72,1044200,33.32
2013-04-15,34.51,34.68,32.69,32.97,903800,31.64
2013-04-10,33.91,34.78,33.72,34.72,882300,33.32
