Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,173.60,174.49,172.47,173.51,2179100,173.51
2014-03-03,164.22,175.59,163.66,174.26,3693400,174.26
2014-02-24,164.08,167.82,160.77,166.45,3800300,166.45
2014-02-18,164.04,166.18,162.67,164.50,3074000,163.95
2014-02-10,161.02,165.23,160.28,163.72,3754400,163.17
2014-02-03,165.15,165.52,159.77,161.93,4063400,161.39
2014-01-27,167.08,167.60,163.30,164.12,3695700,163.57
2014-01-21,175.10,175.59,167.22,167.64,3938000,167.08
2014-01-13,178.30,179.74,174.50,176.28,3347200,175.69
2014-01-06,179.15,181.13,176.61,178.39,2510600,177.79
2013-12-30,176.50,178.85,175.26,178.15,1758600,177.55
2013-12-23,175.88,176.76,175.18,176.35,1350900,175.76
2013-12-16,169.31,175.80,169.09,175.16,3439000,174.57
2013-12-09,168.00,172.20,166.52,168.39,3040900,167.82
2013-12-02,169.88,171.58,164.77,167.21,3002000,166.65
2013-11-25,168.50,170.69,166.87,168.94,2589700,168.37
2013-11-18,164.74,168.24,164.20,168.10,2975800,166.99
2013-11-11,162.50,165.42,161.20,164.40,2848400,163.31
2013-11-04,162.42,164.30,159.61,163.17,3036000,162.09
2013-10-28,162.00,163.35,160.25,162.05,2982200,160.98
2013-10-21,158.67,162.24,156.56,162.09,2996500,161.02
2013-10-14,158.22,162.50,155.99,158.69,4323900,157.64
2013-10-07,155.17,160.49,152.83,160.00,3105300,158.94
2013-09-30,157.72,160.31,155.46,156.55,2726700,155.51
2013-09-23,168.18,168.46,159.43,159.85,3648700,158.79
2013-09-16,166.31,170.00,164.03,169.75,6714800,168.63
2013-09-09,157.41,165.79,157.16,164.00,2914100,162.91
2013-09-03,154.48,158.05,153.42,156.66,2391700,155.62
2013-08-26,158.41,160.70,151.33,152.13,2453400,151.12
2013-08-19,160.17,160.79,156.51,158.65,2273800,157.08
2013-08-12,161.73,164.80,160.03,160.66,2038000,159.07
2013-08-05,167.28,169.69,162.02,162.13,2635600,160.53
2013-07-29,164.63,167.90,162.02,167.62,2839100,165.97
2013-07-22,163.95,167.41,163.69,165.26,2488600,163.63
2013-07-15,162.80,164.85,159.43,164.36,4122000,162.74
2013-07-08,154.58,160.28,152.88,160.11,2813300,158.53
2013-07-01,152.78,154.10,149.28,153.24,2274700,151.73
2013-06-24,151.99,154.99,148.71,151.25,3306800,149.76
2013-06-17,164.08,165.67,152.30,154.25,4024900,152.73
2013-06-10,166.70,168.20,161.07,162.92,3550900,161.31
2013-06-03,161.56,166.17,156.34,166.01,4321400,164.37
2013-05-28,160.92,165.83,159.41,162.08,4545300,160.48
2013-05-20,157.58,164.47,154.62,158.72,4640200,156.66
2013-05-13,147.67,158.70,147.06,158.18,4077800,156.13
2013-05-06,145.92,150.99,145.64,149.10,3169800,147.16
2013-04-29,144.54,146.84,140.39,145.37,3432200,143.48
2013-04-22,139.01,146.05,137.29,144.11,2908600,142.24
2013-04-15,148.75,151.45,137.42,138.72,5794600,136.92
2013-04-10,147.30,150.59,147.01,149.12,3070200,147.18
