Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,253.91,256.69,253.91,255.77,310500,255.77
2014-03-03,253.16,259.38,250.80,256.95,411300,256.95
2014-02-24,250.24,255.68,237.26,255.02,581500,255.02
2014-02-18,246.16,250.64,245.04,249.24,593300,249.24
2014-02-10,233.23,245.96,230.11,245.67,645000,245.67
2014-02-03,234.50,236.03,228.19,234.00,648300,234.00
2014-01-27,241.68,243.36,232.26,234.48,580600,233.54
2014-01-21,263.69,265.84,240.38,241.85,793200,240.88
2014-01-13,262.76,266.96,258.00,264.10,509000,263.04
2014-01-06,253.69,267.49,249.79,263.71,484500,262.65
2013-12-30,255.73,256.38,251.90,252.84,224800,251.82
2013-12-23,253.00,257.02,250.54,255.45,212800,254.42
2013-12-16,252.15,256.84,247.78,248.34,529600,247.34
2013-12-09,258.91,259.73,246.86,251.55,422100,250.54
2013-12-02,257.91,260.00,251.00,257.78,363000,256.74
2013-11-25,256.89,259.99,255.39,257.92,234400,256.88
2013-11-18,259.79,261.56,252.55,256.39,415400,255.36
2013-11-11,267.80,270.19,259.53,260.75,400400,259.70
2013-11-04,270.77,273.00,263.47,268.11,345000,267.03
2013-10-28,267.31,274.37,264.94,270.06,317400,268.04
2013-10-21,263.12,267.46,260.91,267.40,269000,265.40
2013-10-14,256.33,266.37,253.25,264.30,558200,262.33
2013-10-07,262.31,263.17,251.21,257.90,500700,255.97
2013-09-30,261.72,265.86,261.00,264.88,362700,262.90
2013-09-23,270.69,271.96,263.55,263.92,315200,261.95
2013-09-16,272.43,276.38,268.39,270.15,374900,268.13
2013-09-09,258.93,271.32,258.09,267.29,359200,265.29
2013-09-03,249.39,261.36,248.87,258.28,345900,256.35
2013-08-26,253.86,256.14,245.01,247.35,262100,245.50
2013-08-19,253.00,254.80,248.29,254.03,191900,252.13
2013-08-12,257.45,259.62,247.21,253.41,183900,251.52
2013-08-05,266.12,266.90,259.15,259.83,151700,257.89
2013-07-29,255.25,270.47,253.53,267.95,249700,265.00
2013-07-22,261.10,263.27,252.83,256.65,271300,253.83
2013-07-15,266.58,267.29,256.86,262.52,340900,259.63
2013-07-08,256.12,266.32,254.82,265.25,331500,262.33
2013-07-01,253.47,257.90,250.97,256.10,240400,253.28
2013-06-24,249.44,258.13,247.40,252.18,334400,249.40
2013-06-17,256.04,256.42,248.27,251.23,238800,248.46
2013-06-10,261.00,261.00,251.45,254.38,298400,251.58
2013-06-03,257.23,260.76,250.02,260.61,287000,257.74
2013-05-28,260.45,261.34,252.67,257.44,371000,254.61
2013-05-20,263.02,269.17,254.64,257.78,328200,254.94
2013-05-13,257.17,263.41,256.29,263.35,273600,260.45
2013-05-06,246.60,256.62,246.60,256.55,296300,253.73
2013-04-29,242.60,249.49,237.47,248.68,287300,245.04
2013-04-22,242.66,249.54,241.06,245.24,275500,241.65
2013-04-15,225.80,245.46,223.69,243.05,785500,239.49
2013-04-10,225.52,232.58,222.02,228.00,508500,224.66
