Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,54.80,54.90,54.49,54.84,631300,54.84
2014-03-03,54.84,55.60,54.46,54.77,983500,54.77
2014-02-24,54.65,55.58,54.39,55.16,1387000,55.16
2014-02-18,52.81,54.63,52.32,54.30,1765600,54.30
2014-02-10,50.94,53.68,50.09,52.82,2460900,52.82
2014-02-03,47.48,50.29,47.48,50.09,1908700,50.09
2014-01-27,51.28,52.11,47.72,49.12,2058900,49.12
2014-01-21,52.41,52.48,50.97,51.27,1046400,50.87
2014-01-13,52.80,53.18,51.80,52.00,1001900,51.59
2014-01-06,54.22,54.37,52.66,53.04,1354700,52.63
2013-12-30,54.43,55.18,51.60,54.11,1211000,53.69
2013-12-23,52.90,54.55,52.59,54.40,1069900,53.98
2013-12-16,51.76,52.97,50.22,52.49,1218000,52.08
2013-12-09,51.76,52.69,51.37,51.76,979700,51.36
2013-12-02,53.98,54.14,51.01,51.76,2274900,51.36
2013-11-25,53.00,54.11,52.41,53.82,1121300,53.40
2013-11-18,52.85,52.93,51.50,52.88,972200,52.47
2013-11-11,50.51,53.00,50.51,52.73,1364600,52.32
2013-11-04,52.03,52.51,50.17,50.48,1638600,50.09
2013-10-28,52.11,53.68,51.36,51.84,1606400,51.44
2013-10-21,48.93,52.52,48.71,52.05,3010500,51.26
2013-10-14,46.38,47.54,45.44,47.24,2148000,46.52
2013-10-07,47.11,47.32,45.73,46.72,1039900,46.01
2013-09-30,47.11,47.78,46.68,47.43,992100,46.71
2013-09-23,48.83,48.93,47.12,47.38,1101200,46.66
2013-09-16,47.40,49.75,47.11,48.79,1367800,48.05
2013-09-09,47.96,48.66,46.23,46.82,1515400,46.11
2013-09-03,45.99,48.54,45.74,47.99,1496500,47.26
2013-08-26,47.61,47.61,45.15,45.58,998200,44.89
2013-08-19,44.93,46.15,44.69,46.11,749700,45.41
2013-08-12,45.58,46.25,44.76,44.90,1170100,44.22
2013-08-05,46.80,47.01,45.71,45.96,842500,45.26
2013-07-29,46.92,47.25,45.95,46.99,1232800,46.27
2013-07-22,45.12,48.35,44.90,47.08,2054700,45.97
2013-07-15,47.78,47.84,45.35,45.38,1614600,44.31
2013-07-08,46.70,47.75,46.54,47.64,1072500,46.52
2013-07-01,44.95,46.62,44.77,46.61,918200,45.51
2013-06-24,44.17,45.24,43.64,44.83,1096700,43.77
2013-06-17,44.24,45.33,43.73,44.34,1179700,43.29
2013-06-10,44.99,45.12,43.73,44.09,988500,43.05
2013-06-03,44.97,45.04,43.46,45.00,1090400,43.94
2013-05-28,47.63,48.00,44.22,44.48,1979900,43.43
2013-05-20,47.94,48.97,46.37,47.16,1320200,46.05
2013-05-13,47.48,47.94,47.01,47.91,1305500,46.78
2013-05-06,47.41,47.91,46.84,47.51,1223700,46.39
2013-04-29,47.02,47.74,46.67,47.22,1207600,46.11
2013-04-22,46.38,48.46,45.86,47.27,2376100,45.76
2013-04-15,44.65,45.12,43.34,45.02,1091000,43.59
2013-04-10,44.03,45.54,43.80,44.91,1291800,43.48
