Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,37.64,37.71,37.17,37.19,3007600,37.19
2014-03-03,38.59,39.59,37.49,37.68,2521700,37.68
2014-02-24,37.19,38.95,37.11,38.77,2919600,38.77
2014-02-18,37.75,38.74,37.01,37.11,3336800,37.11
2014-02-10,38.47,38.92,37.29,37.69,3298400,37.69
2014-02-03,39.25,39.31,38.01,38.42,3232500,38.42
2014-01-27,38.60,39.34,38.41,39.15,2716800,38.60
2014-01-21,38.30,38.69,38.04,38.60,2968100,38.06
2014-01-13,38.75,38.96,37.89,38.04,3479000,37.50
2014-01-06,36.18,39.05,36.16,38.87,4062300,38.32
2013-12-30,36.52,36.67,35.95,36.18,2070800,35.67
2013-12-23,36.25,36.67,36.13,36.50,1932100,35.98
2013-12-16,35.77,36.89,35.60,36.08,3605500,35.57
2013-12-09,36.56,37.24,35.50,35.77,2675400,35.26
2013-12-02,36.95,36.95,35.67,36.57,2671800,36.05
2013-11-25,38.36,38.40,36.74,36.77,2588900,36.25
2013-11-18,39.80,40.05,38.06,38.27,3124900,37.73
2013-11-11,39.66,40.10,39.11,39.81,2172000,39.25
2013-11-04,41.83,42.00,38.67,39.63,2442300,39.07
2013-10-28,43.20,43.29,41.22,41.71,2612700,41.12
2013-10-21,42.45,43.13,41.80,43.05,2226000,41.92
2013-10-14,41.28,43.17,40.93,42.57,3029900,41.45
2013-10-07,38.86,41.55,38.76,41.54,3186400,40.45
2013-09-30,41.28,42.11,38.58,39.05,4878000,38.02
2013-09-23,41.93,42.32,41.17,41.55,2344000,40.46
2013-09-16,42.47,44.51,41.20,42.09,2899800,40.98
2013-09-09,41.00,41.90,40.69,41.43,2039800,40.34
2013-09-03,41.09,41.55,39.69,40.89,2738200,39.81
2013-08-26,41.00,41.31,40.15,40.73,2268700,39.66
2013-08-19,39.25,41.27,38.93,40.95,3468400,39.87
2013-08-12,42.38,42.40,39.21,39.39,3210900,38.35
2013-08-05,42.72,43.11,41.78,42.38,2473300,41.26
2013-07-29,45.30,46.11,42.03,42.81,2909700,41.68
2013-07-22,46.44,46.78,44.67,45.33,2085100,43.61
2013-07-15,46.53,47.45,46.17,46.49,2707600,44.72
2013-07-08,45.00,46.78,44.41,46.38,2378400,44.62
2013-07-01,45.83,46.28,43.05,44.45,2848900,42.76
2013-06-24,42.54,45.84,41.50,45.44,4127200,43.71
2013-06-17,46.20,46.34,41.54,43.19,4384400,41.55
2013-06-10,47.64,47.72,45.20,45.95,4235100,44.20
2013-06-03,47.32,48.23,46.32,47.56,3160900,45.75
2013-05-28,51.43,51.49,47.21,47.38,4530800,45.58
2013-05-20,54.39,56.06,50.44,50.83,3038000,48.90
2013-05-13,51.99,54.55,51.79,54.38,2507100,52.31
2013-05-06,53.43,54.05,51.63,51.96,2956500,49.99
2013-04-29,52.90,53.96,52.59,53.47,2031400,51.44
2013-04-22,52.75,53.30,52.28,52.77,1639700,50.26
2013-04-15,51.75,52.74,50.83,52.71,2433800,50.21
2013-04-10,51.68,52.09,51.19,52.02,2354000,49.55
