Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,82.44,82.54,81.73,82.18,4139000,81.71
2014-03-03,80.73,83.20,80.62,82.55,6250600,82.08
2014-02-24,77.84,83.10,77.46,82.03,9635900,81.56
2014-02-18,77.92,78.08,76.40,77.74,6584800,77.30
2014-02-10,76.56,78.13,75.88,77.93,6264300,77.48
2014-02-03,76.64,76.73,73.96,76.45,8296400,76.01
2014-01-27,78.86,79.17,75.85,76.85,8757200,76.41
2014-01-21,81.30,81.50,79.16,79.16,6564900,78.71
2014-01-13,81.61,82.13,80.61,81.00,5683100,80.54
2014-01-06,81.65,82.04,80.97,82.01,6085800,81.54
2013-12-30,81.67,82.57,81.46,81.89,4042800,81.42
2013-12-23,80.07,82.24,80.04,81.64,3392900,81.17
2013-12-16,79.21,80.83,78.31,80.04,7869900,79.58
2013-12-09,79.91,80.60,78.28,79.01,7129000,78.56
2013-12-02,80.45,80.75,77.70,79.84,6340100,79.38
2013-11-25,79.30,81.39,79.30,80.67,5919800,79.82
2013-11-18,80.00,82.27,78.78,79.18,8298200,78.34
2013-11-11,75.27,80.09,74.93,80.03,7345300,79.18
2013-11-04,77.18,77.42,74.78,75.48,5931100,74.68
2013-10-28,76.15,78.60,75.80,76.99,7396700,76.18
2013-10-21,74.60,76.84,74.15,76.25,6768600,75.44
2013-10-14,75.74,76.52,73.74,74.69,9030700,73.90
2013-10-07,75.40,76.63,73.90,76.32,6786400,75.51
2013-09-30,75.18,76.83,74.96,75.78,5528300,74.98
2013-09-23,76.46,76.79,75.26,75.96,5260800,75.16
2013-09-16,76.05,78.81,75.20,77.00,9465200,76.19
2013-09-09,72.98,75.74,72.90,75.11,6084500,74.32
2013-09-03,74.83,75.25,72.21,72.70,9270400,71.93
2013-08-26,73.83,76.15,73.82,74.49,7547700,73.32
2013-08-19,75.49,77.50,73.11,73.89,10282000,72.73
2013-08-12,78.62,79.64,74.86,75.38,8457800,74.19
2013-08-05,79.95,80.33,78.53,78.97,4995800,77.73
2013-07-29,78.64,80.50,78.37,80.23,5719800,78.97
2013-07-22,79.98,80.47,77.89,78.74,6260400,77.50
2013-07-15,80.63,81.23,79.42,79.89,5391400,78.63
2013-07-08,78.56,80.75,78.54,80.54,5704200,79.27
2013-07-01,77.63,78.56,76.63,78.29,5593600,77.06
2013-06-24,72.90,77.79,72.41,77.47,9054900,76.25
2013-06-17,77.08,77.48,73.02,73.82,10338100,72.66
2013-06-10,78.94,79.68,76.07,76.59,7755000,75.38
2013-06-03,78.65,79.08,74.90,78.74,8363200,77.50
2013-05-28,79.94,80.63,78.66,78.66,6799300,77.04
2013-05-20,76.77,81.56,76.50,78.99,10726300,77.36
2013-05-13,76.01,78.54,75.95,76.86,6855600,75.28
2013-05-06,73.88,76.20,73.88,76.01,5871600,74.44
2013-04-29,73.44,74.41,72.53,73.96,5070200,72.44
2013-04-22,73.92,74.59,72.63,73.35,6399700,71.84
2013-04-15,73.35,74.28,71.94,74.00,8489600,72.47
2013-04-10,71.40,73.66,70.97,73.62,7848000,72.10
