Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,81.58,82.33,80.12,82.24,1967500,82.24
2014-03-03,79.48,82.03,79.30,81.87,2375200,81.87
2014-02-24,81.64,82.48,78.81,80.03,3503900,80.03
2014-02-18,79.83,81.95,79.72,81.17,3189900,81.17
2014-02-10,77.26,80.00,76.61,79.50,2554000,79.50
2014-02-03,75.45,77.21,73.36,77.18,3330500,77.18
2014-01-27,76.14,78.85,74.88,75.49,2807500,75.49
2014-01-21,77.80,78.69,75.52,76.25,2157300,76.25
2014-01-13,80.75,81.11,77.03,77.13,3198600,77.13
2014-01-06,79.53,82.16,78.99,80.90,2617600,80.90
2013-12-30,83.07,83.54,79.97,80.28,1909000,80.28
2013-12-23,80.72,83.39,80.02,83.07,1556800,83.07
2013-12-16,78.00,81.42,77.52,80.17,2958400,80.17
2013-12-09,80.91,81.30,77.88,78.95,2474800,78.95
2013-12-02,81.01,82.79,80.25,80.86,2364600,80.60
2013-11-25,82.22,84.33,81.09,81.13,2058100,80.87
2013-11-18,83.15,83.35,80.93,83.33,1932900,83.06
2013-11-11,80.38,82.86,79.36,82.86,2386600,82.60
2013-11-04,81.12,82.56,78.68,80.30,2727600,80.04
2013-10-28,83.33,83.80,79.96,80.93,3314500,80.67
2013-10-21,84.08,85.15,81.06,83.20,2984800,82.94
2013-10-14,80.53,84.07,80.28,84.06,3427300,83.79
2013-10-07,79.54,81.40,77.95,81.10,3061000,80.84
2013-09-30,77.51,81.12,76.62,80.14,2687100,79.88
2013-09-23,78.39,79.35,77.51,78.33,1891000,78.08
2013-09-16,78.37,80.41,77.20,78.63,2946700,78.38
2013-09-09,77.62,78.34,76.98,77.72,2533400,77.47
2013-09-03,75.92,78.20,75.35,77.30,2466400,76.81
2013-08-26,75.75,77.05,74.61,74.85,2516700,74.37
2013-08-19,74.74,75.77,72.62,75.66,2099400,75.18
2013-08-12,74.49,75.92,74.34,75.07,2468800,74.59
2013-08-05,74.98,75.64,72.38,74.89,2818800,74.41
2013-07-29,72.78,76.34,71.67,75.31,3704200,74.83
2013-07-22,74.30,74.50,72.04,73.20,2147100,72.73
2013-07-15,71.64,74.00,70.20,73.94,2270500,73.47
2013-07-08,68.50,71.34,67.92,71.17,2594500,70.72
2013-07-01,66.82,68.19,66.23,68.13,1967900,67.70
2013-06-24,63.28,67.50,61.32,66.49,3529900,66.07
2013-06-17,66.59,68.08,62.63,64.02,3520200,63.61
2013-06-10,69.23,69.38,65.77,65.97,2323100,65.55
2013-06-03,67.58,69.34,66.27,69.18,2494800,68.64
2013-05-28,68.66,69.17,67.40,67.41,3122900,66.88
2013-05-20,69.60,70.19,66.33,67.48,3537100,66.95
2013-05-13,69.25,72.42,68.00,69.68,5608400,69.13
2013-05-06,72.90,73.35,69.01,69.30,3161700,68.76
2013-04-29,71.64,73.91,70.42,73.00,2985300,72.43
2013-04-22,67.29,72.26,66.78,70.99,3786300,70.43
2013-04-15,69.68,69.82,65.67,66.78,3321900,66.26
2013-04-10,73.33,73.68,70.70,71.39,1785900,70.83
