Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,35.87,35.99,35.52,35.86,2298200,35.86
2014-03-03,34.81,36.49,34.63,35.97,4206400,35.97
2014-02-24,34.36,35.36,34.02,35.19,3233000,35.04
2014-02-18,34.71,34.99,33.89,34.31,2651500,34.17
2014-02-10,34.31,34.98,33.96,34.67,3292900,34.53
2014-02-03,33.47,34.46,32.03,34.41,6064700,34.27
2014-01-27,32.85,33.86,31.96,33.25,5736200,33.11
2014-01-21,35.40,35.47,32.76,32.77,4458300,32.63
2014-01-13,35.86,36.04,34.71,35.26,3639200,35.11
2014-01-06,35.67,36.14,35.31,35.94,3683200,35.79
2013-12-30,36.36,36.61,35.36,35.53,3192500,35.38
2013-12-23,36.28,36.76,36.17,36.33,2231600,36.18
2013-12-16,35.16,36.30,34.40,36.07,5004700,35.92
2013-12-09,35.94,36.49,34.98,35.02,3860600,34.87
2013-12-02,35.79,36.20,34.98,35.94,3299600,35.79
2013-11-25,35.73,36.20,35.40,35.63,3946800,35.48
2013-11-18,35.46,35.58,34.62,35.56,3677400,35.26
2013-11-11,34.35,35.69,34.10,35.44,4826200,35.14
2013-11-04,33.83,34.36,33.04,34.30,3774300,34.01
2013-10-28,33.60,35.01,33.29,33.65,4913600,33.37
2013-10-21,34.00,34.26,32.90,33.57,3201400,33.29
2013-10-14,32.63,34.30,32.41,34.00,3463500,33.72
2013-10-07,31.25,32.99,30.50,32.83,5226100,32.56
2013-09-30,30.88,31.62,30.47,31.57,3107400,31.31
2013-09-23,31.00,31.90,30.69,31.27,3333100,31.01
2013-09-16,32.01,32.60,31.00,31.02,5186100,30.76
2013-09-09,30.95,32.04,30.94,31.62,2668400,31.36
2013-09-03,30.10,31.14,29.93,30.87,3205900,30.61
2013-08-26,30.63,30.77,29.37,29.60,3547900,29.35
2013-08-19,30.76,30.88,30.09,30.65,2796100,30.24
2013-08-12,31.06,31.63,30.61,30.84,3119900,30.43
2013-08-05,31.98,32.21,30.80,31.31,3926600,30.89
2013-07-29,30.90,32.09,30.21,32.03,6392600,31.60
2013-07-22,31.74,32.33,30.88,31.36,3180600,30.94
2013-07-15,31.94,32.18,31.36,31.74,4153200,31.32
2013-07-08,31.53,32.23,31.13,32.21,4664600,31.78
2013-07-01,31.20,31.49,29.96,31.36,4422500,30.94
2013-06-24,28.90,31.35,28.04,30.92,8426800,30.51
2013-06-17,29.56,30.35,29.08,29.37,6100400,28.98
2013-06-10,30.61,30.76,29.05,29.20,4406000,28.81
2013-06-03,30.80,30.82,28.71,30.50,6198600,30.09
2013-05-28,30.72,31.53,30.26,30.63,4693900,30.22
2013-05-20,31.06,31.48,29.53,30.24,5659900,29.74
2013-05-13,29.96,31.51,29.55,31.16,5320500,30.64
2013-05-06,28.84,29.91,28.80,29.66,4797000,29.17
2013-04-29,27.22,29.28,26.99,28.80,7164900,28.32
2013-04-22,26.90,27.97,26.24,27.12,5989900,26.67
2013-04-15,27.41,27.42,26.16,26.84,6985200,26.40
2013-04-10,26.32,28.12,26.21,27.49,10553600,27.04
