Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,67.60,67.60,66.53,67.41,1254600,67.41
2014-03-03,65.38,68.50,64.29,68.11,1239700,68.11
2014-02-24,64.35,66.72,63.40,66.06,1368800,66.06
2014-02-18,64.61,64.78,62.74,64.32,1262900,64.32
2014-02-10,64.99,65.62,64.13,64.98,1213800,64.98
2014-02-03,61.81,65.14,60.55,64.98,1872700,64.70
2014-01-27,64.27,66.69,61.57,61.69,2034300,61.43
2014-01-21,67.86,68.42,63.88,64.02,1497700,63.75
2014-01-13,69.07,69.07,67.01,67.58,1274600,67.29
2014-01-06,69.28,70.04,68.45,69.62,669200,69.32
2013-12-30,68.97,69.60,68.42,68.91,665000,68.62
2013-12-23,68.40,69.75,68.15,69.05,551600,68.76
2013-12-16,68.06,68.56,66.51,68.05,1525600,67.76
2013-12-09,68.46,69.65,67.31,67.51,981900,67.22
2013-12-02,66.93,68.56,65.60,68.53,1050400,68.03
2013-11-25,67.51,67.75,66.96,67.02,568200,66.53
2013-11-18,66.74,67.68,66.07,67.22,1325100,66.73
2013-11-11,64.23,66.86,63.70,66.72,1266700,66.23
2013-11-04,64.78,65.20,63.12,64.26,996400,63.79
2013-10-28,64.84,65.16,63.85,64.76,1008200,64.29
2013-10-21,66.00,66.49,63.50,64.98,1585600,64.50
2013-10-14,65.10,66.59,64.76,65.75,1254900,65.27
2013-10-07,64.54,65.76,62.76,65.75,1176500,65.27
2013-09-30,63.93,65.86,63.37,65.30,1195700,64.82
2013-09-23,64.10,64.97,63.38,64.65,846200,64.18
2013-09-16,64.08,65.15,63.25,64.27,916600,63.80
2013-09-09,62.33,63.74,62.33,63.30,1016800,62.84
2013-09-03,60.66,62.74,60.52,61.97,1455600,61.31
2013-08-26,59.86,60.32,58.55,59.98,1283000,59.34
2013-08-19,58.57,59.95,57.97,59.84,1117000,59.20
2013-08-12,58.47,59.22,57.30,58.44,1240600,57.82
2013-08-05,58.53,59.47,57.99,58.77,1096900,58.15
2013-07-29,55.20,58.84,55.00,58.60,1451500,57.98
2013-07-22,55.97,59.52,54.83,55.37,1597000,54.78
2013-07-15,55.02,56.44,54.76,55.87,1048900,55.28
2013-07-08,55.77,56.03,53.35,55.96,1456100,55.37
2013-07-01,55.08,56.14,54.31,55.25,1182500,54.66
2013-06-24,50.03,55.50,49.15,54.82,2143500,54.24
2013-06-17,53.52,54.64,50.22,50.54,1607200,50.00
2013-06-10,54.25,54.55,52.19,53.13,1140300,52.57
2013-06-03,54.71,55.24,52.97,53.92,1425700,53.35
2013-05-28,56.50,56.99,54.45,54.54,1212100,53.96
2013-05-20,59.38,59.84,54.88,55.44,1257900,54.64
2013-05-13,57.10,59.48,56.59,59.48,1013000,58.63
2013-05-06,54.97,57.97,54.47,57.37,1671700,56.55
2013-04-29,54.14,54.98,53.79,54.35,1513400,53.57
2013-04-22,51.84,55.68,51.12,54.04,2116200,53.26
2013-04-15,51.55,52.05,49.92,51.83,1801600,51.09
2013-04-10,51.38,52.88,51.29,52.00,1305700,51.25
