Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,80.30,80.79,78.82,79.50,1770700,79.50
2014-03-03,81.59,81.70,79.94,80.66,1597900,80.66
2014-02-24,80.24,82.81,80.10,82.46,1973500,81.44
2014-02-18,78.90,80.31,77.21,80.10,1726600,79.11
2014-02-10,76.39,78.69,73.09,78.62,2339600,77.65
2014-02-03,74.75,76.55,72.00,76.47,1538600,75.53
2014-01-27,76.88,77.46,74.12,74.71,1470400,73.79
2014-01-21,79.72,81.39,76.40,76.61,2092200,75.67
2014-01-13,76.98,79.31,76.98,78.87,1041300,77.90
2014-01-06,78.77,78.96,77.55,78.75,1220200,77.78
2013-12-30,78.72,79.77,78.52,78.58,823100,77.61
2013-12-23,79.13,79.69,78.62,79.03,738700,78.06
2013-12-16,76.05,79.24,75.11,78.90,2371300,77.93
2013-12-09,74.01,74.81,72.08,74.20,1974500,73.28
2013-12-02,74.44,75.28,71.97,73.98,1284900,71.73
2013-11-25,74.42,74.99,73.91,74.48,889600,72.22
2013-11-18,74.95,75.46,73.44,74.00,1306100,71.75
2013-11-11,74.41,75.00,73.35,74.92,1259100,72.64
2013-11-04,74.90,75.45,72.77,74.44,1624900,72.18
2013-10-28,74.68,75.00,73.44,74.63,1826600,72.36
2013-10-21,70.60,74.99,69.80,74.56,2513100,72.30
2013-10-14,67.07,70.85,66.65,70.61,1553900,68.47
2013-10-07,66.12,67.61,64.40,67.49,1524600,65.44
2013-09-30,66.16,67.21,65.71,66.98,1683600,64.95
2013-09-23,67.46,67.72,66.09,66.99,2028900,64.96
2013-09-16,69.06,69.99,67.49,67.64,1680200,65.59
2013-09-09,65.88,68.89,65.88,68.08,1274300,66.01
2013-09-03,64.82,66.32,63.85,65.74,1490100,63.74
2013-08-26,65.66,66.37,62.40,63.94,1566500,62.00
2013-08-19,64.42,66.25,63.93,65.67,979700,63.68
2013-08-12,66.19,66.88,64.45,64.46,1331100,62.50
2013-08-05,67.95,69.17,66.49,66.65,1422000,64.63
2013-07-29,65.88,68.69,65.31,68.23,1695500,66.16
2013-07-22,66.11,66.53,63.01,65.94,2251800,63.94
2013-07-15,66.81,67.42,66.04,66.15,1349100,64.14
2013-07-08,65.75,67.99,64.97,66.75,1436400,64.72
2013-07-01,63.89,65.55,61.92,65.40,1442300,63.41
2013-06-24,61.69,64.33,60.46,63.19,2045600,61.27
2013-06-17,66.95,67.38,61.19,62.49,2149400,60.59
2013-06-10,69.26,69.44,65.28,66.36,1953800,64.34
2013-06-03,68.77,69.34,65.13,69.17,2644000,67.07
2013-05-28,69.38,70.16,68.30,68.30,1892900,66.23
2013-05-20,67.35,69.48,67.00,68.45,2190100,66.37
2013-05-13,67.50,68.00,66.05,67.49,1934200,65.44
2013-05-06,65.41,67.88,65.13,67.88,1781800,65.82
2013-04-29,62.30,66.08,61.64,65.21,2217500,63.23
2013-04-22,61.30,62.85,60.62,62.09,1398600,60.20
2013-04-15,63.24,63.26,60.22,61.23,1939000,59.37
2013-04-10,62.54,64.06,62.53,63.86,1855600,61.92
