Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,100.50,100.95,99.28,100.34,1000700,100.34
2014-03-03,95.92,101.02,95.11,100.50,1196300,100.50
2014-02-24,94.96,99.35,94.96,98.75,1222100,98.75
2014-02-18,90.88,95.13,90.88,94.34,1390800,94.34
2014-02-10,87.27,90.78,85.00,90.59,1270100,90.59
2014-02-03,88.12,89.39,83.14,87.17,1654100,86.55
2014-01-27,86.20,88.58,84.84,88.04,1299500,87.42
2014-01-21,86.49,88.10,85.32,86.01,1021300,85.40
2014-01-13,85.13,85.99,83.22,85.65,1011400,85.04
2014-01-06,82.57,86.27,81.34,85.55,1409000,84.94
2013-12-30,84.03,84.87,82.03,83.05,773800,82.46
2013-12-23,82.67,84.16,81.34,83.96,618500,83.36
2013-12-16,80.38,82.40,80.03,82.03,1114600,81.45
2013-12-09,79.94,81.03,78.19,79.52,1138100,78.96
2013-12-02,77.30,81.35,76.36,79.83,1217600,79.26
2013-11-25,78.76,78.96,76.31,77.00,925600,76.45
2013-11-18,79.44,79.63,77.61,78.97,1050200,78.41
2013-11-11,78.15,79.52,75.17,79.27,1276300,78.71
2013-11-04,77.79,78.52,75.31,78.02,874200,76.96
2013-10-28,76.83,79.12,76.61,77.43,955700,76.38
2013-10-21,76.83,77.89,74.53,76.57,821600,75.53
2013-10-14,73.37,77.73,73.17,76.76,935600,75.72
2013-10-07,72.54,74.19,70.59,73.98,1074800,72.98
2013-09-30,68.49,74.29,67.95,73.70,1124600,72.70
2013-09-23,70.00,70.02,68.26,69.07,955200,68.13
2013-09-16,69.64,71.36,68.31,70.32,1030200,69.37
2013-09-09,64.48,69.49,64.35,68.99,1233200,68.05
2013-09-03,63.99,65.01,62.39,64.36,816700,63.49
2013-08-26,64.93,65.15,62.84,63.04,792800,62.18
2013-08-19,64.75,65.31,63.84,64.67,874600,63.79
2013-08-12,67.12,67.74,64.35,64.76,1105500,63.88
2013-08-05,65.43,68.41,65.06,67.91,1501200,66.49
2013-07-29,64.55,65.59,62.35,65.59,1367900,64.22
2013-07-22,67.55,68.28,64.15,64.73,1275600,63.38
2013-07-15,65.77,67.46,63.99,67.39,776600,65.98
2013-07-08,65.68,66.24,64.03,65.48,1111600,64.11
2013-07-01,63.30,65.76,62.79,65.48,893000,64.11
2013-06-24,60.50,64.37,59.77,62.45,1318200,61.15
2013-06-17,61.45,64.62,60.69,61.69,1239900,60.40
2013-06-10,64.32,64.57,60.70,60.82,1149300,59.55
2013-06-03,62.27,64.50,61.45,64.12,1255700,62.78
2013-05-28,64.25,64.72,61.74,61.74,1064600,60.45
2013-05-20,65.18,66.02,60.66,63.02,1287900,61.70
2013-05-13,62.24,65.64,61.36,65.39,1140100,64.02
2013-05-06,62.00,63.20,61.44,62.46,937600,61.01
2013-04-29,58.38,62.01,57.11,61.75,1224600,60.31
2013-04-22,57.48,61.65,57.23,57.99,1807400,56.64
2013-04-15,60.47,60.47,55.78,57.28,1328900,55.95
2013-04-10,61.90,63.63,60.73,61.35,1387800,59.92
