Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,30.38,30.57,30.18,30.54,2761700,30.34
2014-03-03,31.32,32.25,30.03,30.39,4987000,30.19
2014-02-24,31.53,32.42,31.25,31.64,3003300,31.43
2014-02-18,31.08,31.83,30.74,31.08,2715900,30.87
2014-02-10,29.64,31.28,29.40,31.07,2679200,30.86
2014-02-03,30.35,30.41,29.08,29.66,3088700,29.46
2014-01-27,28.19,30.53,28.19,30.40,3576800,30.20
2014-01-21,29.36,29.36,27.93,28.08,2387800,27.89
2014-01-13,30.15,30.17,28.52,29.03,2819500,28.84
2014-01-06,29.30,30.50,28.04,30.30,4532200,30.10
2013-12-30,28.52,29.65,28.37,29.28,1667800,29.09
2013-12-23,28.91,28.98,28.40,28.52,908000,28.33
2013-12-16,28.19,28.79,27.52,28.54,2604700,28.35
2013-12-09,28.99,29.70,27.19,28.04,3756700,27.85
2013-12-02,27.92,29.12,27.82,29.01,1931000,28.82
2013-11-25,28.81,28.90,27.85,27.89,1184100,27.51
2013-11-18,28.60,28.98,28.06,28.71,1072700,28.32
2013-11-11,27.93,28.53,27.13,28.50,1600400,28.11
2013-11-04,28.91,29.73,27.23,27.85,2388800,27.47
2013-10-28,28.52,29.10,28.22,28.89,1432500,28.50
2013-10-21,29.21,29.48,28.40,28.48,1521500,28.09
2013-10-14,27.61,29.37,27.24,29.25,2843100,28.85
2013-10-07,28.22,28.32,26.60,27.73,2454500,27.35
2013-09-30,26.10,29.32,25.98,28.51,5070300,28.12
2013-09-23,27.10,27.15,25.98,26.36,3829800,26.00
2013-09-16,27.40,28.12,26.98,27.11,2388400,26.74
2013-09-09,26.95,27.42,26.88,27.24,1287200,26.87
2013-09-03,28.27,28.49,26.73,26.91,3698700,26.54
2013-08-26,29.02,29.37,27.82,27.91,998600,27.33
2013-08-19,29.53,29.59,28.63,28.97,1439700,28.36
2013-08-12,31.21,31.51,29.41,29.68,1377300,29.06
2013-08-05,31.77,31.90,31.21,31.37,999500,30.71
2013-07-29,30.38,32.09,30.32,31.89,2107200,31.22
2013-07-22,30.80,31.09,30.40,30.49,1744300,29.85
2013-07-15,30.72,31.20,29.81,31.02,2397900,30.37
2013-07-08,28.38,31.66,28.35,30.63,2752500,29.99
2013-07-01,27.87,28.46,27.51,28.30,1450500,27.71
2013-06-24,28.06,28.59,27.24,27.75,2475000,27.17
2013-06-17,28.84,29.56,28.07,28.43,2114100,27.84
2013-06-10,29.90,30.05,27.70,28.63,3227700,28.03
2013-06-03,29.33,29.94,28.15,29.84,2371600,29.01
2013-05-28,29.38,30.19,29.27,29.27,1866900,28.46
2013-05-20,29.62,30.23,28.62,29.19,2714700,28.38
2013-05-13,27.81,29.64,27.48,29.64,2834700,28.82
2013-05-06,28.56,28.62,27.28,27.82,3185900,27.05
2013-04-29,28.57,28.81,27.41,28.62,2602400,27.83
2013-04-22,27.75,28.96,26.95,28.66,3335900,27.87
2013-04-15,28.37,28.50,26.58,27.74,4013500,26.97
2013-04-10,28.54,29.10,28.44,28.58,2340500,27.79
