Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,47.33,47.69,47.23,47.40,647000,47.40
2014-03-03,47.00,47.99,46.67,47.28,838000,47.28
2014-02-24,46.80,47.79,46.58,47.45,711200,47.45
2014-02-18,45.11,46.83,44.89,46.71,1496300,46.71
2014-02-10,43.64,45.17,43.39,45.16,711100,45.16
2014-02-03,45.45,45.45,42.81,43.77,1058000,43.77
2014-01-27,45.13,45.89,44.27,45.44,939400,45.44
2014-01-21,46.20,46.27,45.11,45.14,771000,45.14
2014-01-13,45.50,46.75,44.99,45.85,861900,45.85
2014-01-06,45.09,45.65,44.59,45.58,708600,45.38
2013-12-30,44.87,45.45,44.63,44.91,555600,44.72
2013-12-23,44.99,45.09,44.57,44.82,298900,44.63
2013-12-16,44.31,45.14,43.75,44.73,722900,44.54
2013-12-09,45.95,46.18,44.08,44.18,581000,43.99
2013-12-02,45.02,46.16,44.98,45.81,924500,45.61
2013-11-25,43.02,45.53,42.33,45.02,1310000,44.83
2013-11-18,44.06,44.16,41.93,42.90,933300,42.72
2013-11-11,43.28,44.00,42.51,43.91,546700,43.72
2013-11-04,43.57,43.99,42.63,43.20,587900,43.01
2013-10-28,43.62,44.22,43.15,43.35,649400,43.16
2013-10-21,42.73,43.98,42.41,43.62,502500,43.43
2013-10-14,42.88,43.54,42.61,43.06,581600,42.88
2013-10-07,41.76,43.23,41.40,43.10,539100,42.75
2013-09-30,42.03,42.45,41.42,42.03,455400,41.69
2013-09-23,43.81,43.95,42.12,42.29,605300,41.94
2013-09-16,43.09,44.22,43.00,43.80,489900,43.44
2013-09-09,42.21,42.93,42.00,42.77,492600,42.42
2013-09-03,41.87,42.41,41.07,42.21,549600,41.86
2013-08-26,42.79,42.85,40.60,41.43,771200,41.09
2013-08-19,42.72,43.12,41.94,42.71,774500,42.36
2013-08-12,43.01,43.99,42.49,42.79,501400,42.44
2013-08-05,43.02,43.59,42.75,43.19,481100,42.84
2013-07-29,42.06,43.03,41.94,43.03,622700,42.68
2013-07-22,41.19,41.59,40.87,41.44,418100,41.10
2013-07-15,41.06,41.90,40.84,41.37,877800,41.03
2013-07-08,39.30,41.11,39.19,40.98,741200,40.48
2013-07-01,38.78,39.44,38.52,39.11,812500,38.63
2013-06-24,37.58,39.08,37.54,38.58,881100,38.11
2013-06-17,40.31,40.93,37.46,37.90,1542600,37.43
2013-06-10,39.63,40.20,39.20,40.13,673600,39.64
2013-06-03,39.73,40.16,38.45,39.60,1148800,39.11
2013-05-28,41.82,42.28,39.81,39.82,1218000,39.33
2013-05-20,42.75,42.97,41.03,41.53,901500,41.02
2013-05-13,41.52,43.17,41.40,42.70,708700,42.17
2013-05-06,41.63,41.81,40.99,41.48,771500,40.97
2013-04-29,41.20,42.39,40.88,41.74,952400,41.23
2013-04-22,41.16,42.09,41.05,41.21,714100,40.70
2013-04-15,40.90,41.70,40.39,41.21,1230900,40.70
2013-04-10,40.27,40.97,40.20,40.93,791600,40.26
