Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,43.25,43.50,42.98,43.31,799500,43.31
2014-03-03,42.69,43.70,42.07,43.35,1288100,43.35
2014-02-24,42.33,43.86,42.16,43.28,1382200,43.28
2014-02-18,43.74,44.09,41.86,42.27,1462300,42.27
2014-02-10,42.81,45.23,42.81,43.55,2190300,43.55
2014-02-03,44.00,44.16,42.03,42.89,1102800,42.89
2014-01-27,44.49,44.71,43.06,44.01,1452500,44.01
2014-01-21,43.13,45.24,42.90,44.57,1777500,44.57
2014-01-13,42.02,43.27,41.59,42.75,770900,42.75
2014-01-06,41.31,42.37,40.61,42.18,816700,42.18
2013-12-30,41.13,41.51,40.89,41.22,614700,41.22
2013-12-23,41.31,41.44,40.91,41.21,378000,41.21
2013-12-16,40.03,41.46,39.45,41.27,710000,41.27
2013-12-09,41.67,42.50,39.67,39.88,859900,39.88
2013-12-02,39.31,42.43,39.31,41.57,1351800,41.57
2013-11-25,39.35,39.60,39.05,39.31,501000,39.31
2013-11-18,39.50,39.50,38.47,39.21,612800,39.21
2013-11-11,38.87,39.54,38.11,39.50,1300800,39.50
2013-11-04,40.26,42.50,38.59,38.89,1431600,38.89
2013-10-28,41.33,41.51,39.99,40.21,679100,40.21
2013-10-21,41.54,41.99,40.60,41.37,547700,41.37
2013-10-14,40.50,42.15,40.34,41.62,527000,41.62
2013-10-07,39.22,40.79,38.34,40.78,599400,40.78
2013-09-30,38.67,39.70,38.29,39.54,702600,39.54
2013-09-23,40.99,41.09,38.62,38.90,716600,38.90
2013-09-16,40.00,41.57,39.87,41.17,552600,41.17
2013-09-09,38.92,40.16,38.82,39.62,829800,39.62
2013-09-03,39.44,39.68,38.15,38.88,1069800,38.88
2013-08-26,40.29,40.55,38.80,39.03,491200,39.03
2013-08-19,40.11,40.53,39.30,40.30,520400,40.30
2013-08-12,40.97,41.70,39.80,40.20,748000,40.20
2013-08-05,41.39,41.77,40.74,41.23,864800,41.23
2013-07-29,39.70,42.60,39.25,41.61,1167200,41.61
2013-07-22,39.79,40.00,39.24,39.91,542200,39.91
2013-07-15,39.67,39.82,39.10,39.78,665000,39.78
2013-07-08,39.02,39.95,38.44,39.68,1583600,39.68
2013-07-01,38.27,39.38,38.06,38.98,953600,38.98
2013-06-24,34.53,38.70,34.09,38.31,1327600,38.31
2013-06-17,36.55,36.73,34.31,34.79,749000,34.79
2013-06-10,35.91,36.70,34.61,36.24,894800,36.24
2013-06-03,34.79,36.17,34.16,35.83,861100,35.83
2013-05-28,35.35,35.83,34.20,34.68,1094700,34.68
2013-05-20,35.73,36.40,34.72,35.08,1024100,35.08
2013-05-13,34.67,36.20,34.00,35.74,1455600,35.74
2013-05-06,32.94,34.82,32.42,34.62,1167600,34.62
2013-04-29,32.60,33.50,30.96,33.02,1761200,33.02
2013-04-22,31.27,33.90,30.95,32.66,1512200,32.66
2013-04-15,31.55,31.82,30.86,31.19,1026300,31.19
2013-04-10,30.54,31.75,30.47,31.61,1143200,31.61
