Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,20.09,20.13,19.93,20.02,4721600,20.02
2014-03-03,19.54,20.17,19.28,20.13,5041300,20.13
2014-02-24,19.56,19.87,19.42,19.67,6017400,19.67
2014-02-18,18.98,19.69,18.69,19.54,7858200,19.54
2014-02-10,18.47,19.08,18.24,18.99,7981300,18.99
2014-02-03,18.29,18.56,17.86,18.42,9344500,18.42
2014-01-27,18.79,18.84,18.00,18.39,7558600,18.39
2014-01-21,19.49,19.71,18.75,18.79,7142900,18.79
2014-01-13,19.09,19.55,18.99,19.42,5777800,19.42
2014-01-06,19.00,19.49,18.88,19.18,7431900,19.18
2013-12-30,19.32,19.53,19.04,19.13,5161900,19.13
2013-12-23,19.14,19.57,19.04,19.35,4104200,19.35
2013-12-16,18.32,19.13,18.15,19.07,7324600,18.94
2013-12-09,18.50,18.76,17.85,18.07,4946600,17.95
2013-12-02,18.38,18.57,17.84,18.47,5865800,18.35
2013-11-25,18.60,18.68,18.35,18.41,3490600,18.29
2013-11-18,19.01,19.07,18.36,18.58,4479700,18.46
2013-11-11,18.47,19.04,18.26,19.01,4472900,18.88
2013-11-04,18.83,19.26,17.96,18.60,7496900,18.48
2013-10-28,18.66,18.85,18.35,18.81,6439100,18.68
2013-10-21,18.55,18.84,18.31,18.78,7068100,18.65
2013-10-14,17.78,18.75,17.61,18.58,6144200,18.46
2013-10-07,17.56,17.98,16.99,17.91,5698200,17.79
2013-09-30,17.63,18.16,17.57,17.78,5949500,17.66
2013-09-23,18.19,18.25,17.66,17.82,4807000,17.70
2013-09-16,18.45,19.03,18.08,18.22,8448400,17.98
2013-09-09,17.34,18.43,17.31,18.06,5331700,17.82
2013-09-03,17.23,17.52,16.89,17.29,4900600,17.06
2013-08-26,17.43,17.51,16.94,17.03,5943400,16.80
2013-08-19,16.55,17.43,16.40,17.42,7565400,17.19
2013-08-12,17.63,17.77,16.52,16.52,7440700,16.30
2013-08-05,18.48,18.53,17.52,17.70,5612700,17.46
2013-07-29,18.07,18.73,17.53,18.50,8746500,18.25
2013-07-22,18.53,18.73,17.88,18.12,5648500,17.88
2013-07-15,18.02,18.55,17.91,18.55,5262400,18.30
2013-07-08,17.57,18.18,17.55,17.99,5455200,17.75
2013-07-01,17.05,17.55,16.88,17.55,5856100,17.32
2013-06-24,15.94,17.05,15.60,16.87,8206700,16.65
2013-06-17,17.33,17.51,15.91,16.18,8829600,15.86
2013-06-10,17.49,17.52,16.35,17.22,7790300,16.88
2013-06-03,17.93,17.97,16.88,17.42,7568600,17.07
2013-05-28,18.33,18.51,17.79,17.79,8985200,17.44
2013-05-20,18.77,18.87,17.73,18.13,6829400,17.77
2013-05-13,18.46,18.82,18.30,18.77,6286100,18.40
2013-05-06,18.39,18.73,18.23,18.57,6050800,18.20
2013-04-29,17.78,18.79,17.60,18.35,8093600,17.98
2013-04-22,17.56,18.09,17.45,17.73,4668000,17.38
2013-04-15,17.80,17.88,17.08,17.57,7014900,17.22
2013-04-10,17.63,18.15,17.62,17.87,5906000,17.51
