Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,105.75,106.33,105.19,105.40,920800,105.40
2014-03-03,105.31,107.54,104.82,105.64,873600,105.64
2014-02-24,107.42,108.69,104.63,105.82,1625500,105.82
2014-02-18,104.84,108.47,104.61,107.70,1351400,107.70
2014-02-10,100.40,105.46,100.03,105.28,1043900,104.81
2014-02-03,98.97,101.43,97.66,100.38,1662800,99.93
2014-01-27,98.17,99.82,96.50,99.40,1221200,98.95
2014-01-21,99.15,99.98,97.81,98.12,748800,97.68
2014-01-13,97.62,99.60,97.36,98.58,844000,98.14
2014-01-06,95.83,98.90,95.18,97.86,1027800,97.42
2013-12-30,96.38,97.85,95.48,95.81,608700,95.38
2013-12-23,96.59,96.97,95.05,96.28,328500,95.85
2013-12-16,95.25,96.82,93.15,96.30,709800,95.87
2013-12-09,97.15,97.85,94.65,94.84,629300,94.41
2013-12-02,96.74,97.29,95.69,97.16,632000,96.72
2013-11-25,96.50,98.16,95.86,96.89,593300,96.45
2013-11-18,98.63,98.85,94.51,96.29,854000,95.86
2013-11-11,97.55,98.96,96.04,98.56,515900,97.62
2013-11-04,99.37,99.99,96.23,97.55,698900,96.61
2013-10-28,97.00,101.37,96.87,99.21,815000,98.26
2013-10-21,96.10,97.55,94.58,97.11,795900,96.18
2013-10-14,93.48,96.07,92.84,96.03,666900,95.11
2013-10-07,91.49,93.96,91.12,93.95,579400,93.05
2013-09-30,92.60,92.80,90.55,91.77,566200,90.89
2013-09-23,93.32,93.58,92.12,93.00,612700,92.11
2013-09-16,92.63,94.32,92.27,93.60,637100,92.70
2013-09-09,90.41,91.98,90.32,91.58,688600,90.70
2013-09-03,92.78,92.94,89.28,90.74,829100,89.87
2013-08-26,95.52,95.53,90.24,91.95,794900,91.07
2013-08-19,95.23,95.69,93.26,95.47,665100,94.55
2013-08-12,97.00,97.55,94.54,95.17,602700,93.78
2013-08-05,97.01,98.00,96.51,97.55,711800,96.12
2013-07-29,94.51,97.23,94.27,97.23,940500,95.81
2013-07-22,92.74,94.53,92.12,94.46,741600,93.08
2013-07-15,91.82,92.69,91.26,92.67,899600,91.31
2013-07-08,90.23,92.06,90.16,91.69,1039200,90.35
2013-07-01,89.42,90.40,88.75,90.02,805600,88.70
2013-06-24,86.06,89.79,85.55,89.28,1025400,87.97
2013-06-17,89.69,90.12,85.14,86.66,1341600,85.39
2013-06-10,89.33,89.57,86.86,89.15,1074400,87.85
2013-06-03,89.01,89.48,87.09,89.48,1409500,88.17
2013-05-28,89.82,91.30,87.40,89.11,2211500,87.81
2013-05-20,90.14,90.32,88.10,89.25,1024600,87.94
2013-05-13,88.00,90.58,87.83,90.10,929800,88.36
2013-05-06,89.45,89.45,87.32,87.90,656800,86.20
2013-04-29,87.59,89.74,87.33,89.56,1234800,87.83
2013-04-22,90.35,91.99,87.11,87.57,1615300,85.88
2013-04-15,86.47,90.70,86.21,90.38,1185300,88.63
2013-04-10,85.82,87.11,85.76,86.52,759600,84.85
